Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4890.1 at 16:38 19/3/2010  Report at 19:05 Friday 19/3/2010. Processed 19:58 Friday 19/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Entellect Solutions,ESN,0.003,0.1,50.00,,,,,,,,
Energy Develop,ENE,3.41,100,41.49,,,,,,,,
Byte Power Grp,BPG,0.007,0.2,40.00,,,,,,,,
Healthzone Ltd,HZL,0.35,9,34.62,,,,,,,,
Olea Australis,OLE,0.004,0.1,33.33,,,,,,,,
Oakajee Corp Ltd,OKJ,0.115,2.5,27.78,,,,,,,,
MGM Wireless Ltd,MWR,0.011,0.2,22.22,,,,,,,,
ENV Clean Tech opt jan14,ESIO,0.017,0.3,21.43,,,,,,,,
Grandbridge Ltd,GBA,0.19,3,18.75,,,,,,,,
WDS Ltd,WDS,0.785,11.5,17.16,,,,,,,,
Morning Star,MSH,0.18,2.5,16.13,,,,,,,,
Cheviot Bridge,CVB,0.045,0.6,15.38,,,,,,,,
Medic Vision Ltd,MVH,0.023,0.3,15.00,,,,,,,,
Structural Systems,STS,0.695,8.5,13.93,,,,,,,,
Viralytics Ltd,VLA,0.066,0.8,13.79,,,,,,,,
Mooter Media Ltd,MMZ,0.025,0.3,13.64,,,,,,,,
Watpac Ltd,WTP,1.55,18.5,13.55,,,,,,,,
Valad Prop forus,VPG,0.105,1.2,12.90,,,,,,,,
Ambition Grp Ltd,AMB,0.395,4.5,12.86,,,,,,,,
National Leisure,NLG,0.018,0.2,12.50,,,,,,,,
Early Learning Serv,ELY,0.37,4,12.12,,,,,,,,
Sunshine Heart cdi,SHC,0.037,0.4,12.12,,,,,,,,
Axiom Prop,AXI,0.028,0.3,12.00,,,,,,,,
Buderim Ginger,BUG,0.29,3,11.54,,,,,,,,
Atlantic Ltd,ATI,0.03,0.3,11.11,,,,,,,,
Bone Medical Ltd,BNE,0.15,1.5,11.11,,,,,,,,
Firstfolio Ltd,FFF,0.072,0.7,10.77,,,,,,,,
Adv Braking Tech,ABV,0.022,0.2,10.00,,,,,,,,
China Century Capitl,CCY,0.055,0.5,10.00,,,,,,,,
Fluorotechnics,FLS,0.34,3,9.68,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.034,0.3,9.68,,,,,,,,
Healthlinx Ltd opt dec13,HTXOA,0.115,1,9.52,,,,,,,,
Paragon Care Ltd,PGC,0.035,0.3,9.38,,,,,,,,
Adultshop Com,ASC,0.012,0.1,9.09,,,,,,,,
Brainz Instruments,BZI,0.12,1,9.09,,,,,,,,
RMG Ltd,RMG,0.012,0.1,9.09,,,,,,,,
Real Estate Cap unt,RCU,0.125,1,8.70,,,,,,,,
NRW Hldgs Ltd,NWH,1.545,12,8.42,,,,,,,,
Phosphagenics Ltd,POH,0.092,0.7,8.24,,,,,,,,
Prana Biotech,PBT,0.14,1,7.69,,,,,,,,
Souls Private Equity opt feb15,SOEOA,0.014,0.1,7.69,,,,,,,,
ING Private Equity,IPE,0.285,2,7.55,,,,,,,,
NSX Ltd,NSX,0.215,1.5,7.50,,,,,,,,
TPG Telecom Ltd,TPM,2.15,15,7.50,,,,,,,,
Service Stream,SSM,0.29,2,7.41,,,,,,,,
Bravura Solutions,BVA,0.15,1,7.14,,,,,,,,
Analytica Ltd,ALT,0.062,0.4,6.90,,,,,,,,
Medtech Global,MDG,0.048,0.3,6.67,,,,,,,,
Merchant House,MHI,0.16,1,6.67,,,,,,,,
Rheochem Plc cdi  1:1,RHE,0.096,0.6,6.67,,,,,,,,
Premier Invest,PMV,9.01,56,6.63,,,,,,,,
Photon Grp Ltd,PGA,1.095,6.5,6.31,,,,,,,,
Longreach Grp,LRG,0.034,0.2,6.25,,,,,,,,
Codan Ltd,CDA,1.40,8,6.06,,,,,,,,
Dyesol Ltd,DYE,1.05,6,6.06,,,,,,,,
iSOFT Group Ltd,ISF,0.525,3,6.06,,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.018,0.1,5.88,,,,,,,,
Bentley Capital,BEL,0.28,1.5,5.66,,,,,,,,
Autodom Ltd,AIE,0.095,0.5,5.56,,,,,,,,
Thakral Hldgs unt,THG,0.39,2,5.41,,,,,,,,
Aust Vintage Ltd,AVG,0.295,1.5,5.36,,,,,,,,
Globe Sec,GTI,0.06,0.3,5.26,,,,,,,,
Run Corp Ltd,RNC,0.061,0.3,5.17,,,,,,,,
Ausdrill Ltd,ASL,2.27,11,5.09,,,,,,,,
Qmastor Ltd,QML,0.31,1.5,5.08,,,,,,,,
McPherson's Ltd,MCP,3.32,16,5.06,,,,,,,,
Nanosonics Ltd,NAN,0.52,2.5,5.05,,,,,,,,
MINING RISES,,,,,,,,,,,,
Odin Energy Ltd opt nov12,ODNO,0.002,0.1,100.00,,,,,,,,
Austral Africa Res,AAF,0.003,0.1,50.00,,,,,,,,
Fairstar Res opt aug11,FASOA,0.018,0.6,50.00,,,,,,,,
Sthn Cross Expl,SXX,0.035,0.9,34.62,,,,,,,,
Gas2Grid Ltd,GGX,0.036,0.8,28.57,,,,,,,,
Ampella Min opt jul10,AMXO,1.07,22,25.88,,,,,,,,
Cluff Res,CFR,0.005,0.1,25.00,,,,,,,,
Colonial Res opt dec10,CLNO,0.02,0.4,25.00,,,,,,,,
Archer Explore,AXE,0.165,3,22.22,,,,,,,,
Echo Res,EAR,0.075,1.3,20.97,,,,,,,,
Wolf Min,WLF,0.35,6,20.69,,,,,,,,
Mindax Ltd opt dec11,MDXO,0.06,1,20.00,,,,,,,,
Midwinter Resourc,MWN,0.125,2,19.05,,,,,,,,
Thundelarra Explor opt mar13,THXOA,0.32,5,18.52,,,,,,,,
