Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4480.9 at 16:36 13/8/2010  Report at 19:05 Friday 13/8/2010. Processed 20:51 Friday 13/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Acuvax Ltd,ACU,0.003,0.1,50.00,,,,,,,,
Transol Corp,TNC,0.004,0.1,33.33,,,,,,,,
MobileActive Ltd,MBA,0.029,0.7,31.82,,,,,,,,
Arafura Pearls,APB,0.018,0.3,20.00,,,,,,,,
Phosphagenics Ltd,POH,0.115,1.8,18.56,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.041,0.6,17.14,,,,,,,,
ING RE Com stp,ILF,0.082,1.2,17.14,,,,,,,,
Cape Range Ltd,CAG,0.007,0.1,16.67,,,,,,,,
Nexbis Ltd,NBS,0.092,1.2,15.00,,,,,,,,
BioProspect Ltd,BPO,0.016,0.2,14.29,,,,,,,,
Hydrotech Inter,HTI,0.008,0.1,14.29,,,,,,,,
TMA Grp Comp,TMA,0.24,3,14.29,,,,,,,,
Eneabba Gas Ltd,ENB,0.105,1.3,14.13,,,,,,,,
Blue Capital Ltd,BIV,0.018,0.2,12.50,,,,,,,,
Hawkley Oil And Gas,HOG,0.135,1.5,12.50,,,,,,,,
Tyrian Diagnostics,TDX,0.009,0.1,12.50,,,,,,,,
Gale Pacific Ltd,GAP,0.19,2,11.76,,,,,,,,
Boom Logistics,BOL,0.435,4.5,11.54,,,,,,,,
Atos Wellness,ATW,0.02,0.2,11.11,,,,,,,,
Ipernica Ltd,IPR,0.15,1.5,11.11,,,,,,,,
MAX Tr unt,MXQ,0.04,0.4,11.11,,,,,,,,
Metal Storm Ltd,MST,0.01,0.1,11.11,,,,,,,,
Structural Monitor cdi,SMN,0.01,0.1,11.11,,,,,,,,
Nick Scali Ltd,NCK,1.555,15.5,11.07,,,,,,,,
APN European Retail stp,AEZ,0.033,0.3,10.00,,,,,,,,
Apollo Cons,AOP,0.011,0.1,10.00,,,,,,,,
Xiaoxiao Education,XXL,0.11,1,10.00,,,,,,,,
Matrix C & E Ltd,MCE,3.69,33,9.82,,,,,,,,
Folkestone Ltd,FLK,0.12,1,9.09,,,,,,,,
Virax Hldgs,VHL,0.09,0.7,8.43,,,,,,,,
Imugene Ltd,IMU,0.065,0.5,8.33,,,,,,,,
Media Grp Int Ltd,MUI,0.013,0.1,8.33,,,,,,,,
Mooter Media Ltd,MMZ,0.013,0.1,8.33,,,,,,,,
Reverse Corp Ltd,REF,0.14,1,7.69,,,,,,,,
Keybridge Capital,KBC,0.086,0.6,7.50,,,,,,,,
Undercoverwear,UCW,0.215,1.5,7.50,,,,,,,,
Geodynamics Ltd,GDY,0.45,3,7.14,,,,,,,,
Wasabi Energy Ltd,WAS,0.015,0.1,7.14,,,,,,,,
Altium Ltd,ALU,0.23,1.5,6.98,,,,,,,,
Skilled Grp Ltd,SKE,1.245,8,6.87,,,,,,,,
Headline Grp Ltd,HLD,0.395,2.5,6.76,,,,,,,,
Cardia Bioplastics,CNN,0.016,0.1,6.67,,,,,,,,
iSOFT Group Ltd,ISF,0.16,1,6.67,,,,,,,,
ITL Ltd,ITD,0.064,0.4,6.67,,,,,,,,
Pan Asia Corp Ltd,PZC,0.016,0.1,6.67,,,,,,,,
Incitec Pivot,IPL,3.37,20,6.31,,,,,,,,
Adultshop Com,ASC,0.017,0.1,6.25,,,,,,,,
NSL Cons Ltd,NSL,0.085,0.5,6.25,,,,,,,,
Merchant House,MHI,0.18,1,5.88,,,,,,,,
Quickstep Hldgs,QHL,0.36,2,5.88,,,,,,,,
Gazal Corp,GZL,1.50,8,5.63,,,,,,,,
Kathmandu Hldgs,KMD,1.32,7,5.60,,,,,,,,
Ausenco Ltd,AAX,2.28,12,5.56,,,,,,,,
eBet Ltd,EBT,0.095,0.5,5.56,,,,,,,,
Neuren Pharmaceut,NEU,0.019,0.1,5.56,,,,,,,,
Firstfolio Ltd,FFF,0.062,0.3,5.08,,,,,,,,
MINING RISES,,,,,,,,,,,,
Ferrowest Ltd opt jun12,FWLOA,0.02,0.7,53.85,,,,,,,,
Papillon Res Ltd opt dec10,PIRO,0.04,1.4,53.85,,,,,,,,
ARC Explore Ltd opt jan11,ARXOA,0.003,0.1,50.00,,,,,,,,
Oroya Min Ltd,ORO,0.003,0.1,50.00,,,,,,,,
Regis Res opt oct12,RRLOB,0.21,6,40.00,,,,,,,,
Dourado Res Ltd opt nov14,DUOO,0.04,1,33.33,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.08,2,33.33,,,,,,,,
Voyager Res opt sep11,VORO,0.004,0.1,33.33,,,,,,,,
Southerncross Gold opt nov10,SXGO,0.013,0.3,30.00,,,,,,,,
Base Res Ltd,BSE,0.115,2.5,27.78,,,,,,,,
