Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4506.2 at 16:37 3/6/2010  Report at 19:05 Thursday 3/6/2010. Processed 19:16 Thursday 3/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Multistack Intl,MSI,0.007,0.5,250.00,,,,,,,,
Anteo Diagnostics opt feb11,ADOOA,0.01,0.5,100.00,,,,,,,,
Prince Hill Wines,PHW,0.01,0.4,66.67,,,,,,,,
Teys Ltd,TYS,0.005,0.2,66.67,,,,,,,,
CathRx Ltd,CXD,0.225,6,36.36,,,,,,,,
Novogen Ltd,NRT,0.25,6.5,35.14,,,,,,,,
Boom Logistics,BOL,0.405,10.5,35.00,,,,,,,,
Enerji Ltd opt dec16,ERJO,0.013,0.3,30.00,,,,,,,,
Hostech Ltd,HTC,0.019,0.4,26.67,,,,,,,,
AWH Corp Ltd,AWL,0.005,0.1,25.00,,,,,,,,
Byte Power Grp,BPG,0.005,0.1,25.00,,,,,,,,
APN Prop Grp,APD,0.22,4,22.22,,,,,,,,
Pharmanet Grp,PNO,0.011,0.2,22.22,,,,,,,,
World Reach Ltd,WRR,0.006,0.1,20.00,,,,,,,,
TZ Ltd,TZL,0.50,8,19.05,,,,,,,,
eBet Ltd,EBT,0.093,1.2,14.81,,,,,,,,
Beyond Sportswear,BSI,0.016,0.2,14.29,,,,,,,,
Medivac Ltd,MDV,0.008,0.1,14.29,,,,,,,,
Keybridge Capital,KBC,0.086,1,13.16,,,,,,,,
Dulhunty Power,DUL,0.035,0.4,12.90,,,,,,,,
National Leisure,NLG,0.009,0.1,12.50,,,,,,,,
PMP Ltd,PMP,0.60,6.5,12.15,,,,,,,,
Arturus Capital,AKW,0.14,1.5,12.00,,,,,,,,
Adultshop Com,ASC,0.01,0.1,11.11,,,,,,,,
