Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4404.1 at 16:38 27/8/2010  Report at 19:05 Friday 27/8/2010. Processed 11:29 Saturday 28/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Arturus Capital,AKW,0.08,3.8,90.48,,,,,,,,
Byte Power Grp,BPG,0.003,0.1,50.00,,,,,,,,
Luminus Systems,LSL,0.003,0.1,50.00,,,,,,,,
Medic Vision Ltd,MVH,0.046,1.5,48.39,,,,,,,,
Environment Grp,EGL,0.05,1.2,31.58,,,,,,,,
EFTEL Ltd,EFT,0.014,0.3,27.27,,,,,,,,
3Q Hldgs Ltd,TQH,0.10,2,25.00,,,,,,,,
Sterling Biofuels,SBI,0.05,1,25.00,,,,,,,,
Coonawarra Aust unt,CNR,0.085,1.5,21.43,,,,,,,,
Metals Finance,MFC,0.07,1.2,20.69,,,,,,,,
Redcape Prop Grp stp,RPF,0.175,3,20.69,,,,,,,,
Structural Systems,STS,0.655,11,20.18,,,,,,,,
Medical Develop,MVP,0.235,3.5,17.50,,,,,,,,
Media Grp Int Ltd,MUI,0.014,0.2,16.67,,,,,,,,
Bluglass Ltd,BLG,0.11,1.5,15.79,,,,,,,,
Buderim Ginger,BUG,0.23,3,15.00,,,,,,,,
Manaccom Corp Ltd,MNL,0.33,4,13.79,,,,,,,,
Healthlinx Ltd,HTX,0.078,0.9,13.04,,,,,,,,
Hexima Ltd,HXL,0.28,3,12.00,,,,,,,,
Cbio Ltd,CBZ,0.235,2.5,11.90,,,,,,,,
Mesbon China Nylon,MES,0.145,1.5,11.54,,,,,,,,
Austock Grp Ltd,ACK,0.15,1.5,11.11,,,,,,,,
E & A Ltd,EAL,0.20,2,11.11,,,,,,,,
Grandbridge Ltd,GBA,0.31,3,10.71,,,,,,,,
4C Sec Solution,FCS,0.042,0.4,10.53,,,,,,,,
Equities & Freehldgss,EQF,0.22,2,10.00,,,,,,,,
Planet Platinum,PPN,0.22,2,10.00,,,,,,,,
Tyrian Diagnostics,TDX,0.011,0.1,10.00,,,,,,,,
UXC Ltd,UXC,0.605,5.5,10.00,,,,,,,,
Vmoto Ltd,VMT,0.11,1,10.00,,,,,,,,
CathRx Ltd,CXD,0.175,1.5,9.37,,,,,,,,
Orbital Corp Ltd,OEC,0.035,0.3,9.38,,,,,,,,
Bionomics Ltd,BNO,0.295,2.5,9.26,,,,,,,,
Rheochem Plc cdi,RHE,0.12,1,9.09,,,,,,,,
Datadot Tech,DDT,0.038,0.3,8.57,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.039,0.3,8.33,,,,,,,,
Comops Ltd,COM,0.065,0.5,8.33,,,,,,,,
Macq Radio,MRN,0.78,6,8.33,,,,,,,,
Brisbane Broncos,BBL,0.395,3,8.22,,,,,,,,
Scott Corp,SCC,0.395,3,8.22,,,,,,,,
VDM Grp Ltd,VMG,0.395,3,8.22,,,,,,,,
Elders Ltd,ELD,0.66,5,8.20,,,,,,,,
