Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4436.7 at 16:35 1/6/2010  Report at 19:05 Tuesday 1/6/2010. Processed 19:18 Tuesday 1/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Reclaim Ind,RCM,0.04,2,100.00,,,,,,,,
Teys Ltd,TYS,0.003,0.1,50.00,,,,,,,,
Netcomm Ltd,NTC,0.235,5.5,30.56,,,,,,,,
Global Health Ltd,GLH,0.01,0.2,25.00,,,,,,,,
Laserbond Ltd,LBL,0.05,1,25.00,,,,,,,,
Orchid Capital opt feb12,ORCOA,0.015,0.3,25.00,,,,,,,,
Souls Private Equity opt feb15,SOEOA,0.015,0.3,25.00,,,,,,,,
Island Sky Aust,ISK,0.059,1,20.41,,,,,,,,
China Steel,CNH,0.12,2,20.00,,,,,,,,
Holista Colltech,HCT,0.125,2,19.05,,,,,,,,
JV Global Ltd,JVG,0.007,0.1,16.67,,,,,,,,
India Equities Fund opt aug10,INEO,0.18,2.5,16.13,,,,,,,,
E & A Ltd,EAL,0.29,4,16.00,,,,,,,,
Vita Grp Ltd,VTG,0.23,3,15.00,,,,,,,,
Anteo Diagnostics opt sep10,ADOO,0.041,0.5,13.89,,,,,,,,
Mesbon China Nylon,MES,0.13,1.5,13.04,,,,,,,,
Aust Education unt,AEU,0.565,6.5,13.00,,,,,,,,
CVC Prop Fund unt,CJT,0.018,0.2,12.50,,,,,,,,
Pharmanet Grp,PNO,0.009,0.1,12.50,,,,,,,,
Imugene Ltd,IMU,0.046,0.5,12.20,,,,,,,,
Patrys Ltd,PAB,0.14,1.5,12.00,,,,,,,,
Aust Power,APK,0.38,4,11.76,,,,,,,,
Cardia Bioplastics,CNN,0.02,0.2,11.11,,,,,,,,
Eneabba Gas Ltd,ENB,0.15,1.5,11.11,,,,,,,,
Altium Ltd,ALU,0.265,2.5,10.42,,,,,,,,
Seymour Whyte Ltd,SWL,1.10,10,10.00,,,,,,,,
USCOM Ltd,UCM,0.44,4,10.00,,,,,,,,
QRSciences Hldgs,QRS,0.05,0.4,8.70,,,,,,,,
Webspy Ltd,WSY,0.026,0.2,8.33,,,,,,,,
Real Estate Cap unt,RCU,0.135,1,8.00,,,,,,,,
Phoslock Water,PHK,0.097,0.7,7.78,,,,,,,,
ICSGlobal Ltd,ICS,0.014,0.1,7.69,,,,,,,,
Probiomics Ltd,PCC,0.014,0.1,7.69,,,,,,,,
Dragon Energy,DLE,0.30,2,7.14,,,,,,,,
ASG Grp Ltd,ASZ,1.32,8.5,6.88,,,,,,,,
Capral Ltd,CAA,0.16,1,6.67,,,,,,,,
Bluglass Ltd,BLG,0.099,0.6,6.45,,,,,,,,
Farmworks Aust,FWA,0.17,1,6.25,,,,,,,,
Saunders Intl Ltd,SND,0.425,2.5,6.25,,,,,,,,
Zicom Grp Ltd,ZGL,0.17,1,6.25,,,,,,,,
Alinta Energy Grp stp,AEJ,0.053,0.3,6.00,,,,,,,,
BioProspect Ltd,BPO,0.018,0.1,5.88,,,,,,,,
TPL Corp Ltd,TPL,0.018,0.1,5.88,,,,,,,,
Anteo Diagnostics,ADO,0.055,0.3,5.77,,,,,,,,
Benitec Ltd,BLT,0.037,0.2,5.71,,,,,,,,
Coretrack Ltd,CKK,0.195,1,5.41,,,,,,,,
Becton Prop Grp stp,BEC,0.06,0.3,5.26,,,,,,,,
Ipernica Ltd,IPR,0.08,0.4,5.26,,,,,,,,
Powerlan Ltd,PWR,0.042,0.2,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Odin Energy Ltd opt nov12,ODNO,0.002,0.1,100.00,,,,,,,,
Aragon Res opt sep10,AAGO,0.035,1.3,59.09,,,,,,,,
Eagle Eye Metals,EYE,0.105,3.6,52.17,,,,,,,,
Eagle Nickel Ltd,ENL,0.06,2,50.00,,,,,,,,
Energia Min Ltd,EMX,0.15,5,50.00,,,,,,,,
Apollo Min Ltd,AON,0.135,3.5,35.00,,,,,,,,
Baraka Pet,BKP,0.004,0.1,33.33,,,,,,,,
Carbine Res opt jul11,CRBO,0.19,4,26.67,,,,,,,,
Mineral Commodities opt dec12,MRCO,0.01,0.2,25.00,,,,,,,,
Resource Min Corp,RMI,0.005,0.1,25.00,,,,,,,,
Fairstar Res opt aug11,FASOA,0.038,0.7,22.58,,,,,,,,
Echo Res,EAR,0.055,1,22.22,,,,,,,,
L&M Energy Ltd,LME,0.145,2.5,20.83,,,,,,,,
Augustus Min opt jul10,AUJO,0.03,0.5,20.00,,,,,,,,
Callabonna Uranium,CUU,0.012,0.2,20.00,,,,,,,,
General Min Corp,GMM,0.13,2,18.18,,,,,,,,
Odin Energy Ltd,ODN,0.013,0.2,18.18,,,,,,,,
Golden State Res opt nov10,GDNOA,0.007,0.1,16.67,,,,,,,,
Mt Isa Metals,MET,0.14,2,16.67,,,,,,,,
Anglo Aust,AAR,0.029,0.4,16.00,,,,,,,,
Legend Min,LEG,0.029,0.4,16.00,,,,,,,,
Oil Basins Ltd opt jun12,OBLOA,0.022,0.3,15.79,,,,,,,,
Rox Res,RXL,0.016,0.2,14.29,,,,,,,,
Nickelore Ltd,NIO,0.025,0.3,13.64,,,,,,,,
Oil Basins Ltd,OBL,0.035,0.4,12.90,,,,,,,,
Doray Min Ltd,DRM,0.66,7.5,12.82,,,,,,,,
Midas Res opt nov12,MDSOC,0.045,0.5,12.50,,,,,,,,
Pelican Res,PEL,0.054,0.6,12.50,,,,,,,,
Sino Gas Energy,SEH,0.045,0.5,12.50,,,,,,,,
Silver Mines Ltd,SVL,0.11,1.2,12.24,,,,,,,,
New Standard Energy,NSE,0.19,2,11.76,,,,,,,,
Victory West Moly,VWM,0.145,1.5,11.54,,,,,,,,
Green Rock Energy,GRK,0.02,0.2,11.11,,,,,,,,
Montezuma Min Co,MZM,0.305,3,10.91,,,,,,,,
Heron Res,HRR,0.21,2,10.53,,,,,,,,
Nupower Res,NUP,0.042,0.4,10.53,,,,,,,,
Bathurst Res,BTU,0.165,1.5,10.00,,,,,,,,
Boulder Steel,BGD,0.11,1,10.00,,,,,,,,
Burleson Energy,BUR,0.11,1,10.00,,,,,,,,
Mithril Res,MTH,0.165,1.5,10.00,,,,,,,,
Montezuma Min Co opt aug11,MZMO,0.11,1,10.00,,,,,,,,
Eureka Energy Ltd,EKA,0.225,2,9.76,,,,,,,,
Papillon Res Ltd opt dec12,PIROA,0.045,0.4,9.76,,,,,,,,
Eden Energy Ltd,EDE,0.08,0.7,9.59,,,,,,,,
Cobar Cons,CCU,0.18,1.5,9.09,,,,,,,,
Forte Energy NL,FTE,0.12,1,9.09,,,,,,,,
Range Res Ltd opt dec11,RRSO,0.024,0.2,9.09,,,,,,,,
Amadeus Energy,AMU,0.19,1.5,8.57,,,,,,,,
Iron Road Ltd opt sep10,IRDO,0.39,3,8.33,,,,,,,,
K2 Energy Ltd,KTE,0.065,0.5,8.33,,,,,,,,
Mantle Min Corp,MNM,0.026,0.2,8.33,,,,,,,,
Siburan Res Ltd,SBU,0.26,2,8.33,,,,,,,,
Nucoal Res NL,NCR,0.265,2,8.16,,,,,,,,
