Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4981.2 at 16:34 11/1/2010  Report at 19:05 Monday 11/1/2010. Processed 20:40 Monday 11/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Windy Knob Res,WKR,0.09,2,28.57,,,,,,,,
Sunset Energy Ltd,SEY,0.14,3,27.27,,,,,,,,
Iron Ore Hldgs opt apr11,IOHO,0.95,20,26.67,,,,,,,,
Central Pet opt jun10,CTPOA,0.025,0.5,25.00,,,,,,,,
Desert Energy,DSN,0.15,3,25.00,,,,,,,,
Epsilon Energy,EPS,0.125,2.5,25.00,,,,,,,,
Solimar Energy,SGY,0.125,2.5,25.00,,,,,,,,
Zinc Co Aust,ZNC,0.175,3.5,25.00,,,,,,,,
Mantle Min Corp,MNM,0.052,1,23.81,,,,,,,,
Accent Res NL,ACS,0.21,4,23.53,,,,,,,,
Richmond Min opt dec10,RHMO,0.043,0.8,22.86,,,,,,,,
Golden State Res,GDN,0.065,1.2,22.64,,,,,,,,
Eldore Min,EDM,0.017,0.3,21.43,,,,,,,,
Buru Energy,BRU,0.27,4.5,20.00,,,,,,,,
Marion Energy opt dec11,MAEO,0.03,0.5,20.00,,,,,,,,
Yellow Rock opt sep12,YRROA,0.025,0.4,19.05,,,,,,,,
Global Nickel Invest,GNI,0.07,1.1,18.64,,,,,,,,
Peak Res,PEK,0.16,2.5,18.52,,,,,,,,
Altura Min Ltd,AJM,0.295,4.5,18.00,,,,,,,,
Gold One Int Ltd opt oct12,GDOO,0.135,2,17.39,,,,,,,,
Atom Energy Ltd opt oct10,AXYO,0.007,0.1,16.67,,,,,,,,
Blackham Res opt oct11,BLKO,0.14,2,16.67,,,,,,,,
Indo Mines Ltd,IDO,0.21,3,16.67,,,,,,,,
Reedy Lagoon Corp,RLC,0.07,1,16.67,,,,,,,,
Navigator Res opt nov11,NAVO,0.064,0.9,16.36,,,,,,,,
Marion Energy,MAE,0.145,2,16.00,,,,,,,,
Exoma Energy Ltd opt mar11,EXEO,0.044,0.6,15.79,,,,,,,,
Batavia Min opt jun12,BTVO,0.075,1,15.38,,,,,,,,
Dragon Mountain Gold,DMG,0.15,2,15.38,,,,,,,,
Victory West Moly,VWM,0.15,2,15.38,,,,,,,,
Mantle Min Corp opt dec10,MNMOA,0.023,0.3,15.00,,,,,,,,
Newera Uranium,NRU,0.039,0.5,14.71,,,,,,,,
Terrain Min,TMX,0.086,1.1,14.67,,,,,,,,
Pac Niugini Ltd,PNR,0.12,1.5,14.29,,,,,,,,
Samson Oil & Gas opt dec12,SSNO,0.008,0.1,14.29,,,,,,,,
Sipa Res Ltd,SRI,0.105,1.3,14.13,,,,,,,,
Nkwe Platinum opt aug11,NKPO,0.33,4,13.79,,,,,,,,
Strategic Energy,SER,0.025,0.3,13.64,,,,,,,,
Oilex Ltd,OEX,0.21,2.5,13.51,,,,,,,,
Beacon Min opt aug10,BCNOA,0.017,0.2,13.33,,,,,,,,
Peninsula Min,PEN,0.051,0.6,13.33,,,,,,,,
Rum Jungle Uranium,RUM,0.086,1,13.16,,,,,,,,
Prosperity Res,PSP,0.13,1.5,13.04,,,,,,,,
Emmerson Res,ERM,0.305,3.5,12.96,,,,,,,,
Western Plains Res,WPG,0.355,4,12.70,,,,,,,,
Buccaneer Energy,BCC,0.135,1.5,12.50,,,,,,,,
Centaurus Res,CUR,0.45,5,12.50,,,,,,,,
Peninsula Min opt jun12,PENOA,0.036,0.4,12.50,,,,,,,,
Pepinnini Min,PNN,0.27,3,12.50,,,,,,,,
Resource Min Corp,RMI,0.009,0.1,12.50,,,,,,,,
Sth Boulder Mines,STB,0.27,3,12.50,,,,,,,,
Yellow Rock,YRR,0.055,0.6,12.24,,,,,,,,
Hannans Reward,HNR,0.23,2.5,12.20,,,,,,,,
Metminco Ltd opt dec12,MNCO,0.046,0.5,12.20,,,,,,,,
Aurox Res,AXO,0.37,4,12.12,,,,,,,,
Regis Reources,RRL,0.79,8.5,12.06,,,,,,,,
Malachite Res,MAR,0.084,0.9,12.00,,,,,,,,
Uran Ltd opt jul12,URAOA,0.028,0.3,12.00,,,,,,,,
Voyager Res,VOR,0.028,0.3,12.00,,,,,,,,
Axiom Min Ltd cdi,AVQ,0.019,0.2,11.76,,,,,,,,
Callabonna Uranium,CUU,0.019,0.2,11.76,,,,,,,,
NKWE Platinum com,NKP,0.62,6.5,11.71,,,,,,,,
Buccaneer Energy opt nov12,BCCO,0.087,0.9,11.54,,,,,,,,
Icon Energy Ltd,ICN,0.44,4.5,11.39,,,,,,,,
Black Fire Min,BFE,0.15,1.5,11.11,,,,,,,,
Burleson Energy opt aug10,BURO,0.01,0.1,11.11,,,,,,,,
Chrysalis Res,CYS,0.30,3,11.11,,,,,,,,
Chrysalis Res  opt jun13,CYSO,0.15,1.5,11.11,,,,,,,,
Excalibur Min,EXM,0.02,0.2,11.11,,,,,,,,
Golden State Res opt nov10,GDNOA,0.01,0.1,11.11,,,,,,,,
Longreach Oil Ltd,LGO,0.01,0.1,11.11,,,,,,,,
Pacrim Energy,PRE,0.01,0.1,11.11,,,,,,,,
Redstone Res,RDS,0.11,1.1,11.11,,,,,,,,
Azumah Res,AZM,0.31,3,10.71,,,,,,,,
Odyssey Energy,ODY,0.042,0.4,10.53,,,,,,,,
Universal Res,URL,0.021,0.2,10.53,,,,,,,,
Signature Metals,SBL,0.032,0.3,10.34,,,,,,,,
Niplats Aust,NIP,0.435,4,10.13,,,,,,,,
Robust Res,ROL,2.62,24,10.08,,,,,,,,
Atom Energy Ltd,AXY,0.11,1,10.00,,,,,,,,
Ironbark Gold,IBG,0.22,2,10.00,,,,,,,,
Territory Uranium,TUC,0.11,1,10.00,,,,,,,,
Sabre Res,SBR,0.445,4,9.88,,,,,,,,
Platinum Aust,PLA,1.175,10.5,9.81,,,,,,,,
Aurora Min Ltd,ARM,1.01,9,9.78,,,,,,,,
Northern Uranium,NTU,0.225,2,9.76,,,,,,,,
Adelphi Energy,ADI,0.17,1.5,9.68,,,,,,,,
Goldsearch Ltd,GSE,0.034,0.3,9.68,,,,,,,,
Nexus Energy Ltd,NXS,0.34,3,9.68,,,,,,,,
Strike Energy Ltd,STX,0.34,3,9.68,,,,,,,,
ERO Min Ltd,ERO,0.057,0.5,9.62,,,,,,,,
Ferrum Crescent,FCR,0.115,1,9.52,,,,,,,,
Zedex Min fpo nz,ZDX,0.115,1,9.52,,,,,,,,
Bass Metals Ltd,BSM,0.29,2.5,9.43,,,,,,,,
Forte Energy NL,FTE,0.175,1.5,9.37,,,,,,,,
Glengarry Res,GGY,0.06,0.5,9.09,,,,,,,,
Resolute Min 12% cn12,RSGG,1.20,10,9.09,,,,,,,,
Rimfire Pacific,RIM,0.024,0.2,9.09,,,,,,,,
Magnetic Res,MAU,0.365,3,8.96,,,,,,,,
Blackham Res,BLK,0.305,2.5,8.93,,,,,,,,
Platina Res,PGM,0.305,2.5,8.93,,,,,,,,
Syndicated Metals,SMD,0.185,1.5,8.82,,,,,,,,
Beacon Min,BCN,0.025,0.2,8.70,,,,,,,,
Eureka Energy Ltd,EKA,0.125,1,8.70,,,,,,,,
Pelican Res,PEL,0.125,1,8.70,,,,,,,,
BC Iron Ltd,BCI,1.38,11,8.66,,,,,,,,
AED Oil Ltd,AED,0.71,5.5,8.40,,,,,,,,
Encounter Res,ENR,0.26,2,8.33,,,,,,,,
Liberty Resource,LBY,0.13,1,8.33,,,,,,,,
Monto Min Ltd,MOO,0.013,0.1,8.33,,,,,,,,
NEW Standard Energy,NSE,0.13,1,8.33,,,,,,,,
Manhattan Corp,MHC,1.64,12.5,8.25,,,,,,,,
Helix Res opt may11,HLXOA,0.04,0.3,8.11,,,,,,,,
Iron Road Ltd,IRD,0.80,6,8.11,,,,,,,,
Kasbah Res,KAS,0.08,0.6,8.11,,,,,,,,
Austin Explore opt nov11,AKKO,0.027,0.2,8.00,,,,,,,,
NGM Res Ltd,NGM,0.135,1,8.00,,,,,,,,
Panoramic Res,PAN,2.57,19,7.98,,,,,,,,
Geopacific Res,GPR,0.07,0.5,7.69,,,,,,,,
Monax Min Ltd opt nov11,MOXO,0.042,0.3,7.69,,,,,,,,
Saracen Min,SAR,0.505,3.5,7.45,,,,,,,,
Millennium Min,MOY,0.044,0.3,7.32,,,,,,,,
Maximus Res,MXR,0.03,0.2,7.14,,,,,,,,
Orocobre Ltd,ORE,1.35,9,7.14,,,,,,,,
Panax Geothermal opt dec11,PAXO,0.045,0.3,7.14,,,,,,,,
Ausmon Resources,AOA,0.305,2,7.02,,,,,,,,
Resolute Min opt dec11,RSGO,0.61,4,7.02,,,,,,,,
Sphere Min Ltd,SPH,1.23,8,6.96,,,,,,,,
Western Desert Res,WDR,0.625,4,6.84,,,,,,,,
Alumina Ltd,AWC,2.06,13,6.74,,,,,,,,
Metgasco Ltd,MEL,0.72,4.5,6.67,,,,,,,,
Pac Ore Ltd opt sep12,PSFO,0.016,0.1,6.67,,,,,,,,
Triangle Energy,TEG,0.032,0.2,6.67,,,,,,,,
Western Areas NL,WSA,5.60,35,6.67,,,,,,,,
China Yunnan Copper,CYU,0.245,1.5,6.52,,,,,,,,
Rubianna Res Ltd,RRE,0.245,1.5,6.52,,,,,,,,
Rusina Min NL,RML,0.098,0.6,6.52,,,,,,,,
Atlas Iron Ltd,AGO,2.29,14,6.51,,,,,,,,
St Barbara Ltd,SBM,0.33,2,6.45,,,,,,,,
Barra Res,BAR,0.10,0.6,6.38,,,,,,,,
Ampella Min,AMX,0.67,4,6.35,,,,,,,,
White Energy Co,WEC,2.70,16,6.30,,,,,,,,
Alloy Res,AYR,0.034,0.2,6.25,,,,,,,,
Bassari Res,BSR,0.425,2.5,6.25,,,,,,,,
Breakaway Res,BRW,0.068,0.4,6.25,,,,,,,,
Buxton Res Ltd,BUX,0.085,0.5,6.25,,,,,,,,
Castle Min,CDT,0.34,2,6.25,,,,,,,,
Moly Mines Ltd,MOL,1.11,6.5,6.22,,,,,,,,
Berkeley Res,BKY,1.37,8,6.20,,,,,,,,
Hillgrove Res Ltd,HGO,0.515,3,6.19,,,,,,,,
Extract Res,EXT,8.80,51,6.15,,,,,,,,
Rex Min Ltd,RXM,1.90,11,6.15,,,,,,,,
Cape Lambert Res,CFE,0.605,3.5,6.14,,,,,,,,
Iron Ore Hldgs,IOH,1.91,11,6.11,,,,,,,,
Trafford Res,TRF,1.05,6,6.06,,,,,,,,
Lincoln Min,LML,0.44,2.5,6.02,,,,,,,,
Reed Res Ltd,RDR,0.795,4.5,6.00,,,,,,,,
Gold Anomaly Ltd,GOA,0.036,0.2,5.88,,,,,,,,
Kagara Ltd,KZL,1.26,7,5.88,,,,,,,,
Lodestone Energy,LOD,0.18,1,5.88,,,,,,,,
Uranium Equities,UEQ,0.18,1,5.88,,,,,,,,
Western Uranium opt jun10,WTNO,0.45,2.5,5.88,,,,,,,,
Amadeus Energy,AMU,0.275,1.5,5.77,,,,,,,,
Bendigo Min Ltd,BDG,0.275,1.5,5.77,,,,,,,,
Poseidon Nick Ltd,POS,0.275,1.5,5.77,,,,,,,,
Antares Energy,AZZ,0.735,4,5.76,,,,,,,,
ABM Res NL,ABU,0.037,0.2,5.71,,,,,,,,
Meridian Min,MII,0.074,0.4,5.71,,,,,,,,
Ampella Min opt jul10,AMXO,0.465,2.5,5.68,,,,,,,,
Admiralty Res,ADY,0.019,0.1,5.56,,,,,,,,
Apex Min NL,AXM,0.038,0.2,5.56,,,,,,,,
Argonaut Res,ARE,0.076,0.4,5.56,,,,,,,,
Cobar Cons,CCU,0.285,1.5,5.56,,,,,,,,
Integra Min Ltd,IGR,0.285,1.5,5.56,,,,,,,,
Krucible Metals,KRB,0.38,2,5.56,,,,,,,,
Phoenix Copper,PNX,0.19,1,5.56,,,,,,,,
Tanami Gold NL,TAM,0.077,0.4,5.48,,,,,,,,
Austin Explore,AKK,0.058,0.3,5.45,,,,,,,,
Anvil Min cdi,AVM,3.68,19,5.44,,,,,,,,
Blackthorn Res,BTR,0.78,4,5.41,,,,,,,,
FerrAus Ltd,FRS,0.79,4,5.33,,,,,,,,
Minara Res,MRE,0.89,4.5,5.33,,,,,,,,
Curnamona Energy,CUY,0.40,2,5.26,,,,,,,,
Icon Res Ltd,III,0.10,0.5,5.26,,,,,,,,
Peel Explore,PEX,0.10,0.5,5.26,,,,,,,,
Red Sky Energy,ROG,0.04,0.2,5.26,,,,,,,,
Emergent Res,EMG,0.73,3.5,5.04,,,,,,,,
Red Sky Energy opt sep11,ROGOA,0.021,0.1,5.00,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Nomad Bld,NOD,0.37,-33.5,-47.52,,,,,,,,
Datamotion Asia,DMN,0.002,-0.1,-33.33,,,,,,,,
Olea Australis,OLE,0.003,-0.1,-25.00,,,,,,,,
ICSGlobal Ltd,ICS,0.031,-1,-24.39,,,,,,,,
Imugene Ltd,IMU,0.076,-2.4,-24.00,,,,,,,,
MGM Wireless Ltd,MWR,0.01,-0.2,-16.67,,,,,,,,
Smarttrans Hldgs,SMA,0.005,-0.1,-16.67,,,,,,,,
Probiomics Ltd,PCC,0.021,-0.4,-16.00,,,,,,,,
NewSat Ltd,NWT,0.006,-0.1,-14.29,,,,,,,,
Digislide Hldgs,DGI,0.26,-4,-13.33,,,,,,,,
Eastland Medical opt may11,EMSO,0.013,-0.2,-13.33,,,,,,,,
ETW Corp Ltd,ETW,0.02,-0.3,-13.04,,,,,,,,
Biopharmica Ltd opt may10,BPHO,0.007,-0.1,-12.50,,,,,,,,
Marine Produce Aust,MPA,0.035,-0.5,-12.50,,,,,,,,
Monteray Grp,MRY,0.014,-0.2,-12.50,,,,,,,,
Powerlan Ltd,PWR,0.105,-1.5,-12.50,,,,,,,,
Patrys Ltd,PAB,0.11,-1.5,-12.00,,,,,,,,
Mint Wireless,MNW,0.03,-0.4,-11.76,,,,,,,,
National Leisure,NLG,0.031,-0.4,-11.43,,,,,,,,
Hydrotech Inter,HTI,0.008,-0.1,-11.11,,,,,,,,
JV Global Ltd,JVG,0.008,-0.1,-11.11,,,,,,,,
Pharmanet Grp,PNO,0.008,-0.1,-11.11,,,,,,,,
RTL Corp Ltd,RTL,0.024,-0.3,-11.11,,,,,,,,
Netcomm Ltd,NTC,0.245,-3,-10.91,,,,,,,,
Anteo Diagnostics,ADO,0.009,-0.1,-10.00,,,,,,,,
Beyond Sportswear,BSI,0.018,-0.2,-10.00,,,,,,,,
Grandbridge Ltd,GBA,0.135,-1.5,-10.00,,,,,,,,
IFS Construct Ltd,IFS,0.045,-0.5,-10.00,,,,,,,,
Paragon Care Ltd opt may12,PGCOA,0.009,-0.1,-10.00,,,,,,,,
Q Ltd,QXQ,0.099,-1.1,-10.00,,,,,,,,
Transol Corp,TNC,0.009,-0.1,-10.00,,,,,,,,
Biotron Ltd,BIT,0.10,-1,-9.09,,,,,,,,
Lindsay Aust,LAU,0.20,-2,-9.09,,,,,,,,
Pac Energy,PEA,0.30,-3,-9.09,,,,,,,,
Clever Com Aus,CVA,0.064,-0.6,-8.57,,,,,,,,
C @ Ltd,CEO,0.011,-0.1,-8.33,,,,,,,,
