Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4613.0 at 16:41 7/9/2010  Report at 19:05 Tuesday 7/9/2010. Processed 19:48 Tuesday 7/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Global Health Ltd,GLH,0.008,0.4,100.00,,,,,,,,
Metal Storm Ltd opt sep11,MSTO,0.002,0.1,100.00,,,,,,,,
Aacl Hldgs Ltd,AAY,0.057,2.7,90.00,,,,,,,,
Living & Leisure Grp stp,LLA,0.025,0.7,38.89,,,,,,,,
Garratt's Ltd,GRT,0.50,13.5,36.99,,,,,,,,
Montec Intl,MTI,0.005,0.1,25.00,,,,,,,,
Geodynamics Ltd,GDY,0.58,11,23.40,,,,,,,,
Holista Colltech,HCT,0.09,1.5,20.00,,,,,,,,
Neptune Marine opt dec10,NMSO,0.066,1.1,20.00,,,,,,,,
Connxion Ventures,CXN,0.035,0.5,16.67,,,,,,,,
Diversa Ltd,DVA,0.11,1.5,15.79,,,,,,,,
Tel Pacific Ltd,TPC,0.085,1,13.33,,,,,,,,
Aust Ethical,AEF,26.50,300,12.77,,,,,,,,
Cordlife Ltd,CBB,0.40,4.5,12.68,,,,,,,,
E-Com Multi Ltd,ECE,0.009,0.1,12.50,,,,,,,,
Medivac Ltd,MDV,0.009,0.1,12.50,,,,,,,,
Rivercity Motorway stp,RCY,0.019,0.2,11.76,,,,,,,,
ECO Quest,ECQ,0.10,1,11.11,,,,,,,,
Eneabba Gas Ltd,ENB,0.10,1,11.11,,,,,,,,
Energio Ltd,EIO,0.01,0.1,11.11,,,,,,,,
MGM Wireless Ltd,MWR,0.01,0.1,11.11,,,,,,,,
Scott Corp,SCC,0.48,4.5,10.34,,,,,,,,
Mako Energy Ltd,MKE,0.22,2,10.00,,,,,,,,
National Leisure,NLG,0.011,0.1,10.00,,,,,,,,
Qmastor Ltd,QML,0.285,2.5,9.62,,,,,,,,
Trinity Grp stp,TCQ,0.069,0.6,9.52,,,,,,,,
