Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:05 Friday 3/9/2010. Processed 17:34 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Transol Corp opt may11,TNCOA,0.002,0.1,100.00,,,,,,,,
Byte Power Grp,BPG,0.004,0.1,33.33,,,,,,,,
Bluglass Ltd,BLG,0.125,2.7,27.55,,,,,,,,
Structural Monitor cdi,SMN,0.01,0.2,25.00,,,,,,,,
Impedimed Ltd opt oct12,IPDO,0.13,2.5,23.81,,,,,,,,
Aust Ethical,AEF,23.50,450,23.68,,,,,,,,
Papyrus Aust,PPY,0.24,4,20.00,,,,,,,,
Aeris Environmental,AEI,0.175,2.5,16.67,,,,,,,,
Bisan Ltd,BSN,0.035,0.5,16.67,,,,,,,,
Medivac Ltd,MDV,0.008,0.1,14.29,,,,,,,,
Flat Glass Ind,FGI,0.25,3,13.64,,,,,,,,
Nexbis Ltd,NBS,0.08,0.9,12.68,,,,,,,,
Hydrotech Inter,HTI,0.009,0.1,12.50,,,,,,,,
Apollo Cons,AOP,0.01,0.1,11.11,,,,,,,,
RER Grp Ltd,RGD,0.43,4,10.26,,,,,,,,
Oncard Intl,ONC,0.11,1,10.00,,,,,,,,
Stirling Products,STI,0.011,0.1,10.00,,,,,,,,
Prime Media Grp,PRT,0.62,5.5,9.73,,,,,,,,
Atcor Medical,ACG,0.115,1,9.52,,,,,,,,
IPGA Ltd,IPP,0.35,3,9.37,,,,,,,,
Two Way Ltd,TTV,0.035,0.3,9.38,,,,,,,,
Imugene Ltd,IMU,0.084,0.7,9.09,,,,,,,,
ING RE Com stp,ILF,0.075,0.6,8.70,,,,,,,,
Macq Atlas Roads stp,MQA,1.385,11,8.63,,,,,,,,
Healthzone Ltd,HZL,0.315,2.5,8.62,,,,,,,,
