Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4479.0 at 16:37 28/5/2010  Report at 19:05 Friday 28/5/2010. Processed 07:24 Saturday 29/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.02,0.9,81.82,,,,,,,,
Altera Res Ltd opt jan12,AEAO,0.16,6.5,68.42,,,,,,,,
Bravura Solutions rts 31may,BVAR,0.003,0.1,50.00,,,,,,,,
IM Medical Ltd,IMI,0.003,0.1,50.00,,,,,,,,
Actinogen Ltd,ACW,0.04,1.3,48.15,,,,,,,,
Gunns Ltd,GNS,0.395,12,43.64,,,,,,,,
CEC Grp Ltd,CEG,0.115,3,35.29,,,,,,,,
TWT Grp Ltd,TWT,0.10,2.5,33.33,,,,,,,,
Rubicor Grp,RUB,0.045,1,28.57,,,,,,,,
Aust China Hldgs,AAK,0.005,0.1,25.00,,,,,,,,
Carbon Conscious,CCF,0.10,1.9,23.46,,,,,,,,
Redcape Prop Grp stp,RPF,0.265,4.5,20.45,,,,,,,,
Lifestyle Communit,LIC,0.06,1,20.00,,,,,,,,
Morning Star,MSH,0.12,2,20.00,,,,,,,,
Patrys Ltd,PAB,0.12,2,20.00,,,,,,,,
Objective Corp,OCL,0.32,5,18.52,,,,,,,,
QRSciences Hldgs,QRS,0.049,0.7,16.67,,,,,,,,
Zicom Grp Ltd,ZGL,0.175,2.5,16.67,,,,,,,,
E & A Ltd,EAL,0.29,4,16.00,,,,,,,,
Multiplex Acumen unt,MPF,0.059,0.8,15.69,,,,,,,,
Alpha Financial Prod ser1frn12,AFPHA,30.00,400,15.38,,,,,,,,
Manaccom Corp Ltd,MNL,0.27,3.5,14.89,,,,,,,,
Phylogica Ltd,PYC,0.08,1,14.29,,,,,,,,
Brierty Ltd,BYL,0.295,3.5,13.46,,,,,,,,
Pienets Ltd,PIE,0.026,0.3,13.04,,,,,,,,
Cardia Bioplastics,CNN,0.018,0.2,12.50,,,,,,,,
GoConnect Ltd,GCN,0.027,0.3,12.50,,,,,,,,
Hostech Ltd,HTC,0.018,0.2,12.50,,,,,,,,
Quest Min Ltd,QNL,0.045,0.5,12.50,,,,,,,,
Essa Aust,ESS,0.19,2,11.76,,,,,,,,
Cordlife Ltd,CBB,0.48,5,11.63,,,,,,,,
Legacy Iron Ore,LCY,0.145,1.5,11.54,,,,,,,,
Gunns Ltd forests,GNSPA,60.00,620,11.52,,,,,,,,
NRW Hldgs Ltd,NWH,1.025,10.5,11.41,,,,,,,,
Cougar Energy,CXY,0.09,0.9,11.11,,,,,,,,
