Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4673.9 at 16:34 18/2/2010  Report at 19:05 Thursday 18/2/2010. Processed 19:38 Thursday 18/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Comtel Corp Ltd,CMO,0.029,1.1,61.11,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.044,1.3,41.94,,,,,,,,
OBJ Ltd ,OBJ,0.057,1.4,32.56,,,,,,,,
Legend Corp,LGD,0.19,4,26.67,,,,,,,,
RCL Grp stpld,RLG,0.11,2,22.22,,,,,,,,
Cheviot Bridge,CVB,0.048,0.8,20.00,,,,,,,,
Savcor Grp Ltd,SAV,0.12,2,20.00,,,,,,,,
Xiaoxiao Education,XXL,0.30,5,20.00,,,,,,,,
Unilife Corp cdi 6:1,UNS,1.65,24,17.02,,,,,,,,
ICSGlobal Ltd,ICS,0.021,0.3,16.67,,,,,,,,
Tutt Bryant Grp,TBG,0.64,9,16.36,,,,,,,,
Powerlan Ltd,PWR,0.07,0.9,14.75,,,,,,,,
Coonawarra Aust unt,CNR,0.12,1.5,14.29,,,,,,,,
Healthzone Ltd,HZL,0.375,4.5,13.64,,,,,,,,
Cape Range Ltd,CAG,0.009,0.1,12.50,,,,,,,,
India Equities Fund opt aug10,INEO,0.09,1,12.50,,,,,,,,
Redisland Aust,RLA,0.018,0.2,12.50,,,,,,,,
Noni B Ltd,NBL,1.40,15,12.00,,,,,,,,
Alpha Financial Prod ser1frn12,AFPHA,22.00,230,11.68,,,,,,,,
CPI Grp Ltd,CPI,0.30,3,11.11,,,,,,,,
Energy Ventures,EVE,0.05,0.5,11.11,,,,,,,,
Macro Corp Ltd,MAC,0.03,0.3,11.11,,,,,,,,
Mariner Corp Ltd,MCX,0.01,0.1,11.11,,,,,,,,
Coote Industrial,CXG,0.21,2,10.53,,,,,,,,
Mesbon China Nylon,MES,0.095,0.9,10.47,,,,,,,,
Capitol Health,CAJ,0.044,0.4,10.00,,,,,,,,
Pienets Ltd,PIE,0.011,0.1,10.00,,,,,,,,
Environment Grp,EGL,0.057,0.5,9.62,,,,,,,,
Living & Leisure Grp stpld,LLA,0.023,0.2,9.52,,,,,,,,
Wallace Absolute,WAB,0.035,0.3,9.38,,,,,,,,
Tandou Ltd,TAN,0.37,3,8.82,,,,,,,,
Jumbuck Entertain,JMB,0.31,2.5,8.77,,,,,,,,
Karmelsonix Ltd,KSX,0.038,0.3,8.57,,,,,,,,
AMA Grp Ltd,AMA,0.065,0.5,8.33,,,,,,,,
Diploma Grp Ltd,DGX,0.52,4,8.33,,,,,,,,
ITL Ltd,ITD,0.065,0.5,8.33,,,,,,,,
Stratatel Ltd,STE,0.067,0.5,8.06,,,,,,,,
Advanced Share,ASW,0.42,3,7.69,,,,,,,,
