Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:34 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Southerncross Gold,SXG,0.09,1,12.50,,,,,,,,
Activex Ltd,AIV,0.07,0.7,11.11,,,,,,,,
Cullen Res,CUL,0.04,0.4,11.11,,,,,,,,
Empire Oil & Gas,EGO,0.01,0.1,11.11,,,,,,,,
Quest Pet,QPN,0.01,0.1,11.11,,,,,,,,
Callabonna Uranium,CUU,0.011,0.1,10.00,,,,,,,,
Po Valley Energy,PVE,0.345,3,9.52,,,,,,,,
Target Energy,TEX,0.023,0.2,9.52,,,,,,,,
Nkwe Platinum opt aug11,NKPO,0.295,2.5,9.26,,,,,,,,
Alcyone Res Ltd,AYN,0.024,0.2,9.09,,,,,,,,
Norwest Energy NL,NWE,0.024,0.2,9.09,,,,,,,,
Pike River Coal,PRC,0.73,6,8.96,,,,,,,,
Bowen Energy Ltd,BWN,0.049,0.4,8.89,,,,,,,,
Krucible Metals,KRB,0.315,2.5,8.62,,,,,,,,
Reward Min Ltd,RWD,0.315,2.5,8.62,,,,,,,,
Sandfire Res,SFR,3.49,27,8.39,,,,,,,,
REY Res Ltd,REY,0.13,1,8.33,,,,,,,,
Xanadu Res Ltd,XNU,0.065,0.5,8.33,,,,,,,,
Flinders Mines,FMS,0.092,0.7,8.24,,,,,,,,
Silver Lake Resource,SLR,1.91,14.5,8.22,,,,,,,,
Aust Gold Invest,AGV,0.04,0.3,8.11,,,,,,,,
Resource Generation,RES,0.475,3.5,7.95,,,,,,,,
Bondi Min Ltd,BOM,0.055,0.4,7.84,,,,,,,,
Marmota Energy,MEU,0.069,0.5,7.81,,,,,,,,
Exoma Energy Ltd,EXE,0.21,1.5,7.69,,,,,,,,
Integrated Res,IRG,0.014,0.1,7.69,,,,,,,,
Transerv Energy,TSV,0.014,0.1,7.69,,,,,,,,
Victoria Pet,VPE,0.28,2,7.69,,,,,,,,
Toro Energy Ltd,TOE,0.085,0.6,7.59,,,,,,,,
Adelaide Res,ADN,0.145,1,7.41,,,,,,,,
Aspire Min Ltd,AKM,0.087,0.6,7.41,,,,,,,,
Elementos Ltd,ELT,0.145,1,7.41,,,,,,,,
Scotgold Res,SGZ,0.087,0.6,7.41,,,,,,,,
Highlands Pacific,HIG,0.22,1.5,7.32,,,,,,,,
Fall River Res cdi,FRV,0.015,0.1,7.14,,,,,,,,
Minemakers Ltd,MAK,0.225,1.5,7.14,,,,,,,,
Noble Min Res,NMG,0.30,2,7.14,,,,,,,,
