Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4325.8 at 16:34 21/5/2010  Report at 19:05 Friday 21/5/2010. Processed 19:13 Friday 21/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
Promesa Ltd,PRA,0.095,0.5,5.56,,,,,,,,
OZ Minerals,OZL,1.05,5.5,5.53,,,,,,,,
Matsa Res,MAT,0.29,1.5,5.45,,,,,,,,
Ironbark Zinc Ltd,IBG,0.195,1,5.41,,,,,,,,
Apollo Gas Ltd,AZO,0.60,3,5.26,,,,,,,,
Beacon Min,BCN,0.02,0.1,5.26,,,,,,,,
Global Nickel Invest,GNI,0.06,0.3,5.26,,,,,,,,
Lodestone Energy,LOD,0.10,0.5,5.26,,,,,,,,
Planet Gas Ltd,PGS,0.10,0.5,5.26,,,,,,,,
Uranex NL,UNX,0.20,1,5.26,,,,,,,,
Macarthur Coal,MCC,10.65,53,5.24,,,,,,,,
Mount Gibson Iron,MGX,1.35,6.5,5.06,,,,,,,,
Cullen Res,CUL,0.042,0.2,5.00,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Aust Leaders opt nov10,ALFO,0.007,-0.8,-53.33,,,,,,,,
Impedimed Ltd opt oct12,IPDO,0.105,-5,-32.26,,,,,,,,
Panorama Synergy,PSY,0.17,-8,-32.00,,,,,,,,
Redisland Aust,RLA,0.016,-0.7,-30.43,,,,,,,,
Artist & Entertain,AEM,0.01,-0.4,-28.57,,,,,,,,
Excela Ltd,EXA,0.30,-12,-28.57,,,,,,,,
Freshtel Hldgs,FRE,0.003,-0.1,-25.00,,,,,,,,
Empire Beer Grp,EEE,0.05,-1.5,-23.08,,,,,,,,
Euroz Ltd opt mar14,EZLO,0.55,-16,-22.54,,,,,,,,
Global Health Ltd,GLH,0.007,-0.2,-22.22,,,,,,,,
ICSGlobal Ltd,ICS,0.011,-0.3,-21.43,,,,,,,,
Macq Fortress frn aug35,MFNHA,0.15,-4,-21.05,,,,,,,,
