Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4598.6 at 16:36 6/5/2010  Report at 19:05 Thursday 6/5/2010. Processed 21:40 Thursday 6/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
4C Sec Solution,FCS,0.03,0.9,42.86,,,,,,,,
JV Global Ltd,JVG,0.007,0.2,40.00,,,,,,,,
Magellan Fin Grp opt jun16,MFGOC,0.20,5.5,37.93,,,,,,,,
NewSat Ltd,NWT,0.004,0.1,33.33,,,,,,,,
Viralytics Ltd opt jun10,VLAO,0.013,0.3,30.00,,,,,,,,
ENV Clean Tech,ESI,0.032,0.7,28.00,,,,,,,,
bioMD Ltd opt dec11,BODOA,0.01,0.2,25.00,,,,,,,,
Energy One Ltd,EOL,0.12,2,20.00,,,,,,,,
Structural Monitor cdi,SMN,0.012,0.2,20.00,,,,,,,,
Teys Ltd,TYS,0.006,0.1,20.00,,,,,,,,
Globe Sec,GTI,0.105,1.5,16.67,,,,,,,,
Astra Capital Ltd,AKR,0.66,9,15.79,,,,,,,,
ENV Clean Tech opt jan14,ESIO,0.022,0.3,15.79,,,,,,,,
Analytica Ltd,ALT,0.039,0.5,14.71,,,,,,,,
BioProspect Ltd,BPO,0.024,0.3,14.29,,,,,,,,
ICSGlobal Ltd,ICS,0.017,0.2,13.33,,,,,,,,
Investorfirst Ltd,INQ,0.09,1,12.50,,,,,,,,
Nusep Ltd,NSP,0.225,2.5,12.50,,,,,,,,
MobileActive Ltd,MBA,0.038,0.4,11.76,,,,,,,,
Agricultural Land unt,AGJ,0.16,1.5,10.34,,,,,,,,
Viralytics Ltd,VLA,0.044,0.4,10.00,,,,,,,,
Adv Braking Tech,ABV,0.023,0.2,9.52,,,,,,,,
Redflex Hldgs,RDF,1.87,15.5,9.04,,,,,,,,
HGL Ltd,HNG,1.24,10,8.77,,,,,,,,
Mint Wireless,MNW,0.038,0.3,8.57,,,,,,,,
Nexbis Ltd,NBS,0.13,1,8.33,,,,,,,,
Savcor Grp Ltd,SAV,0.135,1,8.00,,,,,,,,
Vita Grp Ltd,VTG,0.27,2,8.00,,,,,,,,
eBet Ltd,EBT,0.095,0.7,7.95,,,,,,,,
Mirvac Industrial unt,MIX,0.041,0.3,7.89,,,,,,,,
Oohmedia Grp Ltd,OOH,0.14,1,7.69,,,,,,,,
Pearl Healthcare,PHL,0.07,0.5,7.69,,,,,,,,
Quickstep Hldgs,QHL,0.355,2.5,7.58,,,,,,,,
MacarthurCook PSF unt,MPS,0.086,0.6,7.50,,,,,,,,
EVZ Ltd,EVZ,0.105,0.7,7.14,,,,,,,,
Living Cell Tech opt dec10,LCTO,0.09,0.6,7.14,,,,,,,,
Medical Develop,MVP,0.225,1.5,7.14,,,,,,,,
Namoi Cotton ccu,NAM,0.395,2.5,6.76,,,,,,,,
Brainz Instruments,BZI,0.16,1,6.67,,,,,,,,
Neuren Pharmaceut,NEU,0.032,0.2,6.67,,,,,,,,
Thinksmart Ltd,TSM,0.86,4.5,5.52,,,,,,,,
Wellcom Grp Ltd,WLL,2.04,10,5.15,,,,,,,,
Magellan Fin Grp,MFG,1.05,5,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Somerton Energy,SNE,0.011,0.4,57.14,,,,,,,,
Jameson Res,JAL,0.068,2,41.67,,,,,,,,
Auzex Res,AZX,0.16,4,33.33,,,,,,,,
Golden Cross opt mar11,GCRO,0.004,0.1,33.33,,,,,,,,
Republic Gold Ltd opt jun11,RAUOA,0.004,0.1,33.33,,,,,,,,
Westralian Gas & Pwr opt oct11,WGPOA,0.004,0.1,33.33,,,,,,,,
Northern Star,NST,0.058,1.3,28.89,,,,,,,,
Aspire Min Ltd,AKM,0.125,2.5,25.00,,,,,,,,
Ferrowest Ltd opt jun10,FWLO,0.025,0.5,25.00,,,,,,,,
Lonrho Min Ltd opt nov10,LOMOA,0.005,0.1,25.00,,,,,,,,
Goldminex Res,GMX,0.29,5,20.83,,,,,,,,
Carpathian Res,CPN,0.06,1,20.00,,,,,,,,
Dart Min NL opt may10,DTMO,0.006,0.1,20.00,,,,,,,,
Centennial Coal,CEY,4.71,72,18.05,,,,,,,,
Aviva Corp,AVA,0.094,1.4,17.50,,,,,,,,
Nyota Min Ltd,NYO,0.27,4,17.39,,,,,,,,
Resolute Min opt dec11,RSGO,0.585,8.5,17.00,,,,,,,,
Gas2Grid Ltd,GGX,0.035,0.5,16.67,,,,,,,,
Golden Gate Pet opt aug12,GGPO,0.014,0.2,16.67,,,,,,,,
Imperial Corp Ltd,IMP,0.007,0.1,16.67,,,,,,,,
Red River Res,RVR,0.105,1.5,16.67,,,,,,,,
Rimfire Pacific,RIM,0.023,0.3,15.00,,,,,,,,
Geothermal Res,GHT,0.195,2.5,14.71,,,,,,,,
Macq Harbour,MHM,0.275,3.5,14.58,,,,,,,,
Intermet Res,ITT,0.04,0.5,14.29,,,,,,,,
K2 Energy Ltd,KTE,0.067,0.8,13.56,,,,,,,,
Eleckra Mines opt jun11,EKMO,0.059,0.7,13.46,,,,,,,,
Pioneer Res Ltd,PIO,0.043,0.5,13.16,,,,,,,,
Elemental Min opt jan12,ELMO,0.18,2,12.50,,,,,,,,
Universal Res,URL,0.145,1.5,11.54,,,,,,,,
Amex Res,AXZ,0.15,1.5,11.11,,,,,,,,
Aurium Res opt sep12,AGUOA,0.01,0.1,11.11,,,,,,,,
Clean Global Energy,CGV,0.11,1.1,11.11,,,,,,,,
Mindax Ltd,MDX,0.50,5,11.11,,,,,,,,
HOT Chili Ltd,HCH,0.21,2,10.53,,,,,,,,
African Energy Res cdi,AFR,0.087,0.8,10.13,,,,,,,,
Ausquest Ltd,AQD,0.165,1.5,10.00,,,,,,,,
Blina Diamonds NL,BDI,0.011,0.1,10.00,,,,,,,,
Convergent Min,CVG,0.088,0.8,10.00,,,,,,,,
Red Emperor Res,RMP,0.11,1,10.00,,,,,,,,
Republic Gold Ltd,RAU,0.022,0.2,10.00,,,,,,,,
European Gas,EPG,0.115,1,9.52,,,,,,,,
Elemental Min,ELM,0.35,3,9.37,,,,,,,,
Rand Min NL,RND,0.35,3,9.37,,,,,,,,
Wolf Min,WLF,0.35,3,9.37,,,,,,,,
Gindalbie Metals,GBG,1.115,9.5,9.31,,,,,,,,
NGM Res Ltd,NGM,0.12,1,9.09,,,,,,,,
Cougar Metals NL,CGM,0.025,0.2,8.70,,,,,,,,
Avanco Res Ltd opt apr12,AVBOB,0.013,0.1,8.33,,,,,,,,
Sth Boulder Mines,STB,0.65,5,8.33,,,,,,,,
Sthn Cross Expl,SXX,0.026,0.2,8.33,,,,,,,,
Stanmore Coal Ltd,SMR,0.79,6,8.22,,,,,,,,
Grand Gulf Energy,GGE,0.014,0.1,7.69,,,,,,,,
Nuenergy Capital,NGY,0.14,1,7.69,,,,,,,,
Coalworks Ltd,CWK,0.425,3,7.59,,,,,,,,
Western Plains Res,WPG,0.72,5,7.46,,,,,,,,
Allied Gold Ltd,ALD,0.365,2.5,7.35,,,,,,,,
Barra Res,BAR,0.075,0.5,7.14,,,,,,,,
Crescent Gold,CRE,0.15,1,7.14,,,,,,,,
Lonrho Min Ltd,LOM,0.015,0.1,7.14,,,,,,,,
Mithril Res opt sep11,MTHO,0.075,0.5,7.14,,,,,,,,
ORH Ltd,ORH,0.03,0.2,7.14,,,,,,,,
Luiri Gold Ltd cdi,LGM,0.31,2,6.90,,,,,,,,
Kingsrose Min Ltd opt dec12,KRMO,0.48,3,6.67,,,,,,,,
Montezuma Min Co,MZM,0.32,2,6.67,,,,,,,,
Atomic Res,ATQ,0.165,1,6.45,,,,,,,,
Exco Res Ltd,EXS,0.25,1.5,6.38,,,,,,,,
Adelaide Res,ADN,0.17,1,6.25,,,,,,,,
Carbon Min Ltd,CRM,3.40,20,6.25,,,,,,,,
Castle Min,CDT,0.425,2.5,6.25,,,,,,,,
DVM Intl  Ltd,DVM,0.085,0.5,6.25,,,,,,,,
Entek Energy Ltd,ETE,0.18,1,5.88,,,,,,,,
Indo Mines Ltd,IDO,0.36,2,5.88,,,,,,,,
Thor Min Plc cdi,THR,0.018,0.1,5.88,,,,,,,,
Buccaneer Energy opt nov12,BCCO,0.038,0.2,5.56,,,,,,,,
Matsa Res,MAT,0.285,1.5,5.56,,,,,,,,
Phoenix Copper,PNX,0.19,1,5.56,,,,,,,,
Uran Ltd,URA,0.019,0.1,5.56,,,,,,,,
Westralian Gas & Pwr,WGP,0.019,0.1,5.56,,,,,,,,
Emergent Res opt sep10,EMGO,0.30,1.5,5.26,,,,,,,,
Metminco Ltd,MNC,0.20,1,5.26,,,,,,,,
Nucoal Res NL,NCR,0.30,1.5,5.26,,,,,,,,
Lynas Corp,LYC,0.505,2.5,5.21,,,,,,,,
Image Res NL,IMA,0.71,3.5,5.19,,,,,,,,
INDUSTRIAL FALLS,,,,,,,,,,,,
Datamotion Asia,DMN,0.001,-0.1,-50.00,,,,,,,,
Sun Biomedical,SBN,0.001,-0.1,-50.00,,,,,,,,
Cardia Bioplastics opt jun11,CNNO,0.002,-0.1,-33.33,,,,,,,,
Acuvax Ltd,ACU,0.009,-0.4,-30.77,,,,,,,,
Healthlinx Ltd opt dec13,HTXOA,0.08,-3.5,-30.43,,,,,,,,
Multi Channel,MUT,0.005,-0.2,-28.57,,,,,,,,
Altera Res Ltd opt jan12,AEAO,0.095,-2.5,-20.83,,,,,,,,
Eneabba Gas Ltd opt jun12,ENBOB,0.04,-1,-20.00,,,,,,,,
Metroland Aust,MTD,0.04,-1,-20.00,,,,,,,,
Altera Res Ltd,AEA,0.26,-6,-18.75,,,,,,,,
Mooter Media Ltd,MMZ,0.013,-0.3,-18.75,,,,,,,,
Carbon Conscious,CCF,0.09,-2,-18.18,,,,,,,,
Adacel Tech,ADA,0.475,-10.5,-18.10,,,,,,,,
Hydrotech Inter,HTI,0.005,-0.1,-16.67,,,,,,,,
Montec Intl,MTI,0.005,-0.1,-16.67,,,,,,,,
Xceed Capital Ltd,XCD,0.01,-0.2,-16.67,,,,,,,,
Centrepoint Alliance,CAF,0.13,-2.5,-16.13,,,,,,,,
Neptune Marine opt dec10,NMSO,0.13,-2.5,-16.13,,,,,,,,
Comops Ltd,COM,0.068,-1.3,-16.05,,,,,,,,
Arturus Capital,AKW,0.11,-2,-15.38,,,,,,,,
Probiomics Ltd,PCC,0.011,-0.2,-15.38,,,,,,,,
Eastland Medical,EMS,0.052,-0.9,-14.75,,,,,,,,
Resourc & En Grp,REZ,0.12,-2,-14.29,,,,,,,,
World Reach Ltd,WRR,0.006,-0.1,-14.29,,,,,,,,
Maxitrans Ind,MXI,0.33,-5,-13.16,,,,,,,,
Cervantes Corp,CVS,0.02,-0.3,-13.04,,,,,,,,
K2 Asset Mgmt,KAM,0.61,-9,-12.86,,,,,,,,
Ambition Grp Ltd,AMB,0.35,-5,-12.50,,,,,,,,
OBJ Ltd opt dec10,OBJO,0.014,-0.2,-12.50,,,,,,,,
Apollo Cons,AOP,0.008,-0.1,-11.11,,,,,,,,
DSF Intl,DSF,0.008,-0.1,-11.11,,,,,,,,
Phylogica Ltd,PYC,0.08,-1,-11.11,,,,,,,,
"""Sunshine Heart, cdi",SHC,0.032,-0.4,-11.11,"""",,,,,,,
WAG Ltd,WAG,0.008,-0.1,-11.11,,,,,,,,
Papyrus Aust,PPY,0.33,-4,-10.81,,,,,,,,
OBJ Ltd,OBJ,0.025,-0.3,-10.71,,,,,,,,
Clever Com Aus,CVA,0.094,-1.1,-10.48,,,,,,,,
Environment Grp,EGL,0.043,-0.5,-10.42,,,,,,,,
Vmoto Ltd,VMT,0.14,-1.5,-9.68,,,,,,,,
Enerji Ltd,ERJ,0.039,-0.4,-9.30,,,,,,,,
Adultshop Com,ASC,0.01,-0.1,-9.09,,,,,,,,
Hyro Ltd,HYO,0.02,-0.2,-9.09,,,,,,,,
Pharmanet Grp,PNO,0.01,-0.1,-9.09,,,,,,,,
Sigma Pharmaceutical,SIP,0.40,-4,-9.09,,,,,,,,
Thomas & Coffey,THO,0.40,-4,-9.09,,,,,,,,
Bigair Grp Ltd,BGL,0.165,-1.5,-8.33,,,,,,,,
Clive Peeters,CPR,0.11,-1,-8.33,,,,,,,,
ING RE Com stp,ILF,0.067,-0.6,-8.22,,,,,,,,
Orion Equities,OEQ,0.505,-4.5,-8.18,,,,,,,,
Flexigrp Ltd,FXL,1.19,-10.5,-8.11,,,,,,,,
Healthlinx Ltd,HTX,0.115,-1,-8.00,,,,,,,,
APN European Retail stp,AEZ,0.035,-0.3,-7.89,,,,,,,,
Hyperion Flagship,HIP,1.40,-12,-7.89,,,,,,,,
Infigen Energy stp,IFN,0.82,-7,-7.87,,,,,,,,
Metal Storm Ltd,MST,0.012,-0.1,-7.69,,,,,,,,
Mikoh Corp,MIK,0.072,-0.6,-7.69,,,,,,,,
NSL Cons Ltd,NSL,0.12,-1,-7.69,,,,,,,,
Phosphagenics Ltd,POH,0.12,-1,-7.69,,,,,,,,
WAM Active Ltd,WAA,0.985,-8,-7.51,,,,,,,,
ISS Grp Ltd,ISS,0.185,-1.5,-7.50,,,,,,,,
Cellmid Ltd,CDY,0.025,-0.2,-7.41,,,,,,,,
Atlantic Ltd opt dec11,ATIO,0.038,-0.3,-7.32,,,,,,,,
Keycorp Ltd,KYC,0.45,-3.5,-7.22,,,,,,,,
Anteo Diagnostics,ADO,0.04,-0.3,-6.98,,,,,,,,
ANZ Banking Grp,ANZ,22.45,-166,-6.89,,,,,,,,
Ammtec Ltd,AEC,2.47,-18,-6.79,,,,,,,,
MAX Tr unt,MXQ,0.055,-0.4,-6.78,,,,,,,,
Legacy Iron Ore,LCY,0.14,-1,-6.67,,,,,,,,
National Leisure,NLG,0.014,-0.1,-6.67,,,,,,,,
Orchid Capital,ORC,0.042,-0.3,-6.67,,,,,,,,
Prima BioMed Ltd,PRR,0.14,-1,-6.67,,,,,,,,
Equities & Freehldgss,EQF,0.215,-1.5,-6.52,,,,,,,,
India Equities Fund,INE,0.445,-3,-6.32,,,,,,,,
Little World Bev,LWB,2.55,-17,-6.25,,,,,,,,
Verus Invest,VIL,0.03,-0.2,-6.25,,,,,,,,
Wasabi Energy Ltd,WAS,0.015,-0.1,-6.25,,,,,,,,
Nexus Bonds Ltd nexus3,NXBHC,91.00,-600,-6.19,,,,,,,,
Cell Aquaculture,CAQ,0.155,-1,-6.06,,,,,,,,
Gunns Ltd,GNS,0.475,-3,-5.94,,,,,,,,
Ausenco Ltd,AAX,4.28,-27,-5.93,,,,,,,,
Cbio Ltd,CBZ,0.40,-2.5,-5.88,,,,,,,,
RCL Grp stp,RLG,0.08,-0.5,-5.88,,,,,,,,
DKN Financial Grp,DKN,0.65,-4,-5.80,,,,,,,,
Chandler Macleod,CMG,0.245,-1.5,-5.77,,,,,,,,
Penrice Soda,PSH,0.49,-3,-5.77,,,,,,,,
PharmAust Ltd,PAA,0.066,-0.4,-5.71,,,,,,,,
Quay Magnesium,QMG,0.017,-0.1,-5.56,,,,,,,,
Tissue Therapies,TIS,0.17,-1,-5.56,,,,,,,,
Emeco Hldgs,EHL,0.615,-3.5,-5.38,,,,,,,,
India Equities Fund opt aug10,INEO,0.071,-0.4,-5.33,,,,,,,,
