Market Action,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4307.0 at 2012-08-15T16:44:07. Report at Wednesday, August 15, 2012. Processed Thursday at 2012-08-16T01:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Corazon Min,CZN,.024,+.2,+9.09,,
IMX Res,IXR,.18,+1.5,+9.09,,
Marenica Energy,MEY,.012,+.1,+9.09,,
WCP Res,WCP,.06,+.5,+9.09,,
Helix Res,HLX,.037,+.3,+8.82,,
Norwest Energy,NWE,.089,+.7,+8.54,,
King Island,KIS,.09,+.7,+8.43,,
Central Asia Res,CVR,.026,+.2,+8.33,,
Excelsior Gold,EXG,.13,+1,+8.33,,
Indochine Min,IDC,.13,+1,+8.33,,
KBL Min 10% cn,KBLGA,.335,+2.5,+8.06,,
Cullen Res,CUL,.028,+.2,+7.69,,
Epic Res,EPC,.14,+1,+7.69,,
Overland Res,OVR,.014,+.1,+7.69,,
Petsec Energy,PSA,.14,+1,+7.69,,
Speewah Metals,SPM,.07,+.5,+7.69,,
Wavenet Int'l,WAL,.21,+1.5,+7.69,,
Carbon Energy,CNX,.057,+.4,+7.55,,
MHM Metals,MHM,.29,+2,+7.41,,
Pryme Energy,PYM,.044,+.3,+7.32,,
Kibaran Resources,KNL,.37,+2.5,+7.25,,
A-Cap Res,ACB,.15,+1,+7.14,,
Aust Bauxite,ABZ,.375,+2.5,+7.14,,
Hodges Res,HDG,.15,+1,+7.14,,
Sunbird Energy,SNY,.15,+1,+7.14,,
Thor Min Plc cdi,THR,.015,+.1,+7.14,,
Centrex Metals,CXM,.16,+1,+6.67,,
Chesser Res,CHZ,.32,+2,+6.67,,
Iron Road,IRD,.32,+2,+6.67,,
Perilya,PEM,.24,+1.5,+6.67,,
Red Fork Energy,RFE,.725,+4.5,+6.62,,
Intra Energy,IEC,.165,+1,+6.45,,
Peninsula Energy,PEN,.033,+.2,+6.45,,
Aurora Minerals,ARM,.085,+.5,+6.25,,
Rialto Energy,RIA,.175,+1,+6.06,,
Mineral Deposits,MDL,5.15,+29,+5.97,,
Aust Minerals &  Min,AKA,.09,+.5,+5.88,,
Integra Min,IGR,.45,+2.5,+5.88,,
Titan Energy,TTE,.018,+.1,+5.88,,
Exoma Energy,EXE,.091,+.5,+5.81,,
Sundance Energy,SEA,.455,+2.5,+5.81,,
Silver Lake Res,SLR,2.93,+16,+5.78,,
Millennium Min,MOY,.019,+.1,+5.56,,
Sirius Res,SIR,.95,+5,+5.56,,
Talisman Min,TLM,.29,+1.5,+5.45,,
Impact Minerals,IPT,.04,+.2,+5.26,,
Rox Resources,RXL,.02,+.1,+5.26,,
Summit Res,SMM,1.40,+7,+5.26,,
Uranex,UNX,.10,+.5,+5.26,,
Tiger Res,TGS,.31,+1.5,+5.08,,
FALLS - INDUSTRIALS,,
Analytica opt jun13,ALTOA,.001,-.1,-50.00,,
Planet Platinum,PPN,.15,-9,-37.50,,
HealthLinx,HTX,.002,-.1,-33.33,,
Computronics,CPS,.02,-.8,-28.57,,
Agenix,AGX,.003,-.1,-25.00,,
