Market Action,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5186.0 at 2013-12-06T16:41:36. Report at Friday, December 6, 2013. Processed Saturday at 2013-12-07T01:00:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (c),Move (%),,,,,,,,
RISES - INDUSTRIALS,,
Motopia,MOT,.002,+.1,+100.0,,
Entellect,ESN,.006,+.2,+50.00,,
Mnemon,MNZ,.013,+.4,+44.44,,
ADG Global Supply,ADQ,.012,+.3,+33.33,,
Qanda Tech,QNA,.004,+.1,+33.33,,
OBJ opt dec14,OBJOA,.025,+.5,+25.00,,
Aust Infrastructure Fd,AIX,.006,+.1,+20.00,,
OBJ,OBJ,.036,+.6,+20.00,,
Aquaint Capital,AQU,.55,+9,+19.57,,
ENV Clean Tech,ESI,.007,+.1,+16.67,,
Panorama Synergy,PSY,.036,+.5,+16.13,,
DGI Hldgs,DGI,.023,+.3,+15.00,,
Yowie Grp,YOW,.195,+2.5,+14.71,,
Cossack Energy,COD,.20,+2.5,+14.29,,
Eureka Gold Hldgs,EGH,.08,+.9,+12.68,,
AnaeCo,ANQ,.009,+.1,+12.50,,
Aust Wealth Invest,AWK,.515,+5.5,+11.96,,
ETS Du Pont,ETSDUP,65.16,+695,+11.94,,
Allied Consolidated,ABQ,.038,+.4,+11.76,,
Merchant House,MHI,.20,+2,+11.11,,
Alexium Int'l,AJX,.155,+1.5,+10.71,,
Real Estate Cap unt,RCU,.37,+3.5,+10.45,,
Veda Grp def,VED,1.925,+17.5,+10.00,,
Opus Grp,OPG,.035,+.3,+9.38,,
Algae.Tec,AEB,.12,+1,+9.09,,
VDM Grp,VMG,.012,+.1,+9.09,,
Ausenco,AAX,.65,+5,+8.33,,
REVA Medical cdi,RVA,.485,+3.5,+7.78,,
Fairfax Media,FXJ,.68,+4.5,+7.09,,
Avita Medical,AVH,.093,+.6,+6.90,,
Greencross,GXL,7.60,+48,+6.74,,
Silex Systems,SLX,2.23,+14,+6.70,,
VMoto,VMT,.032,+.2,+6.67,,
Funtastic,FUN,.17,+1,+6.25,,
Richfield Int'l,RIS,.105,+.6,+6.06,,
Patrys,PAB,.053,+.3,+6.00,,
Macro Energy,MEJ,.018,+.1,+5.88,,
Phylogica,PYC,.018,+.1,+5.88,,
Pro-Pac Packaging,PPG,.45,+2.5,+5.88,,
Rubik Financial,RFL,.275,+1.5,+5.77,,
Fiducian Portfolio,FPS,1.275,+6.5,+5.37,,
Viagold Capital,VIA,.40,+2,+5.26,,
Regeneus,RGS,.51,+2.5,+5.15,,
RISES - MINING,,
Midas Res,MDS,.002,+.1,+100.0,,
RMG,RMG,.002,+.1,+100.0,,
Crossland Metals,CUX,.03,+1.1,+57.89,,
Lithex Res,LTX,.028,+1,+55.56,,
