Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4401.2 at 16:37 8/6/2010  Report at 19:05 Tuesday 8/6/2010. Processed 21:07 Tuesday 8/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Sun Biomedical,SBN,0.002,0.1,100.00,,,,,,,,
Metal Storm Ltd,MST,0.01,0.3,42.86,,,,,,,,
Teys Ltd,TYS,0.007,0.2,40.00,,,,,,,,
CO2 Grp Ltd opt nov11,COZO,0.02,0.5,33.33,,,,,,,,
Quest Min Ltd,QNL,0.04,1,33.33,,,,,,,,
Hostech Ltd,HTC,0.019,0.4,26.67,,,,,,,,
Transol Corp,TNC,0.005,0.1,25.00,,,,,,,,
MDS Financial Grp,MWS,0.029,0.5,20.83,,,,,,,,
BKM Management,BKM,0.006,0.1,20.00,,,,,,,,
Ellex Medical Lasers,ELX,0.165,2.5,17.86,,,,,,,,
Cape Range Ltd,CAG,0.007,0.1,16.67,,,,,,,,
Capral Ltd,CAA,0.18,2.5,16.13,,,,,,,,
Healthlinx Ltd,HTX,0.12,1.5,14.29,,,,,,,,
Style Ltd,SYP,0.016,0.2,14.29,,,,,,,,
SCV Grp Ltd,SCV,0.017,0.2,13.33,,,,,,,,
Laserbond Ltd,LBL,0.067,0.7,11.67,,,,,,,,
Pan Asia Corp Ltd,PZC,0.02,0.2,11.11,,,,,,,,
Gunns Ltd,GNS,0.46,4.5,10.84,,,,,,,,
AMA Grp Ltd,AMA,0.055,0.5,10.00,,,,,,,,
Ecsi Ltd,ECS,0.022,0.2,10.00,,,,,,,,
Scantech Ltd,SCD,0.22,2,10.00,,,,,,,,
Zingmobile Grp cdi,ZMG,0.022,0.2,10.00,,,,,,,,
Grandbridge Ltd,GBA,0.175,1.5,9.37,,,,,,,,
Tower Aust rts17jund,TALR,0.35,3,9.37,,,,,,,,
Atlas Southsea Pearl,ATP,0.12,1,9.09,,,,,,,,
DKN Financial Grp,DKN,0.60,5,9.09,,,,,,,,
"""Sunshine Heart, cdi",SHC,0.036,0.3,9.09,"""",,,,,,,
Nexbis Ltd,NBS,0.089,0.7,8.54,,,,,,,,
Multiplex European unt,MUE,0.14,1,7.69,,,,,,,,
Hydromet Corp Ltd,HMC,0.029,0.2,7.41,,,,,,,,
NSL Cons Ltd,NSL,0.09,0.6,7.14,,,,,,,,
Redflex Hldgs,RDF,2.30,15,6.98,,,,,,,,
Stratatel Ltd,STE,0.046,0.3,6.98,,,,,,,,
Medical Develop,MVP,0.24,1.5,6.67,,,,,,,,
Overseas & Gen cdi,OGL,0.16,1,6.67,,,,,,,,
Phylogica Ltd,PYC,0.08,0.5,6.67,,,,,,,,
Cbio Ltd,CBZ,0.33,2,6.45,,,,,,,,
Clinuvel Pharmaceut,CUV,0.25,1.5,6.38,,,,,,,,
Coote Industrial,CXG,0.25,1.5,6.38,,,,,,,,
Ausenco Ltd,AAX,2.04,12,6.25,,,,,,,,
Runge Ltd,RUL,0.51,3,6.25,,,,,,,,
APA Grp stp,APA,3.68,21,6.05,,,,,,,,
