Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4507.4 at 16:36 30/7/2010  Report at 19:05 Friday 30/7/2010. Processed 20:34 Friday 30/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
Paragon Care Ltd opt may12,PGCOA,0.01,0.5,100.00,,,,,,,,
Autodom Ltd,AIE,0.059,1.6,37.21,,,,,,,,
Cervantes Corp,CVS,0.021,0.4,23.53,,,,,,,,
ISS Grp Ltd,ISS,0.18,3,20.00,,,,,,,,
TTA Hldgs Ltd,TTA,0.06,1,20.00,,,,,,,,
Mitchell Comms,MCU,1.235,19.5,18.75,,,,,,,,
Aspermont Ltd,ASP,0.13,2,18.18,,,,,,,,
Resonance Health,RHT,0.021,0.3,16.67,,,,,,,,
RMG Ltd,RMG,0.007,0.1,16.67,,,,,,,,
Ambertech Ltd,AMO,0.395,5.5,16.18,,,,,,,,
Dolomatrix Intl,DMX,0.29,4,16.00,,,,,,,,
Cordlife Ltd,CBB,0.37,5,15.62,,,,,,,,
Anteo Diagnostics opt feb11,ADOOA,0.015,0.2,15.38,,,,,,,,
Adcorp Aust,AAU,0.19,2.5,15.15,,,,,,,,
Aacl Hldgs Ltd,AAY,0.08,1,14.29,,,,,,,,
Hydrotech Inter,HTI,0.008,0.1,14.29,,,,,,,,
Alchemia Ltd,ACL,0.54,6,12.50,,,,,,,,
Medivac Ltd,MDV,0.009,0.1,12.50,,,,,,,,
PharmAust Ltd opt mar12,PAAO,0.009,0.1,12.50,,,,,,,,
APN European Retail stp,AEZ,0.028,0.3,12.00,,,,,,,,
Style Ltd,SYP,0.019,0.2,11.76,,,,,,,,
Viridis Clean Energy unt,VIR,0.078,0.8,11.43,,,,,,,,
Metal Storm Ltd,MST,0.01,0.1,11.11,,,,,,,,
Fat Prophets,FAT,0.95,9,10.47,,,,,,,,
Run Corp Ltd,RNC,0.065,0.6,10.17,,,,,,,,
XRF Scientific,XRF,0.165,1.5,10.00,,,,,,,,
Farmworks Aust,FWA,0.17,1.5,9.68,,,,,,,,
Prime Financial,PFG,0.18,1.5,9.09,,,,,,,,
Gage Roads Brewing,GRB,0.085,0.7,8.97,,,,,,,,
Hutchison,HTA,0.099,0.8,8.79,,,,,,,,
ASF Grp Ltd,AFA,0.13,1,8.33,,,,,,,,
Bisan Ltd,BSN,0.039,0.3,8.33,,,,,,,,
Ascent Pharmahealth,APH,0.265,2,8.16,,,,,,,,
Mooter Media Ltd,MMZ,0.014,0.1,7.69,,,,,,,,
Enerji Ltd,ERJ,0.029,0.2,7.41,,,,,,,,
CI Res Ltd,CII,0.75,5,7.14,,,,,,,,
Pan Asia Corp Ltd,PZC,0.015,0.1,7.14,,,,,,,,
Pelorus Prop,PPI,0.15,1,7.14,,,,,,,,
Altium Ltd,ALU,0.23,1.5,6.98,,,,,,,,
Maxitrans Ind,MXI,0.31,2,6.90,,,,,,,,
Manaccom Corp Ltd,MNL,0.315,2,6.78,,,,,,,,
Bionomics Ltd,BNO,0.32,2,6.67,,,,,,,,
MAC Services (The),MSL,2.72,17,6.67,,,,,,,,
Praemium Ltd,PPS,0.16,1,6.67,,,,,,,,
Grandbridge Ltd,GBA,0.25,1.5,6.38,,,,,,,,
Over Fifty Grp,OFG,0.585,3.5,6.36,,,,,,,,
Multiplex Prime Ppty ctg,MAFCB,0.85,5,6.25,,,,,,,,
China Century Capitl,CCY,0.053,0.3,6.00,,,,,,,,
Anaeco Ltd,ANQ,0.18,1,5.88,,,,,,,,
Atlas Southsea Pearl,ATP,0.09,0.5,5.88,,,,,,,,
Astivita Renewables,AIR,1.10,6,5.77,,,,,,,,
Reclaim Ind,RCM,0.037,0.2,5.71,,,,,,,,
Hyro Ltd,HYO,0.019,0.1,5.56,,,,,,,,
Progen Pharmaceutic,PGL,0.38,2,5.56,,,,,,,,
Trinity Grp stp,TCQ,0.076,0.4,5.56,,,,,,,,
Wentworth Hldgs,WWM,0.095,0.5,5.56,,,,,,,,
Rubik Financial,RFL,0.058,0.3,5.45,,,,,,,,
K2 Asset Mgmt,KAM,0.50,2.5,5.26,,,,,,,,
Medical Corp,MOD,0.02,0.1,5.26,,,,,,,,
Richfield Internat,RIS,0.10,0.5,5.26,,,,,,,,
Contango Capital,CCQ,0.72,3.5,5.11,,,,,,,,
Hostech Ltd,HTC,0.021,0.1,5.00,,,,,,,,
MINING RISES,,,,,,,,,,,,
Kilgore Oil & Gas opt jun12,KOGO,0.002,0.1,100.00,,,,,,,,
