Market Action - Industrial stocks up 5% or more for the day,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:05 Friday 23/7/2010. Processed 19:13 Friday 23/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,Move (¢),Move (%),,,,,,,,
INDUSTRIAL RISES,,,,,,,,,,,,
M2M Corp,MCL,0.002,0.1,100.00,,,,,,,,
Swish Grp Ltd,SWG,0.002,0.1,100.00,,,,,,,,
Vietnam Industrial,VII,0.44,18,69.23,,,,,,,,
Homeloans Ltd,HOM,0.97,27,38.57,,,,,,,,
Select Vaccines,SLT,0.004,0.1,33.33,,,,,,,,
Atcor Medical,ACG,0.15,3.5,30.43,,,,,,,,
Hexima Ltd,HXL,0.28,6.5,30.23,,,,,,,,
Fluorotechnics,FLS,0.13,3,30.00,,,,,,,,
MAX Tr unt,MXQ,0.037,0.7,23.33,,,,,,,,
C @ Ltd,CEO,0.011,0.2,22.22,,,,,,,,
Redisland Aust,RLA,0.024,0.4,20.00,,,,,,,,
RMG Ltd,RMG,0.007,0.1,16.67,,,,,,,,
SCV Grp Ltd,SCV,0.014,0.2,16.67,,,,,,,,
Cardno Ltd rts 26jul,CDDR,0.52,7,15.56,,,,,,,,
Compass Hotel stp,CXH,0.023,0.3,15.00,,,,,,,,
Eastland Medical,EMS,0.047,0.6,14.63,,,,,,,,
GoConnect Ltd,GCN,0.056,0.7,14.29,,,,,,,,
EVZ Ltd,EVZ,0.082,1,13.89,,,,,,,,
Impedimed Ltd,IPD,0.74,9,13.85,,,,,,,,
Prima BioMed Ltd opt dec11,PRRO,0.085,1,13.33,,,,,,,,
Maryborough Sugar,MSF,2.14,24,12.63,,,,,,,,
Prime Financial,PFG,0.19,2,11.76,,,,,,,,
Dulhunty Power,DUL,0.039,0.4,11.43,,,,,,,,
E & A Ltd,EAL,0.25,2.5,11.11,,,,,,,,
Soilsub Tech,SOI,0.01,0.1,11.11,,,,,,,,
Vision Grp Hldgs,VGH,0.15,1.5,11.11,,,,,,,,
Essa Aust,ESS,0.21,2,10.53,,,,,,,,
Verus Invest,VIL,0.021,0.2,10.53,,,,,,,,
Penrice Soda,PSH,0.425,4,10.39,,,,,,,,
E-Pay Asia Ltd,EPY,0.11,1,10.00,,,,,,,,
Pharmanet Grp,PNO,0.011,0.1,10.00,,,,,,,,
Quest Min Ltd,QNL,0.035,0.3,9.38,,,,,,,,
Collection House,CLH,0.82,7,9.33,,,,,,,,
Avita Medical Ltd,AVH,0.12,1,9.09,,,,,,,,
MGM Wireless Ltd,MWR,0.012,0.1,9.09,,,,,,,,
Ausenco Ltd,AAX,2.42,18,8.04,,,,,,,,
Imugene Ltd,IMU,0.054,0.4,8.00,,,,,,,,
Compumedics Ltd,CMP,0.14,1,7.69,,,,,,,,
