Warrant Market - Weekly,,,,,,,,,,,,
XAO 4604.4 at 16:47 6/11/2009  Report at 19:05 Friday 6/11/2009. Processed 10:58 Saturday 7/11/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.87,,,,,,,,,,,,
AMPWMM,6.50,26/11/09,3:1,0.028,0.031,0.135,-,-,,,,
AMPWOF,6.25,17/12/09,3:1,0.052,0.057,0.051,-6.4,500,,,,
AMPWOE,6.75,17/12/09,3:1,0.018,0.023,0.032,-,-,,,,
AMPWOA,6.00,25/02/10,3:1,0.125,0.13,0.205,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.053,0.058,0.079,-17.6,250,,,,
ANZ Banking Grp Last Sale Price $22.40,,,,,,,,,,,,
ANZWMA,20.00,26/11/09,3:1,0.845,-,1.35,-,-,,,,
ANZWMF,22.00,26/11/09,3:1,0.35,0.355,0.32,-15.5,390,,,,
ANZWZD,22.00,26/11/09,4:1,0.24,0.27,0.23,-14,1043
ANZWZC,25.00,26/11/09,4:1,0.038,0.052,0.041,-14.9,490
ANZWOG,17.00,17/12/09,4:1,1.385,1.405,1.755,-,-
ANZWOI,21.00,17/12/09,4:1,0.485,0.675,0.475,-6.5,2240
ANZWOH,23.00,17/12/09,4:1,0.195,0.2,0.18,-4.5,11303
ANZWZE,24.00,17/12/09,4:1,0.145,0.175,0.41,-,-
ANZWZF,26.00,17/12/09,4:1,0.1,0.13,-,-,-
ANZWZG,27.00,28/01/10,4:1,0.18,0.21,-,-,-
ANZWOK,24.50,25/02/10,4:1,0.27,0.275,0.335,-,-
ANZWOL,26.50,25/02/10,4:1,0.12,0.13,0.115,-3,6850
ANZWOJ,28.50,25/02/10,4:1,0.066,0.071,0.064,-1.1,200
ASX Ltd Last Sale Price $33.45,,,,,,,,
ASXWMC,35.00,26/11/09,4:1,0.2,0.205,0.56,-,-
ASXWMD,40.00,26/11/09,4:1,0.007,-,0.245,-,-
Billabong Intl Last Sale Price $10.00,,,,,,,,
BBGWMB,11.00,26/11/09,2:1,0.15,0.155,0.185,-,100
BHP Billiton Ltd Last Sale Price $37.40,,,,,,,,
BHPWMG,37.00,26/11/09,4:1,0.475,0.48,0.355,-18,770
BHPVZK,38.00,26/11/09,4:1,0.365,0.395,0.74,-,-
BHPWME,40.00,26/11/09,4:1,0.165,0.17,0.14,-8,5050
BHPWMF,42.00,26/11/09,4:1,0.067,0.07,0.105,-,-
BHPVZL,45.00,26/11/09,4:1,0.063,0.077,-,-,-
BHPVZN,34.00,17/12/09,4:1,1.23,1.26,-,-,-
BHPWON,35.00,17/12/09,4:1,0.83,0.85,0.765,-11,4440
BHPVZM,36.00,17/12/09,4:1,0.935,0.965,-,-,-
BHPWOO,37.50,17/12/09,4:1,0.45,0.46,0.455,-3.5,1926
BHPVOA,40.00,17/12/09,4:1,0.195,0.2,0.14,-9,2750
BHPVOB,42.50,17/12/09,4:1,0.083,0.095,0.068,-3.2,2939
BHPWZA,40.00,28/01/10,4:1,0.74,0.77,-,-,-
BHPVZO,44.00,28/01/10,4:1,0.445,0.475,-,-,-
BHPWOC,37.00,25/02/10,4:1,0.85,0.86,0.825,-4.5,257
BHPWOD,39.00,25/02/10,4:1,0.59,0.595,0.58,-25,2300
BHPWOE,41.00,25/02/10,4:1,0.42,0.43,-,-,-
