Warrant Market - Weekly,,,,,,,,,,,,
XAO 4882.7 at 14:54 31/12/2009  Report at 16:45 Thursday 31/12/2009. Processed 17:19 Thursday 31/12/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.77,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.001,1.005,0.165,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.001,1.005,0.10,3,250,,,,
ANZ Banking Grp Last Sale Price $22.88,,,,,,,,,,,,
ANZWZG,25.00,28/01/10,4:1,0.062,0.076,0.04,-,-,,,,
ANZWZH,22.00,25/02/10,4:1,0.455,0.485,0.27,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,0.16,0.16,0.155,1,180,,,,
ANZWOL,26.50,25/02/10,4:1,0.001,0.06,0.038,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,0.022,0.027,0.024,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.71,0.715,0.73,15,60,,,,
ANZWZJ,23.00,25/03/10,4:1,0.44,0.47,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.395,0.4,0.345,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.335,0.365,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.001,1.005,0.265,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.001,1.005,0.215,-,200,,,,
ANZVME,26.00,29/04/10,3:1,0.29,0.295,0.305,11,400,,,,
ANZWOC,26.50,29/04/10,4:1,0.001,1.005,-,-,-,,,,
ASX Ltd Last Sale Price $34.94,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.865,0.87,0.845,-,-,,,,
ASXVMB,35.00,25/03/10,4:1,0.575,0.58,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.47,0.475,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $43.12,,,,,,,,,,,,
BHPWZA,40.00,28/01/10,4:1,0.98,1.01,1.00,10.5,50,,,,
BHPVZO,44.00,28/01/10,4:1,0.44,0.47,-,-,-,,,,
BHPWOC,37.00,25/02/10,4:1,0.001,1.66,1.65,17,2608,,,,
BHPWOD,39.00,25/02/10,4:1,0.001,-,1.15,7,2030,,,,
BHPWOE,41.00,25/02/10,4:1,0.33,1.33,0.795,14.5,400,,,,
BHPWOF,43.00,25/02/10,4:1,0.055,1.055,0.505,-,-,,,,
BHPVOC,45.00,25/02/10,4:1,0.001,1.005,0.35,2,3860,,,,
BHPWZB,46.00,25/02/10,4:1,0.49,0.52,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.8,1.805,1.515,-,-,,,,
BHPVMB,39.00,25/03/10,4:1,1.425,1.43,-,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,1.135,1.165,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.915,0.945,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.55,2.55,-,-,-,,,,
BHPWOB,38.50,29/04/10,4:1,1.05,2.05,1.52,-,100,,,,
BHPWOG,40.50,29/04/10,4:1,0.705,1.705,1.135,14,30,,,,
BHPVME,41.00,29/04/10,4:1,1.275,1.28,1.22,16,70,,,,
BHPWOH,43.50,29/04/10,4:1,0.27,1.27,0.74,4,380,,,,
BHPWOI,46.00,29/04/10,4:1,0.025,1.025,0.485,7,230,,,,
BlueScope Steel Last Sale Price $3.11,,,,,,,,,,,,
BSLWOA,3.00,25/03/10,2:1,0.001,1.005,0.13,-,-,,,,
BSLVMA,3.25,25/03/10,2:1,0.12,0.125,0.088,-,-,,,,
BSLWOB,3.50,25/03/10,2:1,0.001,1.005,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $54.85,,,,,,,,,,,,
CBAVZJ,50.00,28/01/10,5:1,1.115,1.145,-,-,-,,,,
CBAWOL,51.00,25/02/10,5:1,0.001,3.01,0.72,-,-,,,,
CBAWOJ,54.00,25/02/10,5:1,0.001,0.52,0.49,6.5,840,,,,
CBAVZK,55.00,25/02/10,5:1,0.675,0.705,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.001,1.005,0.28,9.5,200,,,,
CBAVMA,53.00,25/03/10,5:1,0.93,0.935,0.935,22,50,,,,
CBAVZL,53.00,25/03/10,5:1,0.94,0.97,-,-,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.71,0.715,0.71,-6.5,15,,,,
CBAVZM,55.00,25/03/10,5:1,0.755,0.785,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,0.855,1.855,-,-,-,,,,
CBAWOB,55.00,29/04/10,5:1,0.265,1.265,0.745,-,200,,,,
CBAVME,57.00,29/04/10,5:1,0.67,0.675,0.655,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.001,1.005,0.405,2.5,100,,,,
Computershare Ltd Last Sale Price $11.45,,,,,,,,,,,,
CPUVMA,11.00,25/03/10,2:1,0.56,0.565,-,-,-,,,,
CSL Ltd Last Sale Price $32.49,,,,,,,,,,,,
CSLWZB,32.00,28/01/10,4:1,0.33,0.36,0.365,-,-,,,,
CSLWZC,32.00,25/03/10,4:1,0.505,0.535,-,-,-,,,,
CSLVMA,33.00,25/03/10,4:1,0.42,0.425,0.45,11.5,42,,,,
Fortescue Metals Grp Last Sale Price $4.44,,,,,,,,,,,,
FMGVMA,4.50,25/03/10,3:1,0.16,0.165,-,-,-,,,,
Insurance Aust Grp Last Sale Price $4.03,,,,,,,,,,,,
