Warrant Market - Weekly,,,,,,,,,,,,
XAO 4831.5 at 16:35 12/3/2010  Report at 19:06 Friday 12/3/2010. Processed 13:26 Sunday 14/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.13,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.115,0.125,0.115,-2.5,322,,,,
AMPWOD,6.75,27/05/10,3:1,0.065,0.07,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $24.26,,,,,,,,,,,,
ANZVMA,22.00,25/03/10,3:1,0.76,0.775,0.745,41.5,70,,,,
ANZWZJ,23.00,25/03/10,4:1,0.375,0.405,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.225,0.235,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.205,0.235,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.34,0.345,0.295,-1,1400,,,,
ANZVZA,24.00,29/04/10,4:1,0.475,0.505,0.215,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.135,0.145,0.125,0.5,1750,,,,
ANZVME,26.00,29/04/10,3:1,0.15,0.16,0.135,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.043,0.048,0.05,-,-,,,,
ANZWOF,19.00,24/06/10,4:1,1.29,1.295,1.11,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.515,0.52,0.46,-,-,,,,
ANZWOE,24.50,24/06/10,4:1,0.32,0.325,-,-,-,,,,
ASX Ltd Last Sale Price $36.06,,,,,,,,,,,,
ASXVMA,37.00,25/03/10,4:1,0.077,0.091,0.835,-,-,,,,
ASXVMB,39.00,25/03/10,4:1,0.004,-,-,-,-,,,,
ASXVME,40.00,29/04/10,4:1,0.072,0.081,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $42.85,,,,,,,,,,,,
BHPVMA,37.00,25/03/10,4:1,1.44,-,1.58,48,830,,,,
BHPVZA,42.00,25/03/10,4:1,0.515,0.545,0.42,-,-,,,,
BHPVMB,43.00,25/03/10,4:1,0.2,0.225,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.275,0.305,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.8,1.805,1.295,-,-,,,,
BHPWOB,38.50,29/04/10,4:1,1.235,1.24,1.235,-,-,,,,
BHPWOG,40.50,29/04/10,4:1,0.82,0.825,0.86,2.5,20,,,,
BHPVME,41.00,29/04/10,4:1,0.825,0.855,0.925,8.5,2000,,,,
BHPWOH,43.50,29/04/10,4:1,0.36,0.365,0.41,0.5,712,,,,
BHPVZC,46.00,29/04/10,4:1,0.555,0.585,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.17,0.175,0.175,-2.5,12190,,,,
BHPWOJ,37.50,24/06/10,4:1,1.705,1.71,-,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,1.395,1.4,-,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,1.02,1.025,1.215,42.5,7,,,,
BHPWOM,43.00,24/06/10,4:1,0.705,0.73,0.715,-,100,,,,
BHPVOD,45.00,24/06/10,4:1,0.505,0.51,0.635,-,11,,,,
BHPVOE,47.00,24/06/10,4:1,0.355,0.36,0.355,-,1165,,,,
BlueScope Steel Last Sale Price $2.74,,,,,,,,,,,,
BSLWOB,2.75,25/03/10,2:1,0.048,0.053,-,-,-,,,,
BSLVMA,3.00,25/03/10,2:1,0.006,-,0.15,-,-,,,,
BSLWOA,3.00,25/03/10,2:1,0.005,0.01,0.005,-0.9,4000,,,,
BSLWOD,2.50,24/06/10,2:1,0.235,0.24,0.245,-,42,,,,
BSLWOC,3.00,24/06/10,2:1,0.105,0.11,-,-,-,,,,
Brambles Ltd Last Sale Price $7.29,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.2,0.205,-,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.105,0.11,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $55.88,,,,,,,,,,,,
CBAVMA,53.00,25/03/10,5:1,0.61,0.655,0.52,-,-,,,,
CBAVZL,53.00,25/03/10,5:1,0.69,0.72,0.475,-11,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.32,0.355,0.36,3,1020,,,,
CBAVZM,55.00,25/03/10,5:1,0.43,0.46,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.345,1.35,1.30,19.5,100,,,,
CBAWOB,55.00,29/04/10,5:1,0.545,0.55,0.525,1.5,1115,,,,
CBAVME,57.00,29/04/10,5:1,0.385,0.415,0.415,4,360,,,,
CBAVZN,58.00,29/04/10,5:1,0.64,0.67,-,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.195,0.185,0.205,0.5,1385,,,,
CBAWOD,55.00,24/06/10,5:1,0.81,0.815,0.75,6,780,,,,
CBAWOE,57.50,24/06/10,5:1,0.545,0.55,0.535,-,200,,,,
CBAWOF,60.00,24/06/10,5:1,0.375,0.38,-,-,-,,,,
Computershare Ltd Last Sale Price $12.19,,,,,,,,,,,,
CPUVMA,13.00,25/03/10,2:1,0.023,-,0.56,-,-,,,,
CSL Ltd Last Sale Price $36.11,,,,,,,,,,,,
CSLWZC,32.00,25/03/10,4:1,1.03,1.06,0.20,-,-,,,,
CSLVMA,33.00,25/03/10,4:1,0.76,-,0.795,24.5,154,,,,
Fortescue Metals Grp Last Sale Price $4.94,,,,,,,,,,,,
FMGVMA,4.50,25/03/10,3:1,0.16,0.17,0.165,2,1250,,,,
Insurance Aust Grp Last Sale Price $3.96,,,,,,,,,,,,
IAGVMA,4.00,25/03/10,3:1,0.022,-,0.054,-1.1,1000,,,,
Incitec Pivot Last Sale Price $3.66,,,,,,,,,,,,
IPLVMA,3.00,25/03/10,2:1,0.315,0.33,0.27,-,-,,,,
