FR INV WARRANTS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, September 9, 2011. Processed Saturday at 2011-09-10T23:15:15+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $19.94,
ANZVOE,,18.00,29/09/11,4:1,.615,.62,,,,,
ANZVOF,,20.00,29/09/11,4:1,.25,.255,.155,-19,206,,
ANZWMD,,20.00,29/09/11,4:1,.175,.20,.195,-8,310,,
ANZVRB,,21.00,29/09/11,4:1,.086,.081,,,,,
ANZVOD,,22.00,29/09/11,4:1,.021,,.083,,,,
ANZVRA,,22.00,29/09/11,4:1,.021,,.02,-2.5,120,,
ANZWMC,,23.00,29/09/11,4:1,.001,,.063,,,,
ANZVRC,,20.00,27/10/11,4:1,.30,.315,,,,,
ANZVRD,,21.00,27/10/11,4:1,.175,.195,.15,,,,
ANZWOA,,21.00,27/10/11,4:1,.155,,.115,-6.5,72,,
ANZWOC,,21.00,27/10/11,4:1,,,,,,,
ANZWMJ,,23.00,27/10/11,4:1,.048,.071,,,,,
ANZWOB,,23.00,27/10/11,4:1,.059,.064,.072,,,,
ANZWOD,,19.00,24/11/11,4:1,.475,.48,,,,,
ANZWOE,,21.00,24/11/11,4:1,.225,.23,,,,,
ANZWOF,,23.00,24/11/11,4:1,.081,.086,,,,,
ANZWMK,,25.00,24/01/12,4:1,.05,.073,.062,,200,,
,
Alumina Last Sale Price $1.64,
AWCWMA,,1.80,29/09/11,1:1,.024,.047,.21,,,,
AWCWMC,,1.90,29/09/11,1:1,.004,,,,,,
,
BHP Billiton Last Sale Price $37.91,
BHPVRA,,40.00,29/09/11,4:1,.145,.14,.165,,400,,
BHPWMJ,,40.00,29/09/11,4:1,.13,.155,.16,-10,3773,,
BHPVRB,,42.00,29/09/11,4:1,.038,.046,.185,,,,
BHPVOI,,42.50,29/09/11,4:1,.03,,.13,,,,
BHPVOF,,44.50,29/09/11,4:1,.008,,.008,-2,120,,
BHPWMH,,46.00,29/09/11,4:1,.001,,.014,,,,
BHPVOG,,46.50,29/09/11,4:1,.005,,.016,,,,
BHPVOH,,48.50,29/09/11,4:1,.006,.011,.083,,,,
BHPWMI,,49.00,29/09/11,4:1,.001,,.027,,,,
BHPWMK,,54.00,29/09/11,4:1,.001,,.13,,,,
BHPVRC,,39.00,27/10/11,4:1,.435,.445,,,,,
BHPWOD,,39.00,27/10/11,4:1,.53,.59,.54,-27.5,1554,,
BHPVRD,,41.00,27/10/11,4:1,.22,.24,,,,,
BHPWOC,,42.00,27/10/11,4:1,.15,,.32,,,,
BHPWOE,,46.00,27/10/11,4:1,.041,,.105,,,,
BHPWOF,,48.00,27/10/11,4:1,.023,.028,.034,-1.6,120,,
BHPWOA,,37.00,24/11/11,4:1,.97,.975,,,,,
BHPWOB,,39.00,24/11/11,4:1,.69,.695,,,,,
BHPWOG,,41.00,24/11/11,4:1,.465,.47,,,,,
BHPWOH,,43.00,24/11/11,4:1,.295,.30,,,,,
BHPWML,,45.00,24/11/11,4:1,.10,.125,.125,-6,1150,,
BHPWMM,,46.00,24/01/12,4:1,.205,.23,.14,,,,
,
