Warrant Market - Weekly,,,,,,,,,,,,
XAO 4475.1 at 16:36 23/7/2010  Report at 19:06 Friday 23/7/2010. Processed 19:17 Saturday 24/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.35,,,,,,,,,,,,
BHPWOC,35.00,26/08/10,4:1,1.295,1.3,0.97,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.785,0.79,0.76,15,70,,,,
BHPWOE,39.50,26/08/10,4:1,0.435,0.44,0.435,14,3380,,,,
BHPWOF,41.00,26/08/10,4:1,0.27,0.275,0.175,-,200,,,,
BHPWON,43.00,26/08/10,4:1,0.13,0.135,0.13,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.058,0.063,0.115,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.023,0.03,0.019,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.585,1.62,1.44,12.5,480,,,,
BHPUMI,38.00,23/09/10,4:1,0.85,0.875,0.665,-3.5,60,,,,
BHPVMF,40.00,23/09/10,4:1,0.5,0.525,0.365,-,-,,,,
BHPUMJ,42.00,23/09/10,4:1,0.335,0.355,0.335,10,300,,,,
BHPVMG,44.00,23/09/10,4:1,0.155,0.17,0.155,4,1640,,,,
BHPWMH,46.00,23/09/10,4:1,0.11,0.12,0.105,3,1820,,,,
BHPWMI,48.00,23/09/10,4:1,0.06,0.067,0.063,2.5,21950,,,,
BHPVMH,40.00,27/01/11,4:1,1.025,1.045,0.85,-,-,,,,
BHPVMI,42.00,27/01/11,4:1,0.76,0.78,-,-,-,,,,
BHPVMJ,44.00,27/01/11,4:1,0.575,0.595,0.59,-,9,,,,
BHPVMK,46.00,27/01/11,4:1,0.385,0.4,0.395,-3,1445,,,,
BlueScope Steel Last Sale Price $2.38,,,,,,,,,,,,
BSLWOF,2.25,26/08/10,2:1,0.115,0.12,-,-,-,,,,
BSLWOE,2.65,26/08/10,2:1,0.035,0.04,-,-,-,,,,
BSLUMB,2.50,28/10/10,1:1,0.185,0.195,-,-,-,,,,
Brambles Ltd Last Sale Price $5.43,,,,,,,,,,,,
BXBWOC,7.25,26/08/10,3:1,0.009,0.019,0.036,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.005,0.015,-,-,-,,,,
BXBVME,5.00,23/09/10,1:1,0.66,0.67,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $51.24,,,,,,,,,,,,
CBAVZC,54.00,28/07/10,5:1,0.032,0.046,0.064,-2.8,100,,,,
CBAVZD,52.00,25/08/10,5:1,0.305,0.33,0.24,-,50,,,,
CBAUMG,50.00,23/09/10,4:1,0.79,0.825,0.765,-12,240,,,,
CBAUMH,53.00,23/09/10,4:1,0.45,0.49,0.49,-5.5,1739,,,,
CBAWOG,54.00,23/09/10,5:1,0.21,0.215,0.22,-2.5,615,,,,
CBAUMI,55.00,23/09/10,4:1,0.305,0.335,0.20,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.105,0.11,0.105,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,0.195,0.22,0.56,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.155,0.17,0.145,-6.5,1140,,,,
CBAWOI,59.00,23/09/10,5:1,0.053,0.058,0.06,-,-,,,,
CBAVMF,48.00,27/01/11,4:1,1.66,1.695,-,-,-,,,,
CBAVMG,52.00,27/01/11,4:1,1.17,1.2,1.065,-,30,,,,
CBAVMH,56.00,27/01/11,4:1,0.795,0.82,-,-,-,,,,
CBAVMI,60.00,27/01/11,4:1,0.525,0.555,-,-,-,,,,
Computershare Ltd Last Sale Price $10.38,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.245,0.275,0.26,-0.5,19,,,,
CSL Ltd Last Sale Price $32.40,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.235,0.255,0.26,-3.5,365,,,,
CSLUMC,37.00,23/09/10,4:1,0.058,0.065,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.21,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.31,0.325,0.255,-1.5,2060,,,,
Incitec Pivot Last Sale Price $3.19,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.335,0.345,0.22,6.5,450,,,,
Macq Grp Ltd Last Sale Price $39.43,,,,,,,,,,,,
MQGVZM,42.00,28/07/10,5:1,0.033,0.047,-,-,-,,,,
MQGVZB,42.00,25/08/10,5:1,0.27,0.295,-,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.049,0.054,0.043,-3.8,350,,,,
MQGWOC,57.50,23/09/10,6:1,0.013,0.023,0.02,-,-,,,,
National Aust Bank Last Sale Price $24.37,,,,,,,,,,,,
NABVZD,27.00,28/07/10,4:1,0.002,0.04,-,-,-,,,,
NABVZE,26.00,25/08/10,4:1,0.135,0.16,-,-,-,,,,
NABWOI,25.00,23/09/10,4:1,0.25,0.255,0.205,-,2000,,,,
NABWOG,26.00,23/09/10,4:1,0.165,0.17,0.165,0.5,3800,,,,
NABWOH,28.00,23/09/10,4:1,0.061,0.066,0.08,-,-,,,,
NABWSA,0.00,25/03/20,1:1,-,-,23.94,-,-,,,,
Newcrest Min Last Sale Price $33.22,,,,,,,,,,,,
NCMVZG,36.00,28/07/10,4:1,0.011,0.04,-,-,-,,,,
NCMVZH,36.00,25/08/10,4:1,0.195,0.22,-,-,-,,,,
NCMWOA,34.00,26/08/10,4:1,0.32,0.325,0.68,-,-,,,,
NCMWOB,36.50,26/08/10,4:1,0.14,0.145,0.145,-21.5,1750,,,,
NCMWOH,40.00,26/08/10,4:1,0.042,0.047,0.195,-,-,,,,
News Corp Last Sale Price $16.60,,,,,,,,,,,,
NWSUMC,18.00,23/09/10,4:1,0.145,0.155,0.145,-4.5,4200,,,,
NWSUMD,20.00,23/09/10,4:1,0.039,0.044,0.145,-,-,,,,
NWSVMF,22.00,23/09/10,4:1,0.007,-,-,-,-,,,,
Orica Ltd Last Sale Price $25.42,,,,,,,,,,,,
ORIUMB,24.37,23/09/10,4:1,0.56,0.605,0.59,6.5,571,,,,
Oil Search Ltd Last Sale Price $5.90,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.37,0.405,-,-,-,,,,
Paladin Energy Last Sale Price $3.66,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.23,0.26,0.235,-,2000,,,,
Qantas Airways Last Sale Price $2.40,,,,,,,,,,,,
QANUMD,2.50,23/09/10,1:1,0.13,0.145,0.16,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.049,0.057,0.12,-,-,,,,
QBE Insurance Grp Last Sale Price $17.97,,,,,,,,,,,,
QBEVMF,18.00,23/09/10,4:1,0.215,0.235,0.21,-7,350,,,,
QBEUME,20.00,23/09/10,4:1,0.056,0.065,0.155,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.024,-,0.035,-1.3,300,,,,
QBEWOB,22.50,23/09/10,4:1,0.014,0.019,0.023,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.006,0.016,0.006,-1.2,400,,,,
Rio Tinto Ltd Last Sale Price $69.86,,,,,,,,,,,,
RIOVZH,75.00,28/07/10,6:1,0.038,0.052,-,-,-,,,,
RIOVZF,72.00,25/08/10,6:1,0.5,0.525,-,-,-,,,,
RIOWOA,70.00,26/08/10,6:1,0.525,0.53,0.52,23,1330,,,,
RIOWOB,77.50,26/08/10,6:1,0.15,0.155,0.11,-45.5,230,,,,
RIOWOG,82.50,26/08/10,6:1,0.066,0.071,0.18,-,-,,,,
RIOUMI,63.00,23/09/10,4:1,2.22,2.29,2.22,57,242,,,,
RIOUMJ,65.00,23/09/10,4:1,1.92,1.98,1.95,44,90,,,,
RIOUMK,68.00,23/09/10,4:1,1.405,1.46,1.135,-,-,,,,
RIOVMG,70.00,23/09/10,4:1,1.145,1.19,1.165,19.5,300,,,,
RIOUML,72.00,23/09/10,4:1,0.925,0.97,0.795,14.5,100,,,,
