Warrant Market - Weekly,,,,,,,,,,,,
XAO 4586.3 at 16:37 6/8/2010  Report at 19:05 Friday 6/8/2010. Processed 17:49 Sunday 8/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.42,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.095,0.1,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.022,0.027,0.03,-,-,,,,
AMPWOC,5.75,25/11/10,3:1,0.077,0.082,-,-,-,,,,
AMPWOD,6.25,25/11/10,3:1,0.04,0.045,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.05,,,,,,,,,,,,
ANZVZE,24.00,25/08/10,4:1,0.115,0.14,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.845,0.85,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.44,0.445,0.455,4,100,,,,
ANZWOG,22.50,23/09/10,4:1,0.355,0.36,0.36,-4,2000,,,,
ANZVMD,24.00,23/09/10,4:1,0.155,0.16,-,-,-,,,,
ANZVZF,24.00,23/09/10,4:1,0.135,0.16,0.155,-14.5,200,,,,
ANZWOH,24.50,23/09/10,4:1,0.125,0.13,0.13,-2.5,5420,,,,
ANZWMH,26.00,23/09/10,4:1,0.032,0.035,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.038,0.043,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.003,-,0.007,-8.8,200,,,,
ANZWOJ,22.00,25/11/10,4:1,0.49,0.495,-,-,-,,,,
ANZWOK,23.50,25/11/10,4:1,0.295,0.3,-,-,-,,,,
ANZWOL,25.00,25/11/10,4:1,0.165,0.17,-,-,-,,,,
ANZWOM,26.50,25/11/10,4:1,0.087,0.092,-,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,1.005,1.01,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.675,0.68,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.41,0.415,0.47,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.23,0.235,0.225,5,350,,,,
ASX Ltd Last Sale Price $29.98,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.052,0.055,0.086,-,-,,,,
