Warrant Market - Weekly,,,,,,,,,,,,
XAO 4516.5 at 16:37 11/6/2010  Report at 19:06 Friday 11/6/2010. Processed 19:28 Friday 11/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.67,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.086,0.091,0.082,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.044,0.049,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.04,,,,,,,,,,,,
ANZUMD,20.00,24/06/10,4:1,0.75,-,0.69,-,-,,,,
ANZUMF,20.00,24/06/10,4:1,0.75,-,0.495,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.33,-,0.19,-16,100,,,,
ANZUMG,22.00,24/06/10,4:1,0.325,-,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.155,0.16,0.135,-2,2423,,,,
ANZUMH,24.00,24/06/10,4:1,0.077,-,-,-,-,,,,
ANZVZC,24.00,24/06/10,4:1,0.09,0.095,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.081,0.088,0.083,-1.2,300,,,,
ANZWOE,24.50,24/06/10,4:1,0.018,0.023,0.017,-,-,,,,
ANZWMB,26.00,24/06/10,4:1,0.006,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,0.001,0.011,0.064,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.58,0.585,0.505,-5.5,210,,,,
ANZWOH,24.50,23/09/10,4:1,0.33,0.335,0.32,1.5,1442,,,,
ANZWMH,26.00,23/09/10,4:1,0.2,0.215,0.20,-1,2420,,,,
ANZWOI,26.50,23/09/10,4:1,0.17,0.175,-,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.1,0.11,0.095,-,-,,,,
ASX Ltd Last Sale Price $30.79,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.29,0.31,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.089,0.099,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.70,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.58,,,,,,,,,,,,
BHPUMD,32.00,24/06/10,4:1,1.625,-,1.56,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.7,-,0.73,-,-,,,,
BHPWOJ,38.00,24/06/10,4:1,0.29,0.31,0.285,1,5993,,,,
BHPWOK,39.00,24/06/10,4:1,0.16,0.165,0.16,-,6172,,,,
BHPUMF,40.00,24/06/10,4:1,0.13,-,0.14,-,-,,,,
BHPVZE,40.00,24/06/10,4:1,0.175,0.2,0.125,-13.5,440,,,,
BHPWOL,41.00,24/06/10,4:1,0.033,0.053,0.032,-1.5,630,,,,
BHPWMA,43.00,24/06/10,4:1,0.009,0.037,0.04,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.005,0.003,0.003,-1.4,1160,,,,
BHPVOD,45.00,24/06/10,4:1,-,-,0.01,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.001,-,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.001,0.001,0.001,-2.3,560,,,,
BHPUMG,48.00,24/06/10,4:1,0.001,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.265,1.27,1.175,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.845,0.85,0.70,-10,7270,,,,
BHPWOE,39.50,26/08/10,4:1,0.565,0.57,0.56,1,4960,,,,
BHPWOF,41.00,26/08/10,4:1,0.42,0.425,0.29,-18,100,,,,
BHPWON,43.00,26/08/10,4:1,0.25,0.255,0.21,-2.5,3880,,,,
BHPWOO,45.00,26/08/10,4:1,0.155,0.16,0.155,-4.5,180,,,,
BHPVOA,47.50,26/08/10,4:1,0.081,0.086,0.068,-1.7,160,,,,
BHPUMH,34.00,23/09/10,4:1,1.545,1.615,1.595,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.925,0.98,0.69,-28.5,1000,,,,
BHPUMJ,42.00,23/09/10,4:1,0.445,0.46,0.33,-18.5,100,,,,
BHPWMH,46.00,23/09/10,4:1,0.17,0.25,0.21,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.12,0.125,0.12,1,24850,,,,
BlueScope Steel Last Sale Price $2.28,,,,,,,,,,,,
BSLWOD,2.50,24/06/10,2:1,0.035,0.04,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.005,0.015,-,-,-,,,,
BSLWOE,2.65,26/08/10,2:1,0.053,0.058,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.031,0.036,-,-,-,,,,
BSLUMB,2.50,28/10/10,1:1,0.195,0.205,-,-,-,,,,
Brambles Ltd Last Sale Price $6.15,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.011,0.021,0.011,-8.3,85,,,,
BXBWOB,7.75,24/06/10,4:1,0.001,0.011,-,-,-,,,,
BXBWOC,7.25,26/08/10,3:1,0.049,0.054,-,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.026,0.031,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $52.50,,,,,,,,,,,,
CBAUMD,50.00,24/06/10,4:1,0.805,-,0.70,-,-,,,,
CBAUME,53.00,24/06/10,4:1,0.295,-,0.125,-20.5,274,,,,
CBAWOD,55.00,24/06/10,5:1,0.065,0.066,0.055,-5,500,,,,
CBAVZB,56.00,24/06/10,5:1,0.09,0.095,0.095,-,-,,,,
CBAWMA,56.00,24/06/10,4:1,0.081,-,0.13,-,-,,,,
CBAWOE,57.50,24/06/10,5:1,0.015,0.025,0.046,-,-,,,,
CBAWMB,58.00,24/06/10,4:1,0.036,0.031,0.031,-3.7,200,,,,
CBAUMF,60.00,24/06/10,4:1,0.013,-,-,-,-,,,,
CBAWOF,60.00,24/06/10,5:1,0.001,0.02,0.032,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,1.37,1.385,1.12,-10.5,70,,,,
CBAUMH,53.00,23/09/10,4:1,0.975,0.985,0.865,-1,675,,,,
CBAWOG,54.00,23/09/10,5:1,0.525,0.54,0.505,-3.5,331,,,,
CBAUMI,55.00,23/09/10,4:1,0.75,0.76,-,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.36,0.37,0.355,-,20,,,,
CBAWMI,57.00,23/09/10,4:1,0.57,0.58,0.56,-,50,,,,
CBAWMH,58.00,23/09/10,4:1,0.38,0.385,0.38,1,70,,,,
CBAWOI,59.00,23/09/10,5:1,0.23,0.24,0.15,-5.5,46,,,,
Computershare Ltd Last Sale Price $11.42,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.915,0.935,-,-,-,,,,
CSL Ltd Last Sale Price $33.77,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.56,0.58,-,-,-,,,,
CSLUMC,37.00,23/09/10,4:1,0.24,0.255,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.11,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.4,0.415,0.405,1.5,1800,,,,
Incitec Pivot Last Sale Price $2.97,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.255,0.27,0.225,-3.5,140,,,,
Macq Grp Ltd Last Sale Price $44.72,,,,,,,,,,,,
MQGVZL,48.00,24/06/10,5:1,0.105,0.13,0.15,-,-,,,,
MQGWOE,49.00,24/06/10,6:1,0.059,0.069,0.16,-,-,,,,
MQGWOD,52.50,24/06/10,6:1,0.001,0.07,0.088,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.375,0.38,0.365,-2.5,464,,,,
MQGWOC,57.50,23/09/10,6:1,0.115,0.12,0.10,-1.5,800,,,,
National Aust Bank Last Sale Price $24.71,,,,,,,,,,,,
NABWOF,26.50,24/06/10,4:1,0.042,0.047,0.005,-,-,,,,
NABVZC,27.00,24/06/10,4:1,0.028,0.04,-,-,-,,,,
NABWOD,28.00,24/06/10,4:1,-,0.011,0.02,-,-,,,,
NABWOE,30.00,24/06/10,4:1,0.001,-,0.001,-,740,,,,
NABWOG,26.00,23/09/10,4:1,0.31,0.335,0.335,1.5,2286,,,,
NABWOH,28.00,23/09/10,4:1,0.17,0.175,0.17,-,-,,,,
NABWOI,30.50,23/09/10,4:1,0.065,0.07,-,-,-,,,,
NABWSA,0.00,25/03/20,1:1,-,-,-,-,-,,,,
Newcrest Min Last Sale Price $34.35,,,,,,,,,,,,
NCMVZF,34.00,24/06/10,4:1,0.33,0.355,0.16,-0.5,400,,,,
NCMWOA,34.00,26/08/10,4:1,0.705,0.71,0.61,-,400,,,,
NCMWOB,36.50,26/08/10,4:1,0.44,0.445,0.375,5,400,,,,
NCMWOH,40.00,26/08/10,4:1,0.215,0.22,-,-,-,,,,
News Corp Last Sale Price $18.33,,,,,,,,,,,,
NWSUMB,18.00,24/06/10,4:1,0.19,-,-,-,-,,,,
NWSWMA,20.00,24/06/10,4:1,0.018,-,0.047,-,-,,,,
NWSUMC,18.00,23/09/10,4:1,0.445,0.46,-,-,-,,,,
NWSUMD,20.00,23/09/10,4:1,0.215,0.23,-,-,-,,,,
Orica Ltd Last Sale Price $25.99,,,,,,,,,,,,
ORIUMB,27.00,23/09/10,4:1,0.305,0.325,0.32,6,20,,,,
Oil Search Ltd Last Sale Price $5.89,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.535,0.565,-,-,-,,,,
Paladin Energy Last Sale Price $3.95,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.48,0.495,-,-,-,,,,
Qantas Airways Last Sale Price $2.41,,,,,,,,,,,,
QANUMB,2.50,24/06/10,1:1,0.038,-,-,-,-,,,,
QANUMD,2.50,23/09/10,1:1,0.185,0.195,-,-,-,,,,
QANUMC,2.75,23/09/10,1:1,0.092,0.1,0.105,-,-,,,,
QBE Insurance Grp Last Sale Price $19.10,,,,,,,,,,,,
QBEUMC,21.00,24/06/10,4:1,0.006,-,-,-,-,,,,
QBEUME,20.00,23/09/10,4:1,0.23,0.255,-,-,-,,,,
QBEUMD,21.00,23/09/10,4:1,0.15,0.165,0.15,-1.5,400,,,,
QBEWOB,22.50,23/09/10,4:1,0.073,0.078,0.073,-1.9,1000,,,,
QBEWOC,24.50,23/09/10,4:1,0.029,0.034,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $69.10,,,,,,,,,,,,
RIOUMD,60.00,24/06/10,4:1,2.33,-,2.17,-,-,,,,
RIOUME,65.00,24/06/10,4:1,1.255,-,0.95,-,-,,,,
RIOUMF,70.00,24/06/10,4:1,0.485,-,0.35,-,-,,,,
RIOVZG,70.00,24/06/10,6:1,0.36,0.385,0.345,-8.5,1900,,,,
RIOWOF,72.50,24/06/10,6:1,0.11,0.12,0.115,-3,814,,,,
RIOUMG,75.00,24/06/10,4:1,0.12,-,-,-,-,,,,
RIOWOJ,79.00,24/06/10,6:1,0.008,0.028,0.008,-7.5,480,,,,
RIOUMH,80.00,24/06/10,4:1,0.017,-,-,-,-,,,,
RIOWOK,86.00,24/06/10,6:1,0.001,0.021,0.007,-2.7,500,,,,
RIOWMA,90.00,24/06/10,4:1,0.001,-,0.005,-,-,,,,
RIOWMB,95.00,24/06/10,4:1,0.001,-,-,-,-,,,,
RIOWOA,70.00,26/08/10,6:1,0.87,0.88,0.895,6.5,30,,,,
RIOWOB,77.50,26/08/10,6:1,0.425,0.435,0.425,-6.5,140,,,,
RIOWOG,82.50,26/08/10,6:1,0.25,0.26,0.175,-8,28,,,,
RIOUMI,63.00,23/09/10,4:1,2.59,2.62,2.69,-2,152,,,,
RIOUMJ,65.00,23/09/10,4:1,2.27,2.3,2.32,84,554,,,,
RIOUMK,68.00,23/09/10,4:1,1.835,1.86,-,-,-,,,,
RIOUML,72.00,23/09/10,4:1,1.365,1.39,-,-,-,,,,
RIOUMM,80.00,23/09/10,4:1,0.72,0.735,0.715,8,130,,,,
RIOWMH,95.00,23/09/10,4:1,0.15,0.155,0.03,-,-,,,,
RIOWMI,100.00,23/09/10,4:1,0.096,0.1,0.098,1.8,700,,,,
Santos Ltd Last Sale Price $13.50,,,,,,,,,,,,
STOUMB,13.00,24/06/10,4:1,0.18,-,0.087,-,-,,,,
STOWOC,13.50,26/08/10,4:1,0.27,0.275,0.14,-,-,,,,
STOWOD,15.00,26/08/10,4:1,0.14,0.145,-,-,-,,,,
STOUMC,13.00,23/09/10,4:1,0.375,0.39,0.26,-,-,,,,
STOUMD,14.00,23/09/10,4:1,0.26,0.27,-,-,-,,,,
Suncorp-Metway Last Sale Price $8.35,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.2,0.215,-,-,-,,,,
Ten Network Hldgs Last Sale Price $1.75,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.19,0.2,-,-,-,,,,
Telstra Corp Last Sale Price $3.19,,,,,,,,,,,,
TLSWOC,3.00,24/06/10,2:1,0.1,0.11,0.10,-4.5,120,,,,
TLSWMA,3.15,24/06/10,1:1,0.081,-,0.075,-1.2,800,,,,
TLSWMB,3.30,24/06/10,1:1,0.048,-,-,-,-,,,,
TLSWOD,3.30,24/06/10,2:1,0.013,0.023,0.029,-,-,,,,
TLSWOE,3.10,26/08/10,2:1,0.086,0.091,-,-,-,,,,
TLSWOF,3.35,26/08/10,2:1,0.046,0.051,-,-,-,,,,
TLSUMD,2.92,23/09/10,1:1,0.375,0.385,0.24,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,0.235,0.245,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.19,0.2,0.11,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.078,0.083,0.076,-,-,,,,
Toll Hldgs Ltd Last Sale Price $5.86,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.11,0.115,0.12,-2.5,610,,,,
Westpac Banking Last Sale Price $23.43,,,,,,,,,,,,
WBCUMD,23.00,24/06/10,4:1,0.25,0.225,0.225,2.5,150,,,,
WBCUME,25.00,24/06/10,4:1,0.051,-,-,-,-,,,,
WBCVZE,26.00,24/06/10,4:1,0.02,0.04,0.024,-,-,,,,
WBCWOF,26.50,24/06/10,4:1,0.004,0.014,0.006,-6.9,300,,,,
WBCWMA,27.00,24/06/10,4:1,0.002,-,0.03,-,-,,,,
WBCWOG,28.00,24/06/10,4:1,0.001,0.011,0.01,-,-,,,,
WBCWMB,29.00,24/06/10,4:1,0.001,-,0.098,-,-,,,,
WBCWOE,30.00,24/06/10,4:1,-,0.011,0.035,-,-,,,,
WBCUMF,31.00,24/06/10,4:1,0.001,-,-,-,-,,,,
WBCUMG,22.00,23/09/10,4:1,0.715,0.735,0.605,-4.5,411,,,,
WBCUMH,24.00,23/09/10,4:1,0.44,0.455,0.365,-,-,,,,
WBCWOH,24.50,23/09/10,4:1,0.375,0.375,0.26,-10.5,80,,,,
WBCUMI,26.00,23/09/10,4:1,0.245,0.255,0.15,-6,100,,,,
WBCWOI,26.00,23/09/10,4:1,0.24,0.245,0.215,1.5,300,,,,
WBCWOJ,28.00,23/09/10,4:1,0.12,0.125,0.12,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,0.086,0.092,0.077,-6.3,610,,,,
WBCWMI,31.00,23/09/10,4:1,0.038,-,0.18,-,-,,,,
Wesfarmers Ltd Last Sale Price $28.82,,,,,,,,,,,,
WESWOC,30.00,26/08/10,5:1,0.225,0.23,-,-,-,,,,
WESWOA,32.00,26/08/10,5:1,0.115,0.125,0.115,-3.5,1500,,,,
WESUMB,28.00,23/09/10,4:1,0.6,0.625,-,-,-,,,,
WESUMC,31.00,23/09/10,4:1,0.28,0.295,0.25,-,40,,,,
WorleyParsons Ltd Last Sale Price $23.47,,,,,,,,,,,,
WORUMB,26.00,23/09/10,4:1,0.245,0.275,-,-,-,,,,
Woolworths Ltd Last Sale Price $27.64,,,,,,,,,,,,
WOWUMB,27.00,24/06/10,4:1,0.21,-,0.195,9,100,,,,
WOWWOB,28.50,26/08/10,4:1,0.22,0.225,-,-,-,,,,
WOWUMC,27.00,23/09/10,4:1,0.425,0.44,0.395,3,1700,,,,
WOWUMD,30.00,23/09/10,4:1,0.105,0.11,-,-,-,,,,
Woodside Pet Last Sale Price $45.22,,,,,,,,,,,,
WPLUMB,42.00,24/06/10,4:1,0.865,-,0.49,-20,400,,,,
WPLWOG,44.00,24/06/10,5:1,0.365,0.37,0.18,-10,1400,,,,
WPLVZD,45.00,24/06/10,5:1,0.32,0.345,-,-,-,,,,
WPLWMA,46.00,24/06/10,4:1,0.21,-,0.074,-43.6,100,,,,
WPLWOH,47.50,24/06/10,5:1,0.086,0.091,0.40,-,-,,,,
WPLWOI,51.00,24/06/10,5:1,0.012,0.017,-,-,-,,,,
WPLWOA,46.00,26/08/10,5:1,0.455,0.465,0.45,12,1220,,,,
WPLWOB,50.00,26/08/10,5:1,0.195,0.205,-,-,-,,,,
WPLUMC,44.00,23/09/10,4:1,1.04,1.075,1.05,29.5,51,,,,
