Warrant Market - Weekly,,,,,,,,,,,,
XAO 4929.5 at 16:35 15/1/2010  Report at 19:05 Friday 15/1/2010. Processed 19:37 Friday 15/1/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.51,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.185,0.185,0.175,1,600,,,,
AMPWOB,6.75,25/02/10,3:1,0.055,0.06,0.063,-,-,,,,
ANZ Banking Grp Last Sale Price $22.43,,,,,,,,,,,,
ANZWZG,25.00,28/01/10,4:1,0.008,0.04,0.04,-,-,,,,
ANZWZH,22.00,25/02/10,4:1,0.335,0.365,0.475,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,0.075,0.08,0.085,-0.8,1407,,,,
ANZWOL,26.50,25/02/10,4:1,0.021,0.065,0.045,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,0.007,0.012,0.007,-1.7,250,,,,
ANZVMA,22.00,25/03/10,3:1,0.54,0.61,0.73,-,-,,,,
ANZWZJ,23.00,25/03/10,4:1,0.335,0.365,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.265,0.315,0.345,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.23,0.26,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.265,0.27,0.265,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.145,0.15,0.17,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.195,0.21,0.21,-2,3311,,,,
ANZWOC,26.50,29/04/10,4:1,0.074,0.079,-,-,-,,,,
ASX Ltd Last Sale Price $34.68,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.7,0.75,0.745,-7.5,135,,,,
ASXVMB,35.00,25/03/10,4:1,0.43,0.47,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.36,0.39,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $43.65,,,,,,,,,,,,
BHPWZA,40.00,28/01/10,4:1,0.97,1,1.045,-,-,,,,
BHPVZO,44.00,28/01/10,4:1,0.325,0.355,-,-,-,,,,
BHPWOC,37.00,25/02/10,4:1,1.76,1.77,1.61,-18,7762,,,,
BHPWOD,39.00,25/02/10,4:1,1.28,1.285,1.33,7.5,3999,,,,
BHPWOE,41.00,25/02/10,4:1,0.88,0.885,0.96,10.5,1240,,,,
BHPWOF,43.00,25/02/10,4:1,0.555,0.56,0.60,4,570,,,,
BHPVOC,45.00,25/02/10,4:1,0.32,0.315,0.31,-4,7635,,,,
BHPWZB,46.00,25/02/10,4:1,0.43,0.46,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.775,1.86,1.515,-,-,,,,
BHPVMB,39.00,25/03/10,4:1,1.385,1.465,-,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,1.11,1.14,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.875,0.905,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,2.07,2.08,2.13,5,60,,,,
BHPWOB,38.50,29/04/10,4:1,1.56,1.565,1.535,-3.5,460,,,,
BHPWOG,40.50,29/04/10,4:1,1.2,1.205,1.135,-,-,,,,
BHPVME,41.00,29/04/10,4:1,1.215,1.285,1.26,-7,514,,,,
BHPWOH,43.50,29/04/10,4:1,0.74,0.745,0.79,5,200,,,,
BHPWOI,46.00,29/04/10,4:1,0.49,0.495,0.475,-4.5,354,,,,
BlueScope Steel Last Sale Price $3.03,,,,,,,,,,,,
BSLWOA,3.00,25/03/10,2:1,0.13,0.135,0.145,1.5,100,,,,
BSLVMA,3.25,25/03/10,2:1,0.081,0.092,0.15,-,-,,,,
BSLWOB,3.50,25/03/10,2:1,0.035,0.04,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $58.10,,,,,,,,,,,,
CBAVZJ,50.00,28/01/10,5:1,1.63,1.66,-,-,-,,,,
CBAWOJ,54.00,25/02/10,5:1,0.625,0.595,0.625,6.5,615,,,,
CBAVZK,55.00,25/02/10,5:1,0.915,0.945,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.305,0.31,0.28,-,-,,,,
CBAWOL,60.00,25/02/10,5:1,0.145,0.175,0.145,-57.5,913,,,,
CBAVMA,53.00,25/03/10,5:1,1.045,1.315,1.05,-,-,,,,
CBAVZL,53.00,25/03/10,5:1,1.27,1.3,-,-,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.8,1.035,0.85,14,15,,,,
CBAVZM,55.00,25/03/10,5:1,1.03,1.06,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.53,1.535,1.505,18,4320,,,,
CBAWOB,55.00,29/04/10,5:1,0.865,0.87,0.88,10.5,100,,,,
CBAVME,57.00,29/04/10,5:1,0.755,0.88,0.725,-4.5,163,,,,
CBAWOC,59.00,29/04/10,5:1,0.49,0.495,0.405,-,-,,,,
