Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, June 26, 2015. Processed Saturday at 2015-06-27T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $33.10,
ANZWOI,,35.50,24/09/15,4:1,.21,.215,.22,+2.5,1200,,
ANZWOJ,,37.50,24/09/15,4:1,.091,.096,.135,+6,2980,,
,
BHP Billiton Last Sale Price $27.50,
BHPWOG,,33.00,24/09/15,4:1,.084,.088,.088,-2.7,550,,
BHPWOH,,33.67,24/09/15,4:1,.069,.074,.11,,180,,
BHPWOI,,36.48,24/09/15,4:1,.024,.029,.092,,,,
,
C'wlth Bank of Aust Last Sale Price $86.65,
CBAWOI,,92.00,24/09/15,5:1,.40,.405,.415,+10.5,1673,,
CBAWOJ,,96.00,24/09/15,5:1,.23,.235,.27,+10,200,,
,
Fortescue Metals Grp Last Sale Price $1.99,
FMGWOI,,2.50,24/09/15,3:1,.056,.061,.06,-3.9,75,,
FMGWOJ,,3.00,24/09/15,3:1,.028,.033,.088,,,,
,
Fox Inc Nasdaq ClassB,
FX1WMA,,0.01,17/06/16,1:1,42.17,42.23,42.13,+12,44,,
FX1WUA,,0.01,10/03/22,1:1,42.15,42.16,42.105,+14,244,,
,
Fox Inc Nasdaq ClassA,
FX2WUA,,0.01,10/03/22,1:1,42.70,42.71,,,,,
,
Macquarie Grp Last Sale Price $82.50,
MQGWOI,,74.00,24/09/15,4:1,2.79,2.80,2.78,,,,
MQGWOJ,,78.00,24/09/15,4:1,2.16,2.17,2.07,,,,
,
National Aust Bank Last Sale Price $34.09,
NABWOI,,37.56,24/09/15,4:1,.175,.18,.17,+1,550,,
NABWOJ,,39.54,24/09/15,4:1,.082,.087,.115,+1,744,,
,
Newcrest Min Last Sale Price $12.97,
NCMWOJ,,14.00,24/09/15,4:1,.33,.335,,,,,
NCMWOI,,15.00,24/09/15,4:1,.25,.255,.53,,,,
,
Rio Tinto Last Sale Price $54.08,
RIOWOI,,62.00,24/09/15,6:1,.21,.215,.28,,,,
RIOWOJ,,66.00,24/09/15,6:1,.105,.11,.11,-12.5,180,,
,
Telstra Corp Last Sale Price $6.20,
TLSWOI,,6.30,24/09/15,2:1,.11,.115,.115,-2,1420,,
TLSWOJ,,6.60,24/09/15,2:1,.061,.066,.058,,,,
,
Westpac Banking Last Sale Price $33.01,
WBCWOI,,38.00,24/09/15,4:1,.082,.087,.10,,,,
WBCWOJ,,40.00,24/09/15,4:1,.03,.035,.033,+.9,7391,,
,
Equity Put Warrants,
ANZ Banking Grp Last Sale Price $33.10,
ANZWOW,,33.00,24/09/15,4:1,.415,.42,.415,-3.5,4000,,
ANZWOV,,35.00,24/09/15,4:1,.685,.69,.595,,,,
,
BHP Billiton Last Sale Price $27.50,
BHPWOU,,28.00,24/09/15,4:1,.665,.67,.68,,,,
BHPWOT,,31.00,24/09/15,4:1,1.175,1.18,.615,,,,
BHPWOS,,34.00,24/09/15,4:1,1.81,1.815,1.32,,,,
,
C'wlth Bank of Aust Last Sale Price $86.65,
CBAWOW,,85.00,24/09/15,5:1,.95,.955,.98,-64.5,278,,
CBAWOV,,90.00,24/09/15,5:1,1.545,1.55,2.34,,,,
,
Fortescue Metals Grp Last Sale Price $1.99,
FMGWOW,,2.00,24/09/15,3:1,.12,,,,,,
FMGWOV,,2.50,24/09/15,3:1,.23,,,,,,
,
Macquarie Grp Last Sale Price $82.50,
MQGWOW,,69.00,24/09/15,4:1,.30,.305,.58,,,,
MQGWOV,,73.00,24/09/15,4:1,.485,.49,.755,,,,
,
National Aust Bank Last Sale Price $34.09,
NABWOW,,34.60,24/09/15,4:1,.53,.535,.67,,,,
NABWOV,,37.00,24/09/15,4:1,.895,.90,.815,,,,
,
Newcrest Min Last Sale Price $12.97,
NCMWOV,,12.00,24/09/15,4:1,.305,.31,,,,,
NCMWOW,,13.00,24/09/15,4:1,.425,.43,,,,,
,
Rio Tinto Last Sale Price $54.08,
RIOWOW,,58.00,24/09/15,6:1,1.18,1.185,.93,,,,
RIOWOV,,62.00,24/09/15,6:1,1.665,1.67,,,,,
,
Telstra Corp Last Sale Price $6.20,
TLSWOW,,6.00,24/09/15,2:1,.14,.145,.145,,,,
TLSWOV,,6.30,24/09/15,2:1,.22,.225,,,,,
,
Westpac Banking Last Sale Price $33.01,
WBCWOW,,35.00,24/09/15,4:1,.725,.73,.985,,,,
WBCWOV,,37.00,24/09/15,4:1,1.08,1.085,1.09,,,,
,
Basket Call Warrants,
Equity Endowment Warrants,
Equity Installment Warrants,
Adelaide Brighton Last Sale Price $4.42,
ABCSSO,,4.27,28/06/16,1:1,.43,.49,,,,,
,
Aust Foundation Last Sale Price $6.18,
AFISZB,,2.19,30/06/16,1:1,3.97,,3.85,,,,
AFIJOH,b,3.61,12/12/17,1:1,2.57,2.58,2.56,+1,147,,
,
AGL Energy Last Sale Price $15.82,
AGLSS3,,14.57,29/06/15,1:1,1.22,1.23,1.90,,,,
AGLSS1,,15.00,30/06/15,1:1,.80,.81,.935,,,,
AGLISZ,,14.65,21/09/15,1:1,1.585,1.595,,,,,
AGLIOV,,8.79,15/12/15,1:1,7.35,7.36,7.42,,,,
AGLIYA,,7.84,22/03/16,1:1,8.25,8.28,8.62,,,,
AGLIYB,,10.55,22/03/16,1:1,5.67,5.70,5.63,-41,3,,
AGLISA,,15.65,31/03/16,1:1,1.845,1.855,1.925,,478,,
AGLISI,,7.20,08/06/16,1:1,8.90,8.91,,,,,
AGLSSA,,8.45,08/06/16,1:1,7.79,7.80,6.70,,,,
AGLSSW,,18.02,15/06/16,1:1,1.18,1.405,,,,,
AGLIYE,,7.65,21/06/16,1:1,8.57,8.59,8.63,,,,
AGLIYF,,9.78,21/06/16,1:1,6.58,6.60,6.10,,,,
AGLSOB,,12.71,23/06/16,1:1,4.22,,,,,,
AGLSSR,,6.06,24/06/16,1:1,10.06,10.07,9.74,,,,
AGLSWG,,4.84,30/06/16,1:1,11.09,11.11,10.57,,,,
AGLSSM,,15.57,30/06/16,1:1,1.24,1.25,,,,,
AGLJOC,b,8.71,22/06/17,1:1,7.10,7.11,6.89,,,,
AGLSZC,,5.83,30/06/17,1:1,9.95,,8.05,,,,
AGLSMY,,9.75,30/06/17,1:1,6.06,,5.22,,,,
AGLSZX,b,7.34,04/02/19,1:1,8.44,,9.12,,,,
AGLJOQ,b,7.81,30/05/19,1:1,8.00,8.01,,,,,
AGLJOP,b,9.89,30/05/19,1:1,5.92,5.93,5.91,,,,
AGLSO1,b,7.48,06/12/19,1:1,8.33,8.34,8.10,,,,
AGLSWR,,8.15,30/06/20,1:1,9.00,9.01,8.80,,,,
AGLSRU,b,5.80,06/08/21,1:1,9.98,,9.56,,,,
AGLSRT,b,7.34,06/08/21,1:1,8.44,,7.64,,,,
,
Atlas Iron Last Sale Price $0.12,
AGOSWG,,1.67,30/06/16,1:1,,,.05,,,,
,
Asciano Last Sale Price $6.52,
AIOSS3,,5.60,29/06/15,1:1,.915,.935,,,,,
AIOSSB,,11.80,30/06/15,1:1,,,.98,,,,
AIOIOV,,3.85,15/12/15,1:1,2.83,2.84,,,,,
AIOISI,,3.05,08/06/16,1:1,3.60,3.62,,,,,
AIOSSA,,3.64,08/06/16,1:1,3.08,3.10,,,,,
AIOSZC,,33.71,30/06/17,1:1,1.67,,3.68,,,,
AIOSZW,b,1.99,04/02/19,1:1,4.52,,1.07,,,,
AIOSZX,b,2.88,04/02/19,1:1,3.62,,1.97,,,,
AIOSWR,,3.62,30/06/20,1:1,3.76,3.78,,,,,
AIOSRX,b,2.40,06/08/21,1:1,4.11,,4.10,,,,
,
Aristocrat Leisure Last Sale Price $7.66,
ALLIOV,,3.10,15/12/15,1:1,4.69,4.70,2.91,,,,
