Warrant Market - Weekly,,,,,,,,,,,,
XAO 4439.4 at 16:38 25/6/2010  Report at 19:06 Friday 25/6/2010. Processed 21:05 Sunday 27/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.43,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.05,0.055,0.07,-1.2,210,,,,
AMPWOB,6.50,23/09/10,3:1,0.025,0.03,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.47,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.135,0.16,-,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.455,0.46,0.43,-15,461,,,,
ANZWOH,24.50,23/09/10,4:1,0.235,0.24,0.23,-9.5,1767,,,,
ANZWMH,26.00,23/09/10,4:1,0.13,0.135,0.175,-2,280,,,,
ANZWOI,26.50,23/09/10,4:1,0.11,0.115,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.055,0.058,0.095,-,-,,,,
ASX Ltd Last Sale Price $29.70,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.165,0.17,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.036,0.039,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.47,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,33,,,,
BHP Billiton Ltd Last Sale Price $38.80,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.235,0.26,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.265,1.27,1.175,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.825,0.83,0.70,-,-,,,,
BHPWOE,39.50,26/08/10,4:1,0.515,0.52,0.505,-12.5,4680,,,,
BHPWOF,41.00,26/08/10,4:1,0.365,0.37,0.49,20,550,,,,
BHPWON,43.00,26/08/10,4:1,0.21,0.215,0.20,-1,4220,,,,
BHPWOO,45.00,26/08/10,4:1,0.12,0.125,0.165,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.059,0.064,0.062,-2.5,1340,,,,
BHPUMH,34.00,23/09/10,4:1,1.545,1.55,1.665,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.9,0.905,1.10,8.5,165,,,,
BHPUMJ,42.00,23/09/10,4:1,0.41,0.415,0.33,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.15,0.155,0.17,-1.5,1015,,,,
BHPWMI,48.00,23/09/10,4:1,0.095,0.1,0.11,-3,16150,,,,
BlueScope Steel Last Sale Price $2.21,,,,,,,,,,,,
BSLWOE,2.65,26/08/10,2:1,0.035,0.04,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.021,0.026,-,-,-,,,,
BSLUMB,2.50,28/10/10,1:1,0.15,0.155,-,-,-,,,,
Brambles Ltd Last Sale Price $5.77,,,,,,,,,,,,
BXBWOC,7.25,26/08/10,3:1,0.023,0.028,0.036,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.014,0.019,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $50.00,,,,,,,,,,,,
CBAVZC,54.00,28/07/10,5:1,0.195,0.22,-,-,-,,,,
CBAUMG,50.00,23/09/10,4:1,0.885,0.89,1.08,-4,200,,,,
CBAUMH,53.00,23/09/10,4:1,0.575,0.58,0.585,-41.5,1367,,,,
CBAWOG,54.00,23/09/10,5:1,0.275,0.28,0.28,-24,617,,,,
CBAUMI,55.00,23/09/10,4:1,0.33,0.335,-,-,-,,,,
CBAWOH,56.50,23/09/10,5:1,0.165,0.17,0.355,-,-,,,,
CBAWMI,57.00,23/09/10,4:1,0.29,0.295,0.56,-,-,,,,
CBAWMH,58.00,23/09/10,4:1,0.18,0.185,0.23,-14,790,,,,
CBAWOI,59.00,23/09/10,5:1,0.09,0.095,0.14,-10.5,120,,,,
Computershare Ltd Last Sale Price $10.83,,,,,,,,,,,,
CPUUMB,11.50,23/09/10,1:1,0.555,0.56,-,-,-,,,,
CSL Ltd Last Sale Price $32.57,,,,,,,,,,,,
CSLUMB,34.00,23/09/10,4:1,0.37,0.375,0.55,4.5,100,,,,
CSLUMC,37.00,23/09/10,4:1,0.125,0.13,-,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.36,,,,,,,,,,,,
FMGUMB,4.50,23/09/10,1:1,0.49,0.495,0.495,9,210,,,,
Incitec Pivot Last Sale Price $2.90,,,,,,,,,,,,
IPLUMC,3.00,23/09/10,1:1,0.22,0.225,0.215,-10,245,,,,
Macq Grp Ltd Last Sale Price $39.50,,,,,,,,,,,,
MQGVZM,48.00,28/07/10,5:1,0.061,0.066,-,-,-,,,,
MQGWOB,50.00,23/09/10,6:1,0.11,0.115,0.105,-24,3017,,,,
MQGWOC,57.50,23/09/10,6:1,0.027,0.032,0.03,-7,200,,,,
National Aust Bank Last Sale Price $23.80,,,,,,,,,,,,
NABVZD,27.00,28/07/10,4:1,0.059,0.064,-,-,-,,,,
NABWOG,26.00,23/09/10,4:1,0.195,0.2,0.30,-5,1960,,,,
NABWOH,28.00,23/09/10,4:1,0.085,0.09,0.17,-,-,,,,
NABWOI,30.50,23/09/10,4:1,0.03,0.035,-,-,-,,,,
NABWSA,0.00,25/03/20,1:1,-,-,23.94,-,71,,,,
Newcrest Min Last Sale Price $36.00,,,,,,,,,,,,
NCMVZG,36.00,28/07/10,4:1,0.49,0.515,-,-,-,,,,
NCMWOA,34.00,26/08/10,4:1,0.9,0.905,0.78,17,400,,,,
NCMWOB,36.50,26/08/10,4:1,0.57,0.575,0.52,-0.5,350,,,,
NCMWOH,40.00,26/08/10,4:1,0.275,0.28,-,-,-,,,,
News Corp Last Sale Price $17.15,,,,,,,,,,,,
NWSUMC,18.00,23/09/10,4:1,0.26,0.265,0.335,-,400,,,,
NWSUMD,20.00,23/09/10,4:1,0.105,0.11,0.145,-,6250,,,,
Orica Ltd Last Sale Price $25.11,,,,,,,,,,,,
ORIUMB,27.00,23/09/10,4:1,0.2,0.205,0.255,-16.5,398,,,,
Oil Search Ltd Last Sale Price $5.70,,,,,,,,,,,,
OSHUMB,5.75,23/09/10,1:1,0.33,0.34,-,-,-,,,,
Paladin Energy Last Sale Price $3.76,,,,,,,,,,,,
PDNUMB,4.00,23/09/10,1:1,0.345,0.355,-,-,-,,,,
Qantas Airways Last Sale Price $2.33,,,,,,,,,,,,
QANUMD,2.50,23/09/10,1:1,0.135,0.14,0.16,-,56,,,,
QANUMC,2.75,23/09/10,1:1,0.061,0.064,0.12,-,-,,,,
QBE Insurance Grp Last Sale Price $18.35,,,,,,,,,,,,
QBEUME,20.00,23/09/10,4:1,0.135,0.14,0.155,-4,66,,,,
QBEUMD,21.00,23/09/10,4:1,0.077,0.08,0.078,-5.7,4150,,,,
QBEWOB,22.50,23/09/10,4:1,0.036,0.041,0.058,-,-,,,,
QBEWOC,24.50,23/09/10,4:1,0.016,0.021,-,-,-,,,,
Rio Tinto Ltd Last Sale Price $69.60,,,,,,,,,,,,
RIOVZH,75.00,28/07/10,6:1,0.36,0.385,-,-,-,,,,
RIOWOA,70.00,26/08/10,6:1,0.73,0.74,0.815,-8,150,,,,
RIOWOB,77.50,26/08/10,6:1,0.31,0.315,0.565,11.5,80,,,,
RIOWOG,82.50,26/08/10,6:1,0.175,0.18,0.18,-12,228,,,,
RIOUMI,63.00,23/09/10,4:1,2.46,2.47,2.69,-,-,,,,
RIOUMJ,65.00,23/09/10,4:1,2.23,2.24,2.20,-,-,,,,
RIOUMK,68.00,23/09/10,4:1,1.685,1.69,1.76,-,130,,,,
RIOUML,72.00,23/09/10,4:1,1.165,1.17,1.265,-25.5,880,,,,
RIOUMM,80.00,23/09/10,4:1,0.635,0.64,0.64,-18,200,,,,
RIOWMH,95.00,23/09/10,4:1,0.115,0.12,0.19,-,-,,,,
RIOWMI,100.00,23/09/10,4:1,0.066,0.069,0.07,-4,473,,,,
Santos Ltd Last Sale Price $12.70,,,,,,,,,,,,
STOWOC,13.50,26/08/10,4:1,0.14,0.145,0.185,4.5,170,,,,
STOWOD,15.00,26/08/10,4:1,0.065,0.07,-,-,-,,,,
STOUMC,13.00,23/09/10,4:1,0.235,0.24,0.25,-13.5,3020,,,,
STOUMD,14.00,23/09/10,4:1,0.13,0.135,-,-,-,,,,
Suncorp-Metway Last Sale Price $8.14,,,,,,,,,,,,
SUNUMC,8.00,23/09/10,4:1,0.16,0.165,-,-,-,,,,
Ten Network Hldgs Last Sale Price $1.60,,,,,,,,,,,,
TENWMH,1.75,23/09/10,1:1,0.105,0.11,-,-,-,,,,
Telstra Corp Last Sale Price $3.30,,,,,,,,,,,,
TLSWOE,3.10,26/08/10,2:1,0.115,0.12,0.11,-,700,,,,
TLSWOF,3.35,26/08/10,2:1,0.06,0.065,-,-,-,,,,
TLSUMD,2.92,23/09/10,1:1,0.445,0.45,0.24,-,-,,,,
TLSUMF,3.15,23/09/10,1:1,0.25,0.255,-,-,-,,,,
TLSWMH,3.24,23/09/10,1:1,0.195,0.2,0.11,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.086,0.091,0.076,-,-,,,,
Toll Hldgs Ltd Last Sale Price $5.56,,,,,,,,,,,,
TOLUMC,7.00,23/09/10,1:1,0.047,-,0.145,-,-,,,,
Westpac Banking Last Sale Price $21.75,,,,,,,,,,,,
WBCVZF,25.00,28/07/10,4:1,0.051,0.056,-,-,-,,,,
WBCUMG,22.00,23/09/10,4:1,0.4,0.405,0.40,-20.5,448,,,,
WBCUMH,24.00,23/09/10,4:1,0.21,0.215,0.425,-,-,,,,
WBCWOH,24.50,23/09/10,4:1,0.165,0.17,0.225,-3.5,63,,,,
