Warrants Market,,,,,,,,,,,,,,,,,,,,
Friday, March 1, 2013.,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, March 1, 2013. Processed Monday at 2013-03-04T12:10:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $28.62,
ANZVRI,24.00,27/03/13,4:1,1.17,1.18,-,-,-,,
ANZVRK,27.00,27/03/13,4:1,.465,.475,-,-,-,,
ANZVMC,28.50,27/03/13,4:1,.195,.22,.245,-,-,,
ANZVRE,26.00,23/04/13,4:1,.745,.75,-,-,-,,
ANZWOJ,27.00,23/04/13,4:1,.55,.555,.54,-5,90,,
ANZWOI,29.00,23/04/13,4:1,.245,.25,.88,-,-,,
ANZVRF,29.00,30/05/13,4:1,.245,.25,.265,-,580,,
,
BHP Billiton Last Sale Price $36.84,
BHPVMC,34.50,27/03/13,4:1,.53,-,.80,-,-,,
BHPVRF,37.00,27/03/13,4:1,.17,.175,.505,-,-,,
BHPVRG,40.00,27/03/13,4:1,.001,-,.051,-,-,,
BHPVRI,36.00,23/04/13,4:1,.405,.415,.40,-42,427,,
BHPVRH,38.00,23/04/13,4:1,.19,.195,-,-,-,,
BHPWON,38.00,23/04/13,4:1,.295,.30,.32,-30,200,,
BHPWOO,40.00,23/04/13,4:1,.12,.125,.12,-1.5,453,,
BHPWOM,42.00,23/04/13,4:1,.049,.054,-,-,-,,
BHPVRJ,39.00,30/05/13,4:1,.215,.22,-,-,-,,
BHPVRK,41.00,30/05/13,4:1,.105,.11,-,-,-,,
,
Brambles Last Sale Price $8.81,
BXBVMB,8.22,27/03/13,2:1,.27,.295,-,-,-,,
,
C'wlth Bank of Aust Last Sale Price $67.85,
CBAWCA,58.00,27/03/13,4:1,2.47,2.48,-,-,-,,
CBAWCB,60.00,27/03/13,4:1,1.975,1.98,1.035,-,-,,
CBAWCC,62.00,27/03/13,4:1,1.485,1.49,-,-,-,,
CBAWRC,63.00,27/03/13,4:1,1.275,1.30,-,-,-,,
CBAVMC,64.50,27/03/13,4:1,.96,.985,.49,-11.5,320,,
CBAWRD,65.00,27/03/13,4:1,.78,-,.505,-12.5,200,,
CBAVRE,64.00,23/04/13,4:1,1.20,1.22,.955,-,-,,
CBAWOJ,65.00,23/04/13,5:1,.845,.85,-,-,-,,
CBAWOI,68.00,23/04/13,5:1,.495,.50,.575,-,-,,
CBAVRF,67.00,30/05/13,4:1,.865,.885,-,-,-,,
,
Fortescue Metals Grp Last Sale Price $4.53,
FMGVMB,4.40,27/03/13,2:1,.14,.17,.255,-,-,,
FMGWRD,4.50,27/03/13,2:1,.14,.14,-,-,-,,
FMGWRC,5.00,27/03/13,2:1,.04,.039,.054,-8.1,525,,
FMGWOJ,5.00,23/04/13,3:1,.088,.093,.165,-,-,,
FMGWOI,5.50,23/04/13,3:1,.048,.053,-,-,-,,
FMGVRG,6.00,23/04/13,2:1,.018,.03,-,-,-,,
FMGVRA,5.50,30/05/13,2:1,.076,.074,-,-,-,,
,
Iluka Res Last Sale Price $10.13,
ILUWRF,9.50,27/03/13,3:1,.32,.32,-,-,-,,
