Warrant Market - Weekly,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:06 Friday 3/9/2010. Processed 12:08 Sunday 5/9/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.72,,,,,,,,,,,,
AIOWMA,1.80,27/01/11,1:1,0.16,0.17,-,-,-,,,,
AMP Ltd Last Sale Price $5.21,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.035,0.045,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.005,0.015,0.005,-,1000,,,,
AMPWOC,5.75,25/11/10,3:1,0.041,0.046,-,-,-,,,,
AMPWOD,6.25,25/11/10,3:1,0.021,0.026,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.29,,,,,,,,,,,,
ANZVMB,20.00,23/09/10,4:1,0.85,0.855,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.4,0.405,0.39,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.32,0.325,0.295,10.5,5920,,,,
ANZVMD,24.00,23/09/10,4:1,0.093,0.098,0.096,2.7,90,,,,
ANZVZF,24.00,23/09/10,4:1,0.056,0.065,0.155,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.062,0.072,0.056,1.5,2000,,,,
ANZWMH,26.00,23/09/10,4:1,0.006,-,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.009,0.019,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.001,-,0.001,-0.6,550,,,,
ANZVZG,23.00,28/10/10,4:1,0.29,0.32,-,-,-,,,,
ANZWOJ,22.00,25/11/10,4:1,0.495,0.5,-,-,-,,,,
ANZWOK,23.50,25/11/10,4:1,0.285,0.29,-,-,-,,,,
ANZWOL,25.00,25/11/10,4:1,0.15,0.155,-,-,-,,,,
ANZWOM,26.50,25/11/10,4:1,0.072,0.077,-,-,-,,,,
ANZVMF,21.00,27/01/11,4:1,0.81,0.815,-,-,-,,,,
ANZVMG,23.00,27/01/11,4:1,0.5,0.505,-,-,-,,,,
ANZVMH,25.00,27/01/11,4:1,0.27,0.285,0.47,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.2,0.205,0.175,-,-,,,,
ANZUMA,22.00,24/03/11,4:1,0.725,0.75,-,-,-,,,,
ANZUMB,24.00,24/03/11,4:1,0.48,0.485,-,-,-,,,,
ASX Ltd Last Sale Price $29.36,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.008,-,0.086,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.001,-,0.086,-,-,,,,
ASXUMD,31.00,24/03/11,4:1,0.435,0.445,-,-,-,,,,
Alumina Ltd Last Sale Price $1.81,,,,,,,,,,,,
AWCWMA,1.80,27/01/11,1:1,0.255,0.26,-,-,-,,,,
AWE Ltd Last Sale Price $1.63,,,,,,,,,,,,
AWEWMA,1.75,24/03/11,1:1,0.25,0.255,0.255,-,1500,,,,
AXA Asia Pacific Last Sale Price $5.75,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.33,,,,,,,,,,,,
BHPUMH,34.00,23/09/10,4:1,1.08,1.18,1.11,8,80,,,,
BHPUMI,38.00,23/09/10,4:1,0.26,0.27,0.28,8.5,4638,,,,
BHPVMF,40.00,23/09/10,4:1,0.085,0.089,0.097,3.7,5517,,,,
BHPVZH,40.00,23/09/10,4:1,0.054,0.078,0.066,-0.6,700,,,,
BHPUMJ,42.00,23/09/10,4:1,0.018,0.02,0.02,-3.5,345,,,,
BHPVMG,44.00,23/09/10,4:1,0.001,-,0.065,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.001,-,0.091,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.001,-,0.06,-,-,,,,
BHPWOA,36.00,28/10/10,4:1,0.81,0.815,0.81,13.5,1192,,,,
BHPVZI,38.00,28/10/10,4:1,0.375,0.415,0.26,-,100,,,,
BHPWOB,38.00,28/10/10,4:1,0.495,0.5,0.43,4,1552,,,,
BHPWOG,40.00,28/10/10,4:1,0.27,0.275,0.295,8,1010,,,,
BHPWOH,42.00,28/10/10,4:1,0.13,0.135,0.115,1.5,850,,,,
BHPWOI,44.00,28/10/10,4:1,0.059,0.064,0.11,-,-,,,,
