Warrant Market - Weekly,,,,,,,,,,,,
XAO 4414.5 at 16:35 9/7/2010  Report at 19:06 Friday 9/7/2010. Processed 18:29 Sunday 11/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.31,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.035,0.04,0.07,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.018,0.023,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.39,,,,,,,,,,,,
ANZVZD,24.00,28/07/10,4:1,0.078,0.092,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.795,0.8,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.455,0.46,0.445,16.5,655,,,,
ANZWOG,22.50,23/09/10,4:1,0.375,0.38,0.355,4.5,350,,,,
ANZVMD,24.00,23/09/10,4:1,0.225,0.23,-,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.17,0.175,0.17,7.9,5597,,,,
ANZWMH,26.00,23/09/10,4:1,0.091,0.094,0.079,3.7,1490,,,,
ANZWOI,26.50,23/09/10,4:1,0.068,0.073,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.031,-,0.095,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.965,0.97,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.66,0.665,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.44,0.445,-,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.27,0.275,0.175,-3,100,,,,
ASX Ltd Last Sale Price $29.03,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.091,0.094,0.086,-,600,,,,
ASXUMC,35.00,23/09/10,4:1,0.012,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.33,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $38.43,,,,,,,,,,,,
BHPVZF,42.00,28/07/10,4:1,0.105,0.135,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.1,1.105,0.93,-24.5,100,,,,
BHPWOD,37.50,26/08/10,4:1,0.665,0.67,0.605,7.5,150,,,,
BHPWOE,39.50,26/08/10,4:1,0.375,0.38,0.37,8,15768,,,,
BHPWOF,41.00,26/08/10,4:1,0.25,0.255,0.195,-0.5,600,,,,
BHPWON,43.00,26/08/10,4:1,0.13,0.135,0.13,3.1,1158,,,,
BHPWOO,45.00,26/08/10,4:1,0.061,0.066,0.115,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,0.028,0.051,0.025,-0.5,200,,,,
BHPUMH,34.00,23/09/10,4:1,1.4,1.41,1.385,-,-,,,,
BHPUMI,38.00,23/09/10,4:1,0.75,0.755,0.73,12.5,452,,,,
BHPVMF,40.00,23/09/10,4:1,0.465,0.475,0.455,13.5,100,,,,
BHPUMJ,42.00,23/09/10,4:1,0.305,0.31,0.30,7,1400,,,,
BHPVMG,44.00,23/09/10,4:1,0.185,0.19,0.18,-,1600,,,,
BHPWMH,46.00,23/09/10,4:1,0.105,0.11,0.105,2.4,2260,,,,
BHPWMI,48.00,23/09/10,4:1,0.058,0.061,0.056,1.3,2130,,,,
BHPVMH,40.00,27/01/11,4:1,0.94,0.95,-,-,-,,,,
BHPVMI,42.00,27/01/11,4:1,0.735,0.745,-,-,-,,,,
BHPVMJ,44.00,27/01/11,4:1,0.58,0.59,-,-,-,,,,
BHPVMK,46.00,27/01/11,4:1,0.45,0.455,0.425,-,45,,,,
BlueScope Steel Last Sale Price $2.19,,,,,,,,,,,,
BSLWOE,2.65,26/08/10,2:1,0.025,0.03,-,-,-,,,,
BSLWOF,2.90,26/08/10,2:1,0.015,0.02,-,-,-,,,,
BSLUMB,2.50,28/10/10,1:1,0.125,0.135,-,-,-,,,,
Brambles Ltd Last Sale Price $5.56,,,,,,,,,,,,
BXBWOC,7.25,26/08/10,3:1,0.013,0.023,0.036,-,-,,,,
BXBWOD,7.75,26/08/10,3:1,0.011,0.021,-,-,-,,,,
BXBVME,5.00,23/09/10,1:1,0.785,0.8,-,-,-,,,,
