Warrant Market - Weekly,,,,,,,,,,,,
XAO 4462.1 at 16:37 20/8/2010  Report at 19:06 Friday 20/8/2010. Processed 18:39 Sunday 22/8/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $4.95,,,,,,,,,,,,
AMPWOB,5.25,23/09/10,3:1,0.026,0.031,-,-,-,,,,
AMPWOA,6.00,23/09/10,3:1,0.005,0.01,0.03,-,-,,,,
AMPWOC,5.75,25/11/10,3:1,0.031,0.036,-,-,-,,,,
AMPWOD,6.25,25/11/10,3:1,0.017,0.022,-,-,-,,,,
ANZ Banking Grp Last Sale Price $22.78,,,,,,,,,,,,
ANZVZE,24.00,25/08/10,4:1,0.021,0.04,-,-,-,,,,
ANZVMB,20.00,23/09/10,4:1,0.76,0.77,-,-,-,,,,
ANZVMC,22.00,23/09/10,4:1,0.36,0.37,0.39,-6.5,2000,,,,
ANZWOG,22.50,23/09/10,4:1,0.21,0.295,0.265,7.5,5727,,,,
ANZVMD,24.00,23/09/10,4:1,0.115,0.12,-,-,-,,,,
ANZVZF,24.00,23/09/10,4:1,0.053,0.062,0.155,-,-,,,,
ANZWOH,24.50,23/09/10,4:1,0.079,0.084,0.08,2.6,6121,,,,
ANZWMH,26.00,23/09/10,4:1,0.021,-,0.079,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.019,0.024,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.001,-,0.007,-,-,,,,
ANZWOJ,22.00,25/11/10,4:1,0.45,0.455,-,-,-,,,,
ANZWOK,23.50,25/11/10,4:1,0.26,0.265,-,-,-,,,,
ANZWOL,25.00,25/11/10,4:1,0.14,0.145,-,-,-,,,,
ANZWOM,26.50,25/11/10,4:1,0.07,0.075,-,-,-,,,,
ANZVMF,20.00,27/01/11,4:1,0.94,0.95,-,-,-,,,,
ANZVMG,22.00,27/01/11,4:1,0.615,0.625,-,-,-,,,,
ANZVMH,24.00,27/01/11,4:1,0.37,0.375,0.47,-,-,,,,
ANZVMI,26.00,27/01/11,4:1,0.21,0.215,0.175,-,-,,,,
ASX Ltd Last Sale Price $30.49,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.042,-,0.086,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.001,-,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.32,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,5.47,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.90,,,,,,,,,,,,
BHPVZG,40.00,25/08/10,4:1,0.04,0.054,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,0.72,0.74,1.225,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.21,0.225,0.275,-43,1843,,,,
BHPWOE,39.50,26/08/10,4:1,0.035,0.045,0.042,-28.8,3450,,,,
BHPWOF,41.00,26/08/10,4:1,0.007,0.017,0.11,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.005,0.015,0.135,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,-,0.011,0.058,-,-,,,,
BHPVOA,47.50,26/08/10,4:1,-,0.011,0.02,-,-,,,,
BHPUMH,34.00,23/09/10,4:1,1.045,1.07,1.03,-66,134,,,,
BHPUMI,38.00,23/09/10,4:1,0.33,0.345,0.315,-64.5,5030,,,,
BHPVMF,40.00,23/09/10,4:1,0.135,0.145,0.145,-26,1507,,,,
BHPVZH,40.00,23/09/10,4:1,0.091,0.11,0.115,-25.5,896,,,,
BHPUMJ,42.00,23/09/10,4:1,0.042,0.047,0.055,-15.5,835,,,,
BHPVMG,44.00,23/09/10,4:1,0.008,-,0.065,-0.8,2620,,,,
BHPWMH,46.00,23/09/10,4:1,0.001,-,0.091,-,-,,,,
BHPWMI,48.00,23/09/10,4:1,0.001,-,0.06,-,-,,,,
BHPWOA,36.00,28/10/10,4:1,0.795,0.8,0.85,-27.5,200,,,,
BHPWOB,38.00,28/10/10,4:1,0.48,0.5,0.52,-25,6420,,,,
