Warrant Market - Weekly,,,,,,,,,,,,
XAO 4754.5 at 16:47 9/10/2009  Report at 19:06 Friday 9/10/2009. Processed 16:03 Sunday 11/10/2009.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.79,,,,,,,,,,,,
AMPWMK,5.50,29/10/09,3:1,0.44,-,0.105,-,-,,,,
AMPWML,6.00,29/10/09,3:1,0.26,0.295,0.185,6,830,,,,
AMPWMM,6.50,26/11/09,3:1,0.215,0.24,0.175,2.5,100,,,,
AMPWOF,6.25,17/12/09,3:1,0.265,0.27,0.17,-,-,,,,
AMPWOE,6.75,17/12/09,3:1,0.175,0.18,-,-,-,,,,
AMPWOA,6.00,25/02/10,3:1,0.395,0.4,0.34,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.235,0.24,-,-,-,,,,
ANZ Banking Grp Last Sale Price $24.62,,,,,,,,,,,,
ANZWZA,23.00,29/10/09,4:1,0.475,0.505,0.555,5,432
ANZVZO,24.00,29/10/09,4:1,0.42,0.84,1.335,-,-
ANZWWB,10.55,30/10/09,.96:1,14.04,-,9.14,-,-
ANZWMA,20.00,26/11/09,3:1,1.54,-,1.655,-,-
ANZWMF,22.00,26/11/09,3:1,0.95,1.01,0.71,-,-
ANZWZD,22.00,26/11/09,4:1,0.66,0.685,0.715,18,1003
ANZWZC,25.00,26/11/09,4:1,0.34,0.76,1.50,-,-
ANZWOG,17.00,17/12/09,4:1,1.85,1.87,1.755,-,-
ANZWOI,21.00,17/12/09,4:1,0.9,0.91,0.925,19,1006
ANZWOH,23.00,17/12/09,4:1,0.54,0.545,0.325,-7,400
ANZWZE,24.00,17/12/09,4:1,0.435,0.46,0.31,-12,242
ANZWOK,24.50,25/02/10,4:1,0.54,0.545,0.36,-5.5,350
ANZWOL,26.50,25/02/10,4:1,0.33,0.335,0.36,13,3525
ANZWOJ,28.50,25/02/10,4:1,0.2,0.205,0.21,-,-
ASX Ltd Last Sale Price $35.46,,,,,,,,
ASXWMC,35.00,26/11/09,4:1,0.57,0.66,0.485,-,-
ASXWMD,40.00,26/11/09,4:1,0.13,0.165,0.245,-,-
Billabong Intl Last Sale Price $11.72,,,,,,,,
BBGWMB,11.00,26/11/09,2:1,0.71,0.785,-,-,-
BHP Billiton Ltd Last Sale Price $37.85,,,,,,,,
BHPVZJ,40.00,29/10/09,4:1,0.2,0.23,0.22,-5,630
BHPVZI,42.00,29/10/09,4:1,0.091,0.105,0.097,-2.3,538
BHPWMG,37.00,26/11/09,4:1,0.745,0.8,0.815,2,50
BHPVZK,38.00,26/11/09,4:1,0.675,0.705,0.74,-6,50
BHPWME,40.00,26/11/09,4:1,0.395,0.435,0.425,11,7140
BHPWMF,42.00,26/11/09,4:1,0.245,0.275,0.275,8.5,2438
BHPVZL,45.00,26/11/09,4:1,0.27,0.3,-,-,-
BHPVZN,34.00,17/12/09,4:1,1.515,1.545,-,-,-
BHPWON,35.00,17/12/09,4:1,1.055,1.06,1.12,-6,100
BHPVZM,36.00,17/12/09,4:1,1.23,1.26,-,-,-
BHPWOO,37.50,17/12/09,4:1,0.685,1.05,0.72,17.5,402
BHPVOA,40.00,17/12/09,4:1,0.41,0.415,0.32,-,-
BHPVOB,42.50,17/12/09,4:1,0.25,0.255,0.27,6,2950
BHPVZO,44.00,28/01/10,4:1,0.635,0.665,-,-,-
BHPWOC,37.00,25/02/10,4:1,1.035,1.04,1.045,7.5,100
BHPWOD,39.00,25/02/10,4:1,0.795,0.8,0.83,-3.5,100
BHPWOE,41.00,25/02/10,4:1,0.61,0.615,-,-,-
BHPWOF,43.00,25/02/10,4:1,0.455,0.46,-,-,-
BHPVOC,45.00,25/02/10,4:1,0.345,0.35,0.305,3,430
BlueScope Steel Last Sale Price $3.00,,,,,,,,
BSLWMC,3.50,26/11/09,1:1,0.082,0.09,0.14,-,-
BSLWOE,3.00,17/12/09,2:1,0.145,0.15,-,-,-
BSLWOF,3.50,17/12/09,2:1,0.057,0.062,0.058,-,-
Brambles Ltd Last Sale Price $7.10,,,,,,,,
BXBWOC,7.50,29/10/09,3:1,0.067,0.25,0.052,-17.8,1100
BXBWMA,7.50,26/11/09,2:1,0.205,0.215,0.465,-,-
C'wlth Bank  of Aust  Last Sale Price $53.16,,,,,,,,
CBAVZD,52.00,29/10/09,5:1,0.715,0.745,1.04,-,-
CBAVZE,54.00,29/10/09,5:1,0.52,0.55,1.22,-,-
CBAWWB,18.00,30/10/09,1:1,35.34,-,29.26,-,-
CBAWMC,46.00,26/11/09,5:1,1.565,1.665,-,-,-
CBAVZF,48.00,26/11/09,5:1,1.275,1.305,0.865,12,51
CBAWMD,48.00,26/11/09,5:1,1.235,1.33,1.265,42,1000
CBAVZG,55.00,26/11/09,5:1,0.62,0.65,1.085,-,-
CBAVZH,46.00,17/12/09,5:1,1.79,1.82,-,-,-
CBAWOH,47.50,17/12/09,5:1,1.42,1.43,1.42,50,60
CBAWOI,50.00,17/12/09,5:1,1.035,1.04,0.98,34.5,840
CBAVZI,52.00,17/12/09,5:1,1.055,1.08,0.74,-,-
CBAWOG,53.00,17/12/09,5:1,0.665,0.67,1.37,-,-
CBAVZJ,50.00,28/01/10,5:1,1.525,1.555,-,-,-
CBAWOK,49.00,25/02/10,5:1,1.335,1.34,-,-,-
CBAWOL,51.00,25/02/10,5:1,1.09,1.095,-,-,-
CBAWOJ,54.00,25/02/10,5:1,0.775,0.78,-,-,-
Computershare Ltd Last Sale Price $11.10,,,,,,,,
CPUWMB,10.50,26/11/09,2:1,0.52,0.555,-,-,-
CSL Ltd Last Sale Price $31.82,,,,,,,,
CSLVZN,35.00,29/10/09,4:1,0.006,0.15,0.08,-,-
CSLVZO,34.00,26/11/09,4:1,0.255,0.28,0.615,-,-
CSLWMA,34.00,26/11/09,4:1,0.24,0.265,0.26,-17,1590
CSLWZA,36.00,17/12/09,4:1,0.145,0.25,0.155,-20,827
