Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, September 28, 2012. Processed Saturday at 2012-09-29T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $24.75,
ANZWMC,,22.50,25/10/12,4:1,.575,.615,,,,,
ANZWRA,,23.00,25/10/12,4:1,.47,.475,,,,,
ANZWMD,,24.00,25/10/12,4:1,.26,.285,.20,,,,
ANZWOA,,24.50,25/10/12,4:1,.245,.25,,,,,
ANZWRB,,24.50,25/10/12,4:1,.165,.175,,,,,
ANZWOB,,26.50,25/10/12,4:1,.054,.059,,,,,
ANZWME,,23.00,29/11/12,4:1,.38,,,,,,
ANZVRN,,23.50,29/11/12,4:1,.275,.285,,,,,
ANZWOC,,24.50,29/11/12,4:1,.26,.265,,,,,
ANZVRM,,25.00,29/11/12,4:1,.071,.073,.087,,,,
ANZWMF,,25.00,29/11/12,4:1,.095,.12,.105,-1.5,100,,
ANZWOD,,26.50,29/11/12,4:1,.093,.098,,,,,
ANZVRO,,25.50,20/12/12,4:1,.088,.09,,,,,
ANZVRA,,26.50,20/12/12,4:1,.042,.043,,,,,
,
BHP Billiton Last Sale Price $33.04,
BHPWRB,,30.00,25/10/12,4:1,.82,.825,.67,,,,
BHPWOA,,31.00,25/10/12,4:1,.69,.695,,,,,
BHPWMC,,32.00,25/10/12,4:1,.40,.425,.365,-12,1200,,
BHPWOB,,33.00,25/10/12,4:1,.355,.36,,,,,
BHPWMD,,34.00,25/10/12,4:1,.135,.16,.15,-12,1190,,
BHPWRA,,34.00,25/10/12,4:1,.11,.13,.105,-16,300,,
BHPWOC,,35.00,25/10/12,4:1,.145,.15,,,,,
BHPWOD,,31.00,29/11/12,4:1,.845,.85,,,,,
BHPVRM,,32.00,29/11/12,4:1,.53,.54,,,,,
BHPWME,,32.00,29/11/12,4:1,.54,.565,.57,,,,
BHPWOE,,33.00,29/11/12,4:1,.535,.54,.725,,,,
BHPWMF,,34.00,29/11/12,4:1,.27,.295,.275,-12.5,93,,
BHPWOF,,35.00,29/11/12,4:1,.305,.31,.44,,,,
BHPVRN,,36.00,29/11/12,4:1,.056,.059,.051,-8.4,400,,
BHPVRO,,35.00,20/12/12,4:1,.21,.215,,,,,
BHPVRA,,37.00,20/12/12,4:1,.088,.089,,,,,
,
C'wlth Bank of Aust Last Sale Price $55.77,
CBAWOA,,54.00,25/10/12,5:1,.56,.58,,,,,
CBAWMC,,54.50,25/10/12,4:1,.45,.475,,,,,
CBAWMD,,56.00,25/10/12,4:1,.245,.27,.24,-3.5,80,,
CBAWRA,,56.00,25/10/12,4:1,.24,.245,,,,,
CBAWOB,,57.00,25/10/12,5:1,.24,.245,,,,,
CBAWRB,,58.00,25/10/12,4:1,.087,.088,,,,,
CBAVRM,,53.00,29/11/12,4:1,.93,.94,,,,,
CBAWOC,,54.00,29/11/12,5:1,.745,.76,.745,,,,
CBAWME,,55.00,29/11/12,4:1,.575,.60,,,,,
CBAWMF,,56.50,29/11/12,4:1,.375,.40,.565,,,,
CBAVRN,,57.00,29/11/12,4:1,.30,.305,,,,,
CBAWOD,,57.00,29/11/12,5:1,.42,.435,.42,,,,
CBAVRO,,55.00,20/12/12,4:1,.645,.65,,,,,
CBAVRA,,59.00,20/12/12,4:1,.195,.20,,,,,
,
Fortescue Metals Grp Last Sale Price $3.49,
FMGWOA,,3.50,25/10/12,3:1,.11,.115,.135,-2,656,,
