Warrant Market - Weekly,,,,,,,,,,,,
XAO 4507.4 at 16:37 7/5/2010  Report at 19:06 Friday 7/5/2010. Processed 15:05 Sunday 9/5/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.60,,,,,,,,,,,,
AIOUMA,1.50,27/05/10,1:1,0.125,-,-,-,-,,,,
AMP Ltd Last Sale Price $5.76,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.001,2.01,0.066,-2.5,250,,,,
AMPWOD,6.75,27/05/10,3:1,0.001,2.01,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $21.90,,,,,,,,,,,,
ANZUMA,23.00,27/05/10,4:1,0.069,0.072,0.072,-40.8,1950,,,,
ANZUMB,25.00,27/05/10,4:1,0.003,-,0.011,-5.9,1390,,,,
ANZUMC,27.00,27/05/10,4:1,0.001,-,0.012,-,-,,,,
ANZVZB,27.50,27/05/10,4:1,0.001,-,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.125,4.01,0.175,-19.5,2970,,,,
ANZWMA,24.00,24/06/10,4:1,0.11,0.135,0.14,-10,283,,,,
ANZWOE,24.50,24/06/10,4:1,0.001,0.195,0.054,-11.6,6910,,,,
ANZWMB,26.00,24/06/10,4:1,0.015,-,0.08,-3,813,,,,
ANZWOF,26.00,24/06/10,4:1,0.001,4.01,1.11,-,-,,,,
ANZWMH,26.00,23/09/10,4:1,0.12,-,0.195,-3.5,1870,,,,
ANZWMI,28.00,23/09/10,4:1,0.071,0.086,0.185,-,-,,,,
ASX Ltd Last Sale Price $31.60,,,,,,,,,,,,
ASXUMA,34.00,27/05/10,4:1,0.018,-,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.50,,,,,,,,,,,,
BHPUMA,42.00,27/05/10,4:1,0.017,-,0.028,-24.2,910,,,,
BHPUMB,44.00,27/05/10,4:1,0.001,-,0.07,-,-,,,,
BHPVZD,45.00,27/05/10,4:1,0.004,-,-,-,-,,,,
BHPUMC,46.00,27/05/10,4:1,0.001,-,0.13,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,0.33,0.37,0.34,-71,18461,,,,
BHPWOL,41.00,24/06/10,4:1,0.18,0.185,0.185,-31.5,19222,,,,
BHPWMA,43.00,24/06/10,4:1,0.095,0.13,0.115,-19.5,4030,,,,
BHPWOM,43.00,24/06/10,4:1,0.001,0.115,0.065,-19,25872,,,,
BHPVOD,45.00,24/06/10,4:1,0.001,0.045,0.034,-11.6,1150,,,,
BHPWMB,45.00,24/06/10,4:1,0.044,0.048,0.048,-30.2,1300,,,,
BHPVOE,47.00,24/06/10,4:1,0.001,6.01,0.024,-3.3,3110,,,,
BHPWOJ,48.50,24/06/10,4:1,0.001,6.01,0.20,-,-,,,,
BHPWMH,46.00,23/09/10,4:1,0.175,0.235,0.155,-17.5,1705,,,,
BHPWMI,48.00,23/09/10,4:1,0.16,0.195,0.19,-31.5,9788,,,,
BlueScope Steel Last Sale Price $2.47,,,,,,,,,,,,
BSLUMA,3.00,27/05/10,1:1,0.001,-,-,-,-,,,,
BSLWOD,2.50,24/06/10,2:1,0.001,2.01,0.285,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.001,2.01,-,-,-,,,,
Brambles Ltd Last Sale Price $6.88,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.001,2.01,0.205,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.001,2.01,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.00,,,,,,,,,,,,
CBAUMA,55.00,27/05/10,4:1,0.24,-,0.52,-,100,,,,
CBAUMB,57.00,27/05/10,4:1,0.11,-,-,-,-,,,,
CBAVZA,58.00,27/05/10,5:1,0.038,0.04,-,-,-,,,,
CBAUMC,59.00,27/05/10,4:1,0.044,-,0.305,-2,860,,,,
CBAWOD,55.00,24/06/10,5:1,0.315,0.4,0.36,-37.5,2301,,,,
CBAWMA,56.00,24/06/10,4:1,0.36,0.45,0.40,-,950,,,,
CBAWOE,57.50,24/06/10,5:1,0.15,0.215,0.25,-23,3870,,,,
CBAWMB,58.00,24/06/10,4:1,0.21,0.275,0.23,-,700,,,,
CBAWOF,60.00,24/06/10,5:1,0.001,6.01,0.074,-16.6,2111,,,,
CBAWMH,58.00,23/09/10,4:1,0.565,0.64,0.575,-,1250,,,,
CBAWMI,60.00,23/09/10,4:1,0.42,0.49,-,-,-,,,,
Computershare Ltd Last Sale Price $11.32,,,,,,,,,,,,
CPUUMA,13.00,27/05/10,1:1,0.011,-,-,-,-,,,,
CSL Ltd Last Sale Price $33.19,,,,,,,,,,,,
CSLUMA,37.00,27/05/10,4:1,0.006,-,0.052,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.17,,,,,,,,,,,,
FMGUMA,5.00,27/05/10,1:1,0.009,-,0.355,-,-,,,,
Incitec Pivot Last Sale Price $3.04,,,,,,,,,,,,
IPLUMA,3.50,27/05/10,1:1,0.006,-,-,-,-,,,,
Lihir Gold Ltd Last Sale Price $3.90,,,,,,,,,,,,
LGLUMA,3.50,27/05/10,1:1,0.43,-,0.435,-3.5,35,,,,
LGLWOI,3.50,27/05/10,2:1,0.001,2.01,0.295,-,-,,,,
LGLWOG,3.75,27/05/10,2:1,0.001,2.01,0.15,-,-,,,,
LGLWOH,4.00,27/05/10,2:1,0.001,2.01,0.048,-2.6,500,,,,
Macq Grp Ltd Last Sale Price $45.53,,,,,,,,,,,,
MQGVZA,52.00,27/05/10,5:1,0.016,-,0.24,-,-,,,,
MQGWOD,52.50,24/06/10,6:1,0.001,6.01,0.135,-21,475,,,,
MQGWOE,60.00,24/06/10,6:1,0.001,6.01,0.16,-,-,,,,
National Aust Bank Last Sale Price $24.58,,,,,,,,,,,,
NABVZB,28.50,27/05/10,4:1,0.004,-,-,-,-,,,,
NABWOD,28.00,24/06/10,4:1,0.001,4.01,0.06,-15,12511,,,,
NABWOE,30.00,24/06/10,4:1,0.001,4.01,0.067,-2.7,2200,,,,
NABWOF,32.50,24/06/10,4:1,0.001,4.01,0.014,-,-,,,,
Newcrest Min Last Sale Price $31.49,,,,,,,,,,,,
NCMUMA,35.00,27/05/10,4:1,0.047,-,0.115,-10,300,,,,
NCMVZE,35.00,27/05/10,4:1,0.032,-,0.04,-27,100,,,,
NCMWOF,36.00,27/05/10,4:1,0.001,-,0.033,-10.7,347,,,,
NCMWOG,39.00,27/05/10,4:1,0.001,-,0.01,-2,150,,,,
News Corp Last Sale Price $18.61,,,,,,,,,,,,
NWSUMA,18.00,27/05/10,4:1,0.15,-,0.265,-24.5,7200,,,,
NWSWMA,20.00,24/06/10,4:1,0.079,-,0.11,-8,400,,,,
Orica Ltd Last Sale Price $26.30,,,,,,,,,,,,
ORIUMA,27.00,27/05/10,4:1,0.14,-,-,-,-,,,,
Oil Search Ltd Last Sale Price $5.60,,,,,,,,,,,,
OSHUMA,6.00,27/05/10,1:1,0.032,-,-,-,-,,,,
Paladin Energy Last Sale Price $3.70,,,,,,,,,,,,
PDNUMA,4.00,27/05/10,1:1,0.082,0.14,0.115,-,50,,,,
Qantas Airways Last Sale Price $2.53,,,,,,,,,,,,
QANUMA,3.00,27/05/10,1:1,0.001,-,-,-,-,,,,
QBE Insurance Grp Last Sale Price $20.51,,,,,,,,,,,,
QBEUMA,22.00,27/05/10,4:1,0.024,-,0.215,-,-,,,,
QBEWOE,23.50,27/05/10,4:1,0.001,4.01,0.028,-1.1,200,,,,
QBEUMB,24.00,27/05/10,4:1,0.001,-,-,-,-,,,,
QBEWOF,26.50,27/05/10,4:1,0.001,4.01,0.023,-,-,,,,
Rio Tinto Ltd Last Sale Price $64.98,,,,,,,,,,,,
RIOUMA,75.00,27/05/10,4:1,0.032,0.12,0.093,-42.7,8760,,,,
RIOUMB,80.00,27/05/10,4:1,0.01,-,0.165,-,-,,,,
RIOVZA,80.00,27/05/10,6:1,0.006,-,-,-,-,,,,
RIOUMC,85.00,27/05/10,4:1,0.001,-,0.18,-,-,,,,
RIOWOF,72.50,24/06/10,6:1,0.001,2.01,0.24,-55,12381,,,,
RIOWOJ,79.00,24/06/10,6:1,0.001,4.01,0.079,-21.6,1308,,,,
RIOWOK,86.00,24/06/10,6:1,0.001,4.01,0.043,-8.2,347,,,,
RIOWMA,90.00,24/06/10,4:1,0.002,-,0.009,-5.5,45,,,,
RIOWMB,95.00,24/06/10,4:1,0.002,-,-,-,-,,,,
RIOWMH,95.00,23/09/10,4:1,0.11,0.155,0.11,-67,3227,,,,
RIOWMI,100.00,23/09/10,4:1,0.11,0.125,0.145,-25,2183,,,,
Santos Ltd Last Sale Price $12.55,,,,,,,,,,,,
STOUMA,15.00,27/05/10,4:1,0.001,-,0.002,-8.4,100,,,,
Suncorp-Metway Last Sale Price $8.19,,,,,,,,,,,,
SUNUMA,9.00,27/05/10,4:1,0.001,-,-,-,-,,,,
Ten Network Hldgs Last Sale Price $1.77,,,,,,,,,,,,
TENUMA,2.00,27/05/10,1:1,0.012,-,-,-,-,,,,
TENWMH,2.50,23/09/10,1:1,0.036,0.042,-,-,-,,,,
Telstra Corp Last Sale Price $3.00,,,,,,,,,,,,
TLSUMA,3.01,27/05/10,1:1,0.09,-,-,-,-,,,,
TLSUMB,3.15,27/05/10,1:1,0.034,-,-,-,-,,,,
TLSUMC,3.40,27/05/10,1:1,0.001,-,-,-,-,,,,
TLSWOC,3.00,24/06/10,2:1,0.001,1.005,0.145,-,-,,,,
TLSWMA,3.15,24/06/10,1:1,0.085,0.098,0.11,-,200,,,,
TLSWMB,3.30,24/06/10,1:1,0.043,0.051,-,-,-,,,,
TLSWOD,3.30,24/06/10,2:1,0.001,1.005,0.026,-2.9,200,,,,
TLSWMH,3.40,23/09/10,1:1,0.086,0.094,-,-,-,,,,
TLSWMI,3.65,23/09/10,1:1,0.042,0.049,0.076,-,-,,,,
Toll Hldgs Ltd Last Sale Price $6.76,,,,,,,,,,,,
TOLUMA,7.50,27/05/10,1:1,0.013,-,-,-,-,,,,
Westpac Banking Last Sale Price $24.17,,,,,,,,,,,,
WBCUMA,26.00,27/05/10,4:1,0.018,-,0.075,-,578,,,,
WBCUMB,28.00,27/05/10,4:1,0.001,-,-,-,-,,,,
WBCVZD,29.00,27/05/10,4:1,0.001,-,-,-,-,,,,
WBCUMC,30.00,27/05/10,4:1,0.001,-,-,-,-,,,,
WBCWOF,26.50,24/06/10,4:1,0.001,4.01,0.085,-18.5,1552,,,,
WBCWMA,27.00,24/06/10,4:1,0.047,0.061,0.061,-41.9,1950,,,,
WBCWOG,28.00,24/06/10,4:1,0.02,4.01,0.027,-9.8,2387,,,,
WBCWMB,29.00,24/06/10,4:1,0.004,-,0.098,-,-,,,,
WBCWOE,30.00,24/06/10,4:1,0.001,4.01,0.735,-,-,,,,
WBCWMH,29.00,23/09/10,4:1,0.105,0.15,0.12,-,1080,,,,
WBCWMI,31.00,23/09/10,4:1,0.028,0.03,0.18,2.5,600,,,,
Wesfarmers Ltd Last Sale Price $27.95,,,,,,,,,,,,
WESUMA,32.00,27/05/10,4:1,0.01,-,0.054,-,-,,,,
WorleyParsons Ltd Last Sale Price $24.78,,,,,,,,,,,,
WORUMA,27.00,27/05/10,4:1,0.023,-,-,-,-,,,,
Woolworths Ltd Last Sale Price $26.94,,,,,,,,,,,,
WOWWOA,27.50,27/05/10,4:1,0.115,0.11,0.095,-2,2590,,,,
WOWUMA,30.00,27/05/10,4:1,0.001,-,0.075,-,-,,,,
Woodside Pet Last Sale Price $43.08,,,,,,,,,,,,
WPLUMA,44.00,27/05/10,4:1,0.21,-,-,-,-,,,,
WPLVZC,48.00,27/05/10,5:1,0.033,0.04,0.255,-,-,,,,
WPLWOG,44.00,24/06/10,5:1,0.001,2.01,0.255,-47,200,,,,
WPLWMA,46.00,24/06/10,4:1,0.225,0.295,0.51,-,-,,,,
WPLWOH,47.50,24/06/10,5:1,0.001,2.01,0.40,-,-,,,,
WPLWOI,51.00,24/06/10,5:1,0.001,2.01,-,-,-,,,,
WPLWMH,48.00,23/09/10,4:1,0.43,0.51,-,-,-,,,,
Equity Put Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.60,,,,,,,,,,,,
AIOUMR,2.00,27/05/10,1:1,0.38,-,-,-,-,,,,
AMP Ltd Last Sale Price $5.76,,,,,,,,,,,,
AMPWOR,5.75,27/05/10,3:1,0.001,0.07,0.086,-,-,,,,
AMPWOS,6.50,27/05/10,3:1,0.001,2.01,-,-,-,,,,
ANZ Banking Grp Last Sale Price $21.90,,,,,,,,,,,,
ANZVZQ,24.50,27/05/10,4:1,0.64,-,-,-,-,,,,
ANZUMR,25.00,27/05/10,4:1,0.745,-,0.25,-,-,,,,
ANZUMS,27.00,27/05/10,4:1,1.235,-,-,-,-,,,,
ANZWOS,20.00,24/06/10,4:1,0.001,-,0.063,-,1083,,,,
ANZWOT,22.00,24/06/10,4:1,0.001,5.01,0.285,20.7,4240,,,,
ANZWOU,24.00,24/06/10,4:1,0.001,4.01,0.615,34.5,1240,,,,
ANZWMR,26.00,24/06/10,4:1,1.02,1.085,0.555,8.5,63,,,,
ANZWMV,28.00,23/09/10,4:1,1.475,1.595,-,-,-,,,,
ASX Ltd Last Sale Price $31.60,,,,,,,,,,,,
ASXUMR,34.00,27/05/10,4:1,0.55,-,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $37.50,,,,,,,,,,,,
BHPVZQ,40.00,27/05/10,4:1,0.37,-,0.395,8.5,460,,,,
BHPUMS,42.00,27/05/10,4:1,1.015,-,0.51,-,-,,,,
BHPUMR,44.00,27/05/10,4:1,1.505,-,0.83,-,-,,,,
BHPWOW,31.00,24/06/10,4:1,0.001,10.01,0.054,-5.6,803,,,,
BHPWOX,34.00,24/06/10,4:1,0.001,8.01,0.20,-,5791,,,,
BHPWOY,37.00,24/06/10,4:1,0.001,0.45,0.29,12.5,1810,,,,
BHPWOZ,40.00,24/06/10,4:1,0.001,4.01,0.725,37,1802,,,,
BHPVOP,42.00,24/06/10,4:1,0.001,4.01,1.035,43.5,195,,,,
BHPVOQ,44.00,24/06/10,4:1,1.455,1.48,1.46,56,546,,,,
BHPWMR,45.00,24/06/10,4:1,1.795,1.96,1.08,-,-,,,,
BHPWMV,48.00,23/09/10,4:1,2.6,2.75,1.725,-,-,,,,
BlueScope Steel Last Sale Price $2.47,,,,,,,,,,,,
BSLUMR,3.00,27/05/10,1:1,0.495,-,0.315,-,-,,,,
BSLWOS,2.75,24/06/10,2:1,0.001,2.01,0.105,-,-,,,,
Brambles Ltd Last Sale Price $6.88,,,,,,,,,,,,
BXBWOP,6.50,24/06/10,4:1,0.001,2.01,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.00,,,,,,,,,,,,
CBAVZS,55.00,27/05/10,5:1,0.515,0.5,0.50,36.5,500,,,,
CBAUMR,57.00,27/05/10,4:1,0.95,1.05,1.05,71.5,615,,,,
CBAUMS,59.00,27/05/10,4:1,1.37,-,0.98,44,359,,,,
CBAWOS,47.50,24/06/10,5:1,0.001,0.15,0.15,-,1336,,,,
CBAWOT,51.00,24/06/10,5:1,0.001,8.01,0.35,28,1435,,,,
CBAWOU,54.00,24/06/10,5:1,0.44,0.57,0.545,38,3394,,,,
CBAWMR,58.00,24/06/10,4:1,1.285,1.44,1.085,41.5,200,,,,
CBAWMV,60.00,23/09/10,4:1,2.19,2.34,1.25,-,-,,,,
Computershare Ltd Last Sale Price $11.32,,,,,,,,,,,,
CPUUMR,13.00,27/05/10,1:1,1.575,-,-,-,-,,,,
CSL Ltd Last Sale Price $33.19,,,,,,,,,,,,
CSLUMR,37.00,27/05/10,4:1,0.745,-,0.98,-,-,,,,
Incitec Pivot Last Sale Price $3.04,,,,,,,,,,,,
IPLUMR,3.50,27/05/10,1:1,0.46,-,-,-,-,,,,
Lihir Gold Ltd Last Sale Price $3.90,,,,,,,,,,,,
LGLUMR,3.50,27/05/10,1:1,0.019,-,0.057,-3.5,200,,,,
LGLWOR,3.50,27/05/10,2:1,0.001,2.01,-,-,-,,,,
LGLWOU,3.75,27/05/10,2:1,0.001,2.01,-,-,-,,,,
Macq Grp Ltd Last Sale Price $45.53,,,,,,,,,,,,
MQGVZW,47.00,27/05/10,5:1,0.605,-,0.43,23,650,,,,
MQGWOR,45.00,24/06/10,6:1,0.001,6.01,0.405,9,620,,,,
National Aust Bank Last Sale Price $24.58,,,,,,,,,,,,
