Warrant Market - Weekly
"Report at Friday, October 30, 2015. Processed Monday at 2/11/2015 5:03:51 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $27.21,
ANZWOA,30.00,17/12/15,4:1,.042,.047,.042,-10.3,5290,
ANZWOB,32.00,17/12/15,4:1,.012,.017,.017,-5.9,900,

BHP Billiton Last Sale Price $23.02,
BHPWOA,26.00,17/12/15,4:1,.091,.096,.135,-10,4450,
BHPWOB,29.00,17/12/15,4:1,.017,.022,.096,-,-,

C'wlth Bank  of Aust Last Sale Price $76.73,
CBAWOA,80.00,17/12/15,5:1,.36,.365,.40,-11,2788,
CBAWOB,85.00,17/12/15,5:1,.125,.13,.125,-6,4631,

Fortescue Metals Grp Last Sale Price $2.09,
FMGWOA,2.00,17/12/15,2:1,.155,.16,.29,-,-,
FMGWOB,2.25,17/12/15,2:1,.10,.105,.19,-7.5,500,

Fox Inc Nasdaq ClassB,
FX1WMA,0.01,17/06/16,1:1,43.34,43.39,42.66,+191,4,
FX1WUA,0.01,10/03/22,1:1,43.31,43.32,42.645,+194,2818,

Fox Inc Nasdaq ClassA,
FX2WUA,0.01,10/03/22,1:1,43.06,43.07,37.645,-,6,

Macquarie Grp Last Sale Price $85.70,
MQGWOA,81.00,17/12/15,4:1,1.395,1.40,.805,-,-,
MQGWOB,86.00,17/12/15,4:1,.75,.755,.785,+18,610,

National Aust Bank Last Sale Price $30.15,
NABWOA,32.50,17/12/15,4:1,.066,.071,.074,-17.6,8115,
NABWOB,34.50,17/12/15,4:1,.02,.025,.029,-7.1,400,

Newcrest Min Last Sale Price $12.31,
NCMWOA,11.50,17/12/15,4:1,.41,-,-,-,-,
NCMWOB,12.50,17/12/15,4:1,.285,-,-,-,-,

Rio Tinto Last Sale Price $50.65,
RIOWOA,52.00,17/12/15,5:1,.52,.525,.52,-8.5,150,
RIOWOB,57.00,17/12/15,5:1,.19,.195,.25,-8,86,

Telstra Corp Last Sale Price $5.40,
TLSWOA,6.25,17/12/15,2:1,.014,.019,.033,-,-,
TLSWOB,6.50,17/12/15,2:1,.008,.013,-,-,-,

Westpac Banking Last Sale Price $31.38,
WBCWOA,32.28,17/12/15,4:1,.18,.185,.23,-,-,
WBCWOB,34.27,17/12/15,4:1,.063,.068,.105,+1.3,100,

Equity Put Warrants,
ANZ Banking Grp Last Sale Price $27.21,
ANZWOQ,27.00,17/12/15,4:1,.445,.45,.53,-,-,
ANZWOP,29.00,17/12/15,4:1,.78,.785,.51,+.5,46,

BHP Billiton Last Sale Price $23.02,
BHPWOQ,22.00,17/12/15,4:1,.27,.275,-,-,-,
BHPWOP,25.00,17/12/15,4:1,.665,.67,.675,+12,372,

C'wlth Bank  of Aust Last Sale Price $76.73,
CBAWOQ,73.00,17/12/15,5:1,.36,.365,.38,+.5,2054,
CBAWOP,78.00,17/12/15,5:1,.80,.805,.86,+14,60,

Fortescue Metals Grp Last Sale Price $2.09,
