Warrant Market - Weekly
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
RIOWOQ,45.00,17/12/15,5:1,.405,-,-,-,-,
RIOWOP,50.00,17/12/15,5:1,.75,-,-,-,-,

Telstra Corp Last Sale Price $5.65,
TLSWOW,6.00,24/09/15,2:1,.18,-,.145,-,-,
TLSWOV,6.30,24/09/15,2:1,.325,-,-,-,-,
TLSWOQ,5.75,17/12/15,2:1,.185,-,-,-,-,
TLSWOP,6.00,17/12/15,2:1,.26,-,.29,-,-,

Westpac Banking Last Sale Price $31.75,
WBCWOW,35.00,24/09/15,4:1,.81,-,.745,-,-,
WBCWOV,37.00,24/09/15,4:1,1.31,-,1.09,-,-,
WBCWOQ,30.00,17/12/15,4:1,.44,-,.515,-,-,
WBCWOP,32.00,17/12/15,4:1,.675,-,.855,-,-,

Basket Call Warrants,
Equity Endowment Warrants,
Equity Installment Warrants,
Adelaide Brighton Last Sale Price $4.49,
ABCSSO,4.60,28/06/16,1:1,.425,.475,-,-,-,

Aust Foundation Last Sale Price $5.85,
AFISZB,2.22,30/06/16,1:1,3.78,-,3.85,-,-,
AFIJOH,3.67,12/12/17,1:1,2.18,2.19,2.70,-,-,

AGL Energy Last Sale Price $16.36,
AGLISZ,14.65,21/09/15,1:1,1.76,1.77,-,-,-,
AGLIOV,8.79,15/12/15,1:1,7.75,7.76,8.40,-,-,
AGLIYA,7.84,22/03/16,1:1,8.68,-,8.14,-,-,
AGLIYB,10.55,22/03/16,1:1,6.04,-,5.63,-,-,
AGLISA,15.65,31/03/16,1:1,1.73,1.74,1.83,-,-,
AGLISI,7.20,08/06/16,1:1,9.44,9.45,-,-,-,
AGLSSA,8.11,08/06/16,1:1,8.61,8.62,6.70,-,-,
AGLSSW,17.68,15/06/16,1:1,1.32,1.49,-,-,-,
AGLIYE,7.65,21/06/16,1:1,8.99,-,8.51,-,-,
AGLIYF,9.78,21/06/16,1:1,6.95,-,7.52,-,-,
AGLSOB,12.37,23/06/16,1:1,4.72,-,-,-,-,
AGLSSR,5.72,24/06/16,1:1,10.92,10.93,9.74,-,-,
AGLSWG,4.73,30/06/16,1:1,11.96,11.98,10.57,-,-,
AGLSSN,16.10,30/06/16,1:1,1.63,1.64,1.735,-,-,
AGLSSP,16.10,30/06/16,1:1,1.59,1.60,-,-,-,
