Warrant Market - Weekly
"Report at Friday, September 18, 2015. Processed Monday at 21/09/2015 3:58:10 PM."



ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,
Equity Call Warrants,
ORISMB,16.39,29/06/18,1:1,2.20,-,5.33,-,-,
ORISZX,10.71,04/02/19,1:1,4.73,-,4.86,-,-,
ORIJOA,3.01,14/04/20,1:1,12.41,12.42,-,-,-,
ORIJOT,12.06,14/04/20,1:1,3.37,3.38,3.67,-,-,
ORISWR,10.95,30/06/20,1:1,8.75,8.78,-,-,-,
ORISRX,10.85,06/08/21,1:1,4.59,-,11.75,-,-,

Oil Search Last Sale Price $7.49,
OSHISZ,8.30,21/09/15,1:1,-,.007,-,-,-,
OSHIOV,5.25,15/12/15,1:1,2.38,2.39,2.48,-,-,
OSHISI,4.51,08/06/16,1:1,3.21,3.22,3.30,-,-,
OSHSSA,5.31,08/06/16,1:1,2.54,2.55,1.40,-,-,
OSHSSW,7.95,15/06/16,1:1,.81,.895,1.065,-,-,
OSHSSO,7.49,28/06/16,1:1,.81,.88,1.04,-,-,
OSHSSN,7.19,30/06/16,1:1,.945,.955,-,-,-,
OSHSSP,7.19,30/06/16,1:1,.81,.82,.90,-,-,
OSHSSM,7.49,30/06/16,1:1,.745,.755,.745,-,-,
OSHSZX,3.86,04/02/19,1:1,3.65,-,3.74,-,-,
OSHJOT,3.21,14/04/20,1:1,4.27,4.28,-,-,-,
OSHJOA,5.01,14/04/20,1:1,2.48,2.49,2.49,-,50,
OSHSWR,4.32,30/06/20,1:1,4.58,4.60,4.52,-,-,
OSHSRX,4.47,06/08/21,1:1,3.04,-,4.36,-,-,

SPDR 200 Financials Last Sale Price $19.86,
OZFJOM,12.00,30/05/19,1:1,7.87,7.89,7.87,+12,22,

OZ Minerals Last Sale Price $3.63,
OZLIOV,2.15,15/12/15,1:1,1.55,1.56,1.75,-,-,
OZLIOZ,3.00,15/12/15,1:1,.825,.835,1.895,-,-,
OZLSOE,2.40,23/06/16,1:1,1.515,1.525,-,-,-,
OZLSOF,3.10,23/06/16,1:1,1.085,1.095,1.31,-,-,
OZLSWG,5.26,30/06/16,1:1,.39,.41,.44,-,-,
OZLSZB,17.06,30/06/16,1:1,.31,-,.38,-,-,
OZLSWB,19.87,30/06/16,1:1,.02,-,.205,-,-,
OZLSWL,1.71,30/06/17,1:1,2.18,2.20,-,-,-,
OZLSWR,2.14,30/06/20,1:1,2.52,2.55,-,-,-,

Pacific Brands Last Sale Price $0.68,
PBGSWB,1.14,30/06/16,1:1,.01,-,.02,-,-,

Paladin Energy Last Sale Price $0.20,
PDNIOV,0.19,15/12/15,1:1,.042,.052,.185,-,-,
PDNIOZ,0.35,15/12/15,1:1,.016,.026,.11,-,-,

Perpetual Last Sale Price $41.54,
PPTSMX,55.86,30/06/16,1:1,2.09,-,6.17,-,-,
PPTSMY,68.83,30/06/17,1:1,2.61,-,2.00,-,-,
PPTSRX,23.91,06/08/21,1:1,17.70,-,30.00,-,-,

Primary Health Care Last Sale Price $4.03,
PRYISI,2.22,08/06/16,1:1,1.90,1.91,2.74,-,-,
PRYSSA,2.54,08/06/16,1:1,1.625,1.635,-,-,-,
PRYSSN,5.14,30/06/16,1:1,.235,.245,-,-,-,
PRYSZC,5.84,30/06/17,1:1,.25,-,.505,-,-,
PRYSZU,1.53,04/02/19,1:1,2.50,-,1.60,-,-,

Qantas Airways Last Sale Price $3.63,
QANIOV,0.80,15/12/15,1:1,2.87,2.88,2.98,-,-,
QANIOL,2.85,20/05/16,1:1,1.135,1.145,1.12,-,-,
QANIYE,1.63,21/06/16,1:1,2.06,-,2.22,-,-,
QANSOE,1.35,23/06/16,1:1,2.35,2.36,2.29,-,-,
QANSWG,0.61,30/06/16,1:1,3.09,3.10,.98,-,-,
QANSWH,0.98,30/06/16,1:1,2.73,2.74,1.75,-,-,
QANSWB,2.45,30/06/16,1:1,.59,-,.89,-,-,
QANSZB,2.66,30/06/16,1:1,1.15,-,1.19,-,-,
QANSMX,3.61,30/06/16,1:1,.505,-,.02,-,-,
QANJOQ,2.52,30/05/19,1:1,1.105,1.115,1.01,-,-,
QANJOP,2.87,30/05/19,1:1,.75,.76,.735,+3,100,
QANJOE,2.06,14/04/20,1:1,1.565,1.575,1.78,-,-,
QANSOH,1.91,23/06/20,1:1,2.33,2.34,-,-,-,
QANSWR,1.88,30/06/20,1:1,2.75,2.77,-,-,-,
QANSRU,0.78,06/08/21,1:1,2.85,-,.805,-,-,

QBE Insurance Grp Last Sale Price $13.26,
QBEISZ,11.20,21/09/15,1:1,2.07,2.10,1.57,-,-,
QBEIO2,5.50,06/11/15,1:1,7.27,7.28,7.40,-,-,
QBEIOV,8.30,15/12/15,1:1,5.14,5.15,6.19,-,-,
QBEIOZ,11.50,15/12/15,1:1,2.29,2.30,2.40,-,-,
QBEISA,13.75,31/03/16,1:1,1.265,1.28,1.80,-,-,
QBEIO1,6.50,06/05/16,1:1,7.32,7.33,-,-,-,
QBEIOL,11.50,20/05/16,1:1,3.14,3.15,3.85,-,-,
QBEISI,5.79,08/06/16,1:1,7.68,7.71,9.16,-,-,
QBESSA,6.62,08/06/16,1:1,6.94,6.97,7.95,-,-,
QBEIYF,8.06,21/06/16,1:1,5.58,-,5.17,-,-,
QBEIYE,9.23,21/06/16,1:1,4.54,-,5.36,-,-,
QBEIYG,11.19,21/06/16,1:1,3.00,-,4.12,-,-,
QBESOE,8.02,23/06/16,1:1,5.70,5.71,3.70,-,-,
QBESOF,10.72,23/06/16,1:1,3.40,3.41,3.78,-,-,
QBESWS,12.21,29/06/16,1:1,2.54,2.57,-,-,-,
QBESWB,5.76,30/06/16,1:1,5.19,-,8.94,-,-,
QBESWH,6.73,30/06/16,1:1,6.95,6.99,4.99,-,-,
QBESWG,9.72,30/06/16,1:1,4.23,4.27,4.11,-,-,
QBESMX,11.53,30/06/16,1:1,2.39,-,2.10,-,-,
QBESWC,11.78,30/06/16,1:1,.23,-,3.29,-,-,
QBESSN,14.17,30/06/16,1:1,1.26,1.27,1.67,-,-,
QBESSP,14.17,30/06/16,1:1,1.18,1.19,1.38,-,-,
QBESSM,14.29,30/06/16,1:1,1.16,1.17,-,-,-,
QBESZB,14.48,30/06/16,1:1,1.20,-,1.46,-,-,
QBESWD,21.72,30/06/16,1:1,.03,-,.02,-,-,
QBESWJ,6.12,30/06/17,1:1,7.61,7.65,8.03,-,-,
QBESMY,23.64,30/06/17,1:1,.16,-,.09,-,-,
QBEJOH,6.42,12/12/17,1:1,6.84,6.85,6.60,+7,8,
QBEJOJ,9.30,31/05/18,1:1,3.96,3.97,4.22,-,-,
QBESZD,11.73,28/06/18,1:1,3.77,-,1.30,-,-,
QBESMB,19.67,29/06/18,1:1,.585,-,.58,-,-,
QBESZW,9.11,04/02/19,1:1,4.17,-,4.93,-,-,
QBEJOQ,7.41,30/05/19,1:1,5.85,5.86,5.88,+45,150,
QBESO1,6.11,06/12/19,1:1,7.15,7.16,8.32,-,-,
QBEJOE,11.22,14/04/20,1:1,2.04,2.05,1.795,-28.5,70,
QBESOH,8.27,23/06/20,1:1,6.87,6.88,6.75,-,-,
QBESWR,7.40,30/06/20,1:1,7.66,7.70,7.35,-,-,
QBESRX,5.51,06/08/21,1:1,7.77,-,8.49,-,-,
QBESRW,9.11,06/08/21,1:1,4.17,-,4.10,-,-,

BetaShares Aus 200 Last Sale Price $11.44,
QOZSWL,5.33,30/06/17,1:1,5.97,7.15,6.48,-11,10,
QOZSWR,7.19,30/06/20,1:1,4.97,5.99,-,-,-,

Russell High Div Last Sale Price $28.45,
RDVSOZ,11.22,23/06/16,1:1,17.44,17.55,17.40,-,-,

Ramsay Health Care Last Sale Price $60.98,
RHCISI,25.36,08/06/16,1:1,36.43,36.44,37.76,-,-,
RHCSSA,29.76,08/06/16,1:1,32.41,32.42,30.87,-,-,
RHCSWG,8.12,30/06/16,1:1,53.40,53.42,59.27,-,-,
RHCSSN,62.27,30/06/16,1:1,5.37,5.38,4.72,-,-,
RHCSSP,62.27,30/06/16,1:1,5.18,5.19,-,-,-,
RHCSSM,63.16,30/06/16,1:1,4.97,4.98,5.45,-,-,
RHCSWL,22.28,30/06/17,1:1,41.77,41.78,40.17,-,-,
RHCJOP,36.08,30/05/19,1:1,24.91,24.92,23.60,-,-,
RHCSO1,31.16,06/12/19,1:1,29.84,29.85,37.53,-,-,
RHCSOG,26.50,13/12/19,1:1,38.20,38.21,34.46,-,-,
RHCJOT,26.12,14/04/20,1:1,34.87,34.88,-,-,-,
RHCSWR,38.40,30/06/20,1:1,35.39,35.42,33.77,-,-,
RHCSRX,9.16,06/08/21,1:1,51.82,-,54.06,-,-,

Rio Tinto Last Sale Price $51.26,
RIOIO2,30.00,06/11/15,1:1,22.31,22.32,-,-,-,
RIOIOV,36.70,15/12/15,1:1,15.55,15.56,14.33,-,-,
RIOIOZ,50.50,15/12/15,1:1,5.14,5.15,4.40,-,-,
RIOIO1,28.50,06/05/16,1:1,25.96,25.97,-,-,-,
RIOIOL,36.50,20/05/16,1:1,17.62,17.63,20.24,-,-,
RIOIOM,48.00,20/05/16,1:1,9.92,-,-,-,-,
RIOISI,32.55,08/06/16,1:1,20.57,20.62,20.32,-,-,
RIOSSA,36.81,08/06/16,1:1,16.96,17.01,18.04,-,-,
RIOIYE,31.97,21/06/16,1:1,21.05,-,22.22,-,-,
RIOIYF,43.94,21/06/16,1:1,11.34,-,14.03,-,-,
RIOSOE,40.10,23/06/16,1:1,15.06,15.07,31.56,-,-,
RIOSOF,51.56,23/06/16,1:1,8.97,8.98,16.29,-,-,
RIOSSS,31.22,24/06/16,1:1,21.94,21.99,31.50,-,-,
RIOISN,55.26,24/06/16,1:1,6.01,6.54,-,-,-,
RIOISQ,65.48,24/06/16,1:1,7.61,8.26,-,-,-,
RIOSSO,57.09,28/06/16,1:1,3.62,4.08,-,-,-,
RIOSWS,48.58,29/06/16,1:1,8.76,8.81,8.32,-,-,
RIOSWB,18.87,30/06/16,1:1,24.46,-,32.93,-,-,
RIOSWH,30.97,30/06/16,1:1,22.61,22.67,35.56,-,-,
RIOSWG,45.85,30/06/16,1:1,10.30,10.35,16.79,-,-,
RIOSMX,46.76,30/06/16,1:1,7.68,-,11.05,-,-,
RIOSZB,53.20,30/06/16,1:1,5.43,-,4.55,-,-,
RIOSSN,55.40,30/06/16,1:1,4.57,4.59,4.94,-,-,
RIOSSP,55.40,30/06/16,1:1,4.31,4.33,5.19,-,-,
RIOSSM,57.66,30/06/16,1:1,3.79,3.81,4.90,-,-,
RIOSWC,59.01,30/06/16,1:1,1.56,-,2.60,-,-,
RIOSWD,86.64,30/06/16,1:1,.03,-,2.49,-,-,
RIOJOC,36.73,22/06/17,1:1,14.54,14.55,15.78,-,-,
RIOSWJ,25.89,30/06/17,1:1,27.93,27.99,29.20,-,-,
RIOSMY,44.86,30/06/17,1:1,9.93,-,12.93,-,-,
RIOJOJ,34.71,31/05/18,1:1,16.56,16.57,16.62,-,-,
RIOSMB,79.97,29/06/18,1:1,1.075,-,1.92,-,-,
RIOSZW,30.57,04/02/19,1:1,20.83,-,25.79,-,-,
RIOSZU,36.93,04/02/19,1:1,14.47,-,23.73,-,-,
RIOSO1,30.72,06/12/19,1:1,20.55,20.56,17.73,-,-,
RIOSOG,29.76,13/12/19,1:1,28.88,28.89,28.14,-,-,
RIOJOT,27.12,14/04/20,1:1,24.15,24.16,-,-,-,
RIOJOF,41.18,14/04/20,1:1,10.09,10.10,6.60,-,-,
RIOSWR,27.86,30/06/20,1:1,31.18,31.23,-,-,-,
RIOSRW,30.58,06/08/21,1:1,20.82,-,21.53,-,-,
RIOSRX,35.13,06/08/21,1:1,16.28,-,15.96,-,-,
RIOSRU,36.94,06/08/21,1:1,14.46,-,18.65,-,-,

ResMed Inc Last Sale Price $7.05,
RMDSO1,3.59,06/12/19,1:1,3.46,3.47,3.66,-,-,
RMDSRT,2.02,06/08/21,1:1,5.02,-,3.65,-,-,

South32 Last Sale Price $1.54,
S32ISJ,1.20,08/06/16,1:1,.475,.485,.61,-,-,
S32SSC,1.45,08/06/16,1:1,.315,.325,.365,+12.5,241,
S32JOT,0.80,14/04/20,1:1,.73,.74,.75,-,50,
S32JOA,1.10,14/04/20,1:1,.43,.44,-,-,-,
S32SWR,1.05,30/06/20,1:1,.95,.96,.91,-,-,

Scentre Grp Last Sale Price $3.88,
SCGISI,1.73,08/06/16,1:1,2.19,2.20,-,-,-,
SCGSSA,1.91,08/06/16,1:1,2.03,2.04,2.06,-,-,
SCGSSN,3.95,30/06/16,1:1,.33,.34,-,-,-,
SCGSSP,3.95,30/06/16,1:1,.32,.33,.295,-,-,
SCGSSM,4.11,30/06/16,1:1,.275,.285,-,-,-,

Seek Last Sale Price $12.04,
SEKSSO,14.32,28/06/16,1:1,.69,.815,1.54,-,-,

SPDR 50 Fund Last Sale Price $50.96,
SFYIOL,42.00,20/05/16,1:1,12.55,12.59,-,-,-,
SFYSOE,30.37,23/06/16,1:1,22.05,22.09,-,-,-,
SFYSZX,14.98,04/02/19,1:1,36.00,-,35.00,-,-,
SFYSZW,21.92,04/02/19,1:1,29.06,-,32.48,-,-,
SFYJOM,30.60,30/05/19,1:1,20.24,20.28,19.55,+61,5,
SFYSO1,25.72,06/12/19,1:1,25.12,25.16,24.41,-,-,
SFYSOG,27.37,13/12/19,1:1,26.05,26.09,25.38,-440,37,
SFYSOX,20.64,19/11/20,1:1,30.19,30.24,31.32,-,-,
SFYSRX,14.58,06/08/21,1:1,36.40,-,42.00,-,-,
SFYSRT,14.98,06/08/21,1:1,36.00,-,38.34,-,-,
SFYSRW,21.92,06/08/21,1:1,29.06,-,27.58,-,-,

Slater & Gordon Last Sale Price $2.90,
SGHJOA,1.50,14/04/20,1:1,1.39,1.40,-,-,-,

Stockland Last Sale Price $3.85,
SGPISI,2.10,08/06/16,1:1,1.83,1.84,-,-,-,
SGPSSA,2.31,08/06/16,1:1,1.65,1.66,-,-,-,
SGPSMY,6.27,30/06/17,1:1,.014,-,.935,-,-,
SGPSMB,4.96,29/06/18,1:1,.058,-,.32,-,-,
SGPJOP,2.74,30/05/19,1:1,1.115,1.125,1.875,-,-,
SGPJOE,3.17,14/04/20,1:1,.685,.695,1.18,-,-,
SGPJOF,3.29,14/04/20,1:1,.56,.57,.56,-8,100,
SGPSWR,2.26,30/06/20,1:1,2.24,2.26,2.59,-,-,

Sonic Healthcare Last Sale Price $19.26,
SHLISA,21.40,31/03/16,1:1,1.145,1.155,1.915,-,-,
SHLISI,9.03,08/06/16,1:1,10.47,10.48,-,-,-,
SHLSSA,10.23,08/06/16,1:1,9.40,9.41,9.53,-,-,
SHLIYE,9.53,21/06/16,1:1,10.13,-,-,-,-,
SHLIYF,12.72,21/06/16,1:1,7.12,-,9.21,-,-,
SHLSSO,22.15,28/06/16,1:1,1.00,1.185,-,-,-,
SHLSWC,3.65,30/06/16,1:1,12.51,-,16.88,-,-,
SHLSWG,4.99,30/06/16,1:1,14.50,14.52,16.09,-,-,
SHLSZB,10.69,30/06/16,1:1,8.89,-,10.28,-,-,
SHLSWL,7.71,30/06/17,1:1,12.09,12.11,14.13,-,-,
SHLSZX,4.77,04/02/19,1:1,14.44,-,14.50,-,-,
SHLSZW,7.46,04/02/19,1:1,11.75,-,9.70,-,-,
SHLSO1,9.42,06/12/19,1:1,9.84,9.85,10.38,-,-,
SHLSWR,11.18,30/06/20,1:1,11.72,11.75,12.01,-,-,
SHLSRT,4.77,06/08/21,1:1,14.44,-,15.83,-,-,
SHLSRX,6.14,06/08/21,1:1,13.07,-,11.10,-,-,
SHLSRW,7.46,06/08/21,1:1,11.75,-,10.48,-,-,

Spark Infrastructure Last Sale Price $1.88,
SKISZX,0.20,04/02/19,1:1,1.68,-,1.525,-,-,
SKIJOP,1.18,30/05/19,1:1,.69,.70,-,-,-,
SKIJOF,1.03,14/04/20,1:1,.845,.855,-,-,-,
SKIJOE,1.44,14/04/20,1:1,.43,.44,-,-,-,

SPDR Prop Fund Last Sale Price $11.33,
SLFIOL,10.25,20/05/16,1:1,2.35,2.37,2.40,-,-,
SLFSZB,10.83,30/06/16,1:1,1.32,-,1.69,-,-,
SLFSZX,2.17,04/02/19,1:1,9.15,-,9.57,-,-,
SLFSZW,3.80,04/02/19,1:1,7.53,-,8.00,-,-,
SLFSO1,6.01,14/04/20,1:1,5.33,5.35,5.30,-53,155,
SLFSOX,3.33,19/11/20,1:1,8.00,8.03,8.38,-,-,
SLFSRY,2.54,06/08/21,1:1,8.79,-,6.64,-,-,
SLFSRW,3.81,06/08/21,1:1,7.51,-,5.28,-,-,

Spark New Zealand Last Sale Price $2.84,
SPKSO1,1.57,05/03/20,1:1,1.265,1.275,1.315,-13,100,

Santos Last Sale Price $4.75,
STOISZ,8.15,21/09/15,1:1,-,.007,1.075,-,-,
STOIOV,9.30,15/12/15,1:1,.205,.215,.385,-,-,
STOIOZ,11.50,15/12/15,1:1,.21,.22,.79,-,-,
STOIOL,6.40,20/05/16,1:1,.57,.58,.60,+2,130,
STOISJ,4.20,08/06/16,1:1,1.38,1.39,1.325,-7,90,
STOSSC,4.65,08/06/16,1:1,1.085,1.095,.935,+.5,20,
STOIYE,4.91,21/06/16,1:1,.915,-,.69,-,-,
STOIYF,6.94,21/06/16,1:1,.495,-,.69,-,-,
STOSOE,7.11,23/06/16,1:1,.38,.39,.35,-,-,
STOISN,13.41,24/06/16,1:1,.525,.66,-,-,-,
STOISQ,15.60,24/06/16,1:1,.565,.73,-,-,-,
STOSWB,5.80,30/06/16,1:1,.36,-,1.92,-,-,
STOSWG,7.46,30/06/16,1:1,.42,.44,.41,-,-,
STOSOG,7.74,13/12/19,1:1,2.08,2.09,2.55,-,-,
STOSO3,2.00,14/04/20,1:1,2.74,2.75,-,-,-,
STOJOB,2.50,14/04/20,1:1,2.24,2.25,-,-,-,
STOJOA,3.01,14/04/20,1:1,1.74,1.75,1.82,-,6,
STOSO2,3.01,14/04/20,1:1,1.73,1.74,-,-,-,
STOJOT,3.52,14/04/20,1:1,1.23,1.24,1.43,+50.5,880,
STOSOH,5.14,23/06/20,1:1,2.71,2.72,-,-,-,
STOSWR,4.09,30/06/20,1:1,3.05,3.07,2.99,-206,15,

SPDR 200 Fund Last Sale Price $48.94,
STWIO2,24.00,06/11/15,1:1,25.38,25.39,-,-,-,
STWJOC,27.30,26/11/15,1:1,21.65,21.66,21.05,-,-,
STWJOD,39.49,26/11/15,1:1,9.47,9.48,8.58,-,-,
STWIO1,28.00,06/05/16,1:1,22.75,22.76,-,-,-,
STWIOM,34.00,20/05/16,1:1,17.04,17.05,17.80,-,-,
STWISA,52.10,31/05/16,1:1,4.20,4.22,-,-,-,
STWISI,26.05,08/06/16,1:1,23.89,23.95,-,-,-,
STWSSD,29.50,08/06/16,1:1,20.84,-,-,-,-,
STWSSA,29.63,08/06/16,1:1,20.72,20.78,20.35,-,-,
STWIYE,28.44,21/06/16,1:1,21.60,-,24.45,-,-,
STWIYF,38.39,21/06/16,1:1,12.52,-,18.35,-,-,
STWIYG,45.68,21/06/16,1:1,6.78,-,14.23,-,-,
STWSOE,15.48,23/06/16,1:1,34.27,34.28,23.71,-,-,
STWSOF,20.87,23/06/16,1:1,29.17,29.18,30.02,-,-,
STWSSR,17.58,24/06/16,1:1,32.12,32.18,33.10,-,-,
STWSOB,53.63,24/06/16,1:1,3.92,3.93,-,-,-,
STWSOA,54.34,24/06/16,1:1,3.72,3.73,3.57,+16,2,
STWSWS,46.90,29/06/16,1:1,6.28,6.38,5.75,-,-,
STWSWB,15.47,30/06/16,1:1,29.81,-,33.57,-,-,
STWSWH,15.61,30/06/16,1:1,34.21,34.35,24.42,-,-,
STWSWC,22.03,30/06/16,1:1,23.38,-,26.25,-,-,
STWSWG,22.80,30/06/16,1:1,27.15,27.29,25.67,-,-,
STWSZB,29.06,30/06/16,1:1,20.94,-,24.61,-,-,
STWSWI,29.32,30/06/16,1:1,21.02,21.16,19.20,-,-,
STWSWD,30.94,30/06/16,1:1,14.55,-,21.01,-,-,
STWSSN,54.26,30/06/16,1:1,3.38,3.40,-,-,-,
STWSSP,54.26,30/06/16,1:1,3.07,3.09,2.80,-,-,
STWSSM,55.98,30/06/16,1:1,2.88,2.90,4.21,-,-,
STWSSC,56.36,30/06/16,1:1,1.09,1.305,3.45,-,-,
STWSZC,47.88,30/06/17,1:1,7.04,-,9.30,-,-,
STWSZX,14.26,04/02/19,1:1,34.71,34.06,33.96,+41,1,
STWSZU,19.91,04/02/19,1:1,29.06,-,29.96,-,-,
STWSZW,26.74,04/02/19,1:1,22.23,-,26.51,-,-,
STWJOP,28.24,30/05/19,1:1,20.71,20.72,22.08,-,-,
STWSO1,27.50,06/12/19,1:1,21.45,21.46,23.86,-,-,
STWSOG,26.54,13/12/19,1:1,25.28,25.29,25.66,-,-,
STWJOE,34.61,14/04/20,1:1,14.35,14.36,13.90,-,-,
STWJOA,40.07,14/04/20,1:1,8.88,8.89,-,-,-,
STWSWR,31.48,30/06/20,1:1,22.56,22.66,21.08,-,-,
STWSOX,23.09,19/11/20,1:1,25.86,25.87,28.70,-,-,
STWSRT,14.26,06/08/21,1:1,34.71,-,41.27,-,-,
STWSRX,15.38,06/08/21,1:1,33.58,-,39.20,-,-,
STWSRY,18.40,06/08/21,1:1,30.57,-,33.02,-,-,
STWSRU,19.91,06/08/21,1:1,29.06,-,32.03,-,-,
STWSRW,26.74,06/08/21,1:1,22.23,-,29.04,-,-,

Suncorp Grp Last Sale Price $12.54,
SUNISZ,14.68,21/09/15,1:1,-,.008,.575,-,-,
SUNSZX,0.00,29/09/15,1:1,-,-,13.06,-,-,
SUNJOG,9.20,26/11/15,1:1,3.34,3.35,5.10,-,-,
SUNIOV,7.47,15/12/15,1:1,5.23,5.24,5.30,-,-,
SUNIOZ,10.57,15/12/15,1:1,2.29,2.30,2.58,-,-,
SUNJRB,10.37,16/12/15,1:1,2.19,-,4.54,-,-,
SUNIOM,7.38,20/05/16,1:1,5.58,5.59,7.35,-,-,
SUNISI,7.20,08/06/16,1:1,5.63,5.64,-,-,-,
SUNSSA,8.03,08/06/16,1:1,4.90,4.91,-,-,-,
SUNSSW,14.49,15/06/16,1:1,.70,.84,1.45,-,-,
SUNIYE,7.84,21/06/16,1:1,5.04,-,6.20,-,-,
SUNIYF,10.73,21/06/16,1:1,2.57,-,4.09,-,-,
SUNSOE,1.46,23/06/16,1:1,11.15,11.16,12.07,-,-,
SUNISN,12.32,24/06/16,1:1,1.695,1.82,3.19,-,-,
SUNISQ,14.32,24/06/16,1:1,1.965,2.12,-,-,-,
SUNSWG,1.98,30/06/16,1:1,10.78,10.80,11.67,-,-,
SUNSWB,7.29,30/06/16,1:1,3.32,-,5.65,-,-,
SUNSWC,11.32,30/06/16,1:1,.01,-,2.56,-,-,
SUNSZB,11.49,30/06/16,1:1,1.82,-,2.94,-,-,
SUNSSN,13.91,30/06/16,1:1,.86,.87,-,-,-,
SUNSSP,13.91,30/06/16,1:1,.79,.80,-,-,-,
SUNSSM,14.13,30/06/16,1:1,.75,.76,1.35,-,-,
SUNSMX,15.05,30/06/16,1:1,.18,-,.725,-,-,
SUNSWD,15.27,30/06/16,1:1,.054,-,.16,-,-,
SUNSWK,5.69,30/06/17,1:1,7.49,7.51,8.35,-,-,
SUNSZC,7.62,30/06/17,1:1,5.25,-,.04,-,-,
SUNJOJ,6.71,31/05/18,1:1,5.83,5.84,6.42,-,-,
SUNJOK,9.65,31/05/18,1:1,2.89,2.90,2.81,-,-,
SUNSZD,7.09,28/06/18,1:1,5.77,-,7.07,-,-,
SUNSMB,8.25,29/06/18,1:1,4.53,-,4.42,-,-,
SUNSZW,1.92,04/02/19,1:1,10.64,-,10.37,-78,200,
SUNSO1,7.54,06/12/19,1:1,5.00,5.01,5.81,-,-,
SUNSOG,7.04,13/12/19,1:1,6.51,6.52,7.02,-,-,
SUNJOH,7.63,14/04/20,1:1,4.91,4.92,5.82,-,-,
SUNJOE,8.32,14/04/20,1:1,4.22,4.23,4.27,-,-,
SUNJOF,8.71,14/04/20,1:1,3.83,3.84,4.48,-,-,
SUNSWR,7.42,30/06/20,1:1,7.19,7.21,7.07,-135,6,
SUNSRW,1.92,06/08/21,1:1,10.64,-,10.74,-,-,

Seven West Media Last Sale Price $0.76,
SWMJOP,0.51,30/05/19,1:1,.245,.255,.325,-,-,
SWMJOR,0.35,14/04/20,1:1,.40,.41,.115,-,-,
SWMJOT,0.45,14/04/20,1:1,.30,.31,-,-,-,
SWMJOU,0.60,14/04/20,1:1,.15,.16,-,-,-,

Senex Energy Last Sale Price $0.13,
SXYJOT,0.04,14/04/20,1:1,.08,-,-,-,-,

Sydney Airport Last Sale Price $5.86,
SYDIOV,2.30,15/12/15,1:1,3.62,3.63,2.15,-,-,
SYDIYB,3.50,22/03/16,1:1,2.43,-,2.00,-,-,
SYDISI,2.15,08/06/16,1:1,3.80,3.82,2.55,-,-,
SYDSSA,2.35,08/06/16,1:1,3.63,3.65,-,-,-,
SYDIYF,3.45,21/06/16,1:1,2.53,-,2.20,-,-,
SYDSOE,0.13,23/06/16,1:1,5.74,5.75,4.05,-,-,
SYDSWG,1.71,30/06/16,1:1,4.26,4.27,3.75,-,-,
SYDSZC,0.59,30/06/17,1:1,5.31,-,4.64,-,-,
SYDJOP,2.42,30/05/19,1:1,3.44,3.45,3.38,-,-,
SYDSO1,2.38,06/12/19,1:1,3.47,3.48,2.86,-,-,
SYDSOG,2.13,13/12/19,1:1,3.83,3.84,3.20,-,-,
SYDJOT,3.01,14/04/20,1:1,2.84,2.85,-,-,-,
SYDJOR,4.32,14/04/20,1:1,1.535,1.545,-,-,-,
SYDSWR,2.91,30/06/20,1:1,3.72,3.75,3.51,-,-,
SYDSRT,0.33,06/08/21,1:1,5.54,-,3.31,-,-,
SYDSRW,0.71,06/08/21,1:1,5.17,-,4.56,-,-,

SPDR MSCI Au Sel HDY Last Sale Price $27.45,
SYISOE,14.47,15/12/15,1:1,13.16,13.19,-,-,-,
SYISOF,16.52,15/12/15,1:1,11.14,11.17,-,-,-,
SYISSA,13.69,08/06/16,1:1,14.24,14.27,14.35,-,-,
SYISSB,16.87,08/06/16,1:1,11.18,11.21,10.53,-,-,
SYISWJ,9.13,30/06/17,1:1,18.46,20.16,20.69,-,-,
SYISWL,13.32,30/06/17,1:1,14.17,15.84,18.03,-,-,
SYISWR,17.79,30/06/20,1:1,11.90,13.33,13.20,-,-,
SYISOX,10.98,19/11/20,1:1,16.45,16.49,17.50,-,-,
SYISRX,6.66,06/08/21,1:1,20.71,-,16.88,-,-,
SYISRT,10.39,06/08/21,1:1,16.98,-,19.03,-,-,

Tabcorp Hldgs Last Sale Price $4.57,
TAHISZ,4.59,21/09/15,1:1,.032,.042,.07,-,-,
TAHJOE,3.53,26/11/15,1:1,1.035,1.045,2.54,-,-,
TAHIYE,1.98,21/06/16,1:1,2.66,-,2.50,-,-,
TAHIYF,2.77,21/06/16,1:1,1.91,-,2.18,-,-,
TAHSOE,0.43,23/06/16,1:1,4.15,4.16,4.42,-,-,
TAHSWS,4.11,29/06/16,1:1,.91,.93,-,-,-,
TAHSWB,0.44,30/06/16,1:1,3.30,-,4.37,-,-,
TAHSWD,4.07,30/06/16,1:1,.02,-,.89,-,-,
TAHSMX,5.37,30/06/16,1:1,.155,-,.27,-,-,
TAHSZB,7.54,30/06/16,1:1,.14,-,-,-,-,
TAHSWL,1.14,30/06/17,1:1,3.55,3.57,-,-,-,
TAHSMY,7.51,30/06/17,1:1,.034,-,-,-,-,
TAHSMB,2.38,29/06/18,1:1,2.25,-,.74,-,-,
