Warrant Market - Weekly,,,,,,,,,,,,
XAO 4588.8 at 16:39 12/2/2010  Report at 19:05 Friday 12/2/2010. Processed 18:10 Sunday 14/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.16,,,,,,,,,,,,
AMPWOA,6.00,25/02/10,3:1,0.059,0.19,0.125,-,-,,,,
AMPWOB,6.75,25/02/10,3:1,0.006,0.011,0.019,-,-,,,,
ANZ Banking Grp Last Sale Price $20.59,,,,,,,,,,,,
ANZWZH,22.00,25/02/10,4:1,0.034,0.048,0.475,-,-,,,,
ANZWOK,24.50,25/02/10,4:1,-,0.011,0.003,-1.6,910,,,,
ANZWOL,26.50,25/02/10,4:1,0.001,0.011,0.01,-,-,,,,
ANZWOJ,28.50,25/02/10,4:1,-,0.011,0.006,-,-,,,,
ANZVMA,22.00,25/03/10,3:1,0.145,0.17,0.15,-7.5,5216,,,,
ANZWZJ,23.00,25/03/10,4:1,0.087,0.1,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.039,0.055,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.044,0.058,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.063,0.076,0.067,-3.3,8700,,,,
ANZVZA,24.00,29/04/10,4:1,0.19,0.22,0.215,-,330,,,,
ANZWOB,25.00,29/04/10,4:1,0.03,0.035,0.035,-1,450,,,,
ANZVME,26.00,29/04/10,3:1,0.041,0.054,0.05,-11,2740,,,,
ANZWOC,26.50,29/04/10,4:1,0.015,0.02,0.094,-,-,,,,
ASX Ltd Last Sale Price $35.85,,,,,,,,,,,,
ASXVMA,33.00,25/03/10,4:1,0.8,0.845,0.785,-,-,,,,
ASXVMB,35.00,25/03/10,4:1,0.46,0.49,-,-,-,,,,
ASXVME,37.00,29/04/10,4:1,0.355,0.375,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $40.82,,,,,,,,,,,,
BHPWOC,37.00,25/02/10,4:1,1.025,1.03,0.995,-,-,,,,
BHPWOD,39.00,25/02/10,4:1,0.57,0.575,0.515,10.5,956,,,,
BHPWOE,41.00,25/02/10,4:1,0.21,0.215,0.20,4,21563,,,,
BHPWOF,43.00,25/02/10,4:1,0.053,0.058,0.065,1.9,1999,,,,
BHPVOC,45.00,25/02/10,4:1,0.007,0.07,0.006,-1.2,360,,,,
BHPWZB,46.00,25/02/10,4:1,0.034,0.048,-,-,-,,,,
BHPVMA,37.00,25/03/10,4:1,1.065,1.15,1.105,20,120,,,,
BHPVMB,39.00,25/03/10,4:1,0.725,0.795,-,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,0.51,0.54,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.345,0.375,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.395,1.4,1.275,-30.5,1600,,,,
BHPWOB,38.50,29/04/10,4:1,0.94,0.945,0.97,21,30,,,,
BHPWOG,40.50,29/04/10,4:1,0.635,0.64,0.635,15,240,,,,
BHPVME,41.00,29/04/10,4:1,0.65,0.71,0.67,9.5,45,,,,
BHPWOH,43.50,29/04/10,4:1,0.3,0.305,0.29,6,2920,,,,
BHPVZC,44.00,29/04/10,4:1,0.68,0.71,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.165,0.18,0.155,-4,324,,,,
BlueScope Steel Last Sale Price $2.56,,,,,,,,,,,,
BSLWOA,3.00,25/03/10,2:1,0.021,0.026,0.027,-,299,,,,
BSLVMA,3.25,25/03/10,2:1,0.01,-,0.15,-,-,,,,
BSLWOB,3.50,25/03/10,2:1,0.006,0.011,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $52.30,,,,,,,,,,,,
CBAWOJ,54.00,25/02/10,5:1,0.026,0.031,0.031,-5.5,5778,,,,
CBAVZK,55.00,25/02/10,5:1,0.09,0.12,-,-,-,,,,
CBAWOK,57.00,25/02/10,5:1,0.006,0.011,0.009,-2.1,40,,,,
CBAWOL,60.00,25/02/10,5:1,0.005,0.01,0.015,-,-,,,,
CBAVMA,53.00,25/03/10,5:1,0.32,0.35,0.35,-5,2112,,,,
CBAVZL,53.00,25/03/10,5:1,0.38,0.41,0.475,-11,1,,,,
CBAVMB,55.00,25/03/10,5:1,0.19,0.215,0.25,-26,3465,,,,
CBAVZM,55.00,25/03/10,5:1,0.265,0.295,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,0.75,0.77,0.84,-19,1616,,,,
CBAWOB,55.00,29/04/10,5:1,0.27,0.4,0.35,-11,850,,,,
CBAVME,57.00,29/04/10,5:1,0.27,0.29,0.915,-,-,,,,
CBAVZN,58.00,29/04/10,5:1,0.465,0.495,-,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.11,0.15,0.14,1,5433,,,,
Computershare Ltd Last Sale Price $12.00,,,,,,,,,,,,
CPUVMA,11.00,25/03/10,2:1,0.53,0.62,0.56,-,200,,,,
CSL Ltd Last Sale Price $31.10,,,,,,,,,,,,
CSLWZC,32.00,25/03/10,4:1,0.185,0.215,0.20,-,-,,,,
CSLVMA,33.00,25/03/10,4:1,0.12,0.13,0.145,-2.5,1050,,,,
Fortescue Metals Grp Last Sale Price $4.93,,,,,,,,,,,,
FMGVMA,4.50,25/03/10,3:1,0.205,0.215,0.205,6.5,1224,,,,
Insurance Aust Grp Last Sale Price $3.92,,,,,,,,,,,,
IAGVMA,4.00,25/03/10,3:1,0.051,0.059,0.076,-,-,,,,
Incitec Pivot Last Sale Price $3.48,,,,,,,,,,,,
IPLVMA,3.00,25/03/10,2:1,0.275,0.285,0.295,-11.5,1440,,,,
Lihir Gold Ltd Last Sale Price $2.86,,,,,,,,,,,,
LGLWOD,3.25,25/03/10,2:1,0.037,0.042,0.031,-,-,,,,
LGLVMA,3.50,25/03/10,2:1,0.011,-,0.01,-,205,,,,
LGLWOE,3.75,25/03/10,2:1,0.012,0.017,0.028,-,-,,,,
LGLWOF,4.00,25/03/10,2:1,0.007,0.012,0.048,-,-,,,,
Macq Grp Ltd Last Sale Price $47.35,,,,,,,,,,,,
MQGVZG,50.00,25/02/10,5:1,0.2,0.23,0.265,-31.5,600,,,,
MQGWOB,50.00,25/02/10,6:1,0.08,0.105,0.079,-25.1,315,,,,
MQGWOC,60.00,25/02/10,6:1,0.005,0.015,0.005,-1.8,350,,,,
MQGVZH,50.00,25/03/10,5:1,0.675,0.7,0.78,-26.5,200,,,,
MQGVZI,52.00,25/03/10,5:1,0.54,0.57,-,-,-,,,,
MQGVZJ,55.00,29/04/10,5:1,0.69,0.72,-,-,-,,,,
MQGWOA,55.00,29/04/10,6:1,0.14,0.165,0.155,-16.5,1296,,,,
National Aust Bank Last Sale Price $24.40,,,,,,,,,,,,
NABWOJ,28.00,25/02/10,4:1,0.005,0.01,0.035,-,-,,,,
NABWZI,28.00,25/02/10,4:1,0.005,0.04,0.20,-,-,,,,
NABWOK,30.00,25/02/10,4:1,0.002,0.01,0.02,-,-,,,,
NABWOL,32.00,25/02/10,4:1,0.001,0.011,0.007,-,-,,,,
NABWZJ,28.00,25/03/10,4:1,0.072,0.086,-,-,-,,,,
NABVMA,29.00,25/03/10,5:1,0.019,0.03,0.075,-,-,,,,
NABWZK,30.00,25/03/10,4:1,0.024,0.04,-,-,-,,,,
NABVMB,31.00,25/03/10,5:1,0.004,-,0.036,-,-,,,,
NABVZA,28.00,29/04/10,4:1,0.255,0.285,0.345,-,300,,,,
NABWOA,28.50,29/04/10,4:1,0.082,0.087,0.105,-9,390,,,,
NABWOB,30.50,29/04/10,4:1,0.035,0.04,0.042,-4.5,550,,,,
NABVME,33.00,29/04/10,5:1,0.01,-,0.079,-,-,,,,
NABWOC,33.00,29/04/10,4:1,0.015,0.02,0.037,-,-,,,,
Newcrest Min Last Sale Price $32.68,,,,,,,,,,,,
NCMVMA,35.00,25/03/10,4:1,0.28,0.295,0.27,7,1050,,,,
NCMWOC,35.00,25/03/10,4:1,0.22,0.225,0.23,-7,1000,,,,
NCMVMB,37.00,25/03/10,4:1,0.155,0.17,0.435,-,-,,,,
NCMWOD,37.50,25/03/10,4:1,0.089,0.094,0.072,0.8,1118,,,,
NCMVZC,38.00,25/03/10,4:1,0.185,0.215,0.28,-,-,,,,
NCMWOE,40.00,25/03/10,4:1,0.04,0.045,0.035,-2.5,450,,,,
NCMVZD,35.00,29/04/10,4:1,0.75,0.78,-,-,-,,,,
NCMVME,39.00,29/04/10,4:1,0.21,0.225,0.23,6.5,174,,,,
News Corp Last Sale Price $17.32,,,,,,,,,,,,
NWSVMA,16.00,25/03/10,4:1,0.415,0.44,0.55,-,-,,,,
NWSVME,18.00,29/04/10,4:1,0.23,0.245,0.375,-,-,,,,
Oil Search Ltd Last Sale Price $5.30,,,,,,,,,,,,
OSHVMA,6.50,25/03/10,2:1,0.007,-,0.006,-2.6,200,,,,
OSHVME,7.50,29/04/10,2:1,0.001,-,0.06,-,-,,,,
OZ Minerals Last Sale Price $1.02,,,,,,,,,,,,
OZLWOA,1.25,25/03/10,2:1,0.016,0.021,-,-,-,,,,
OZLWOB,1.45,25/03/10,2:1,0.009,0.014,-,-,-,,,,
Paladin Energy Last Sale Price $3.54,,,,,,,,,,,,
PDNVMA,4.00,25/03/10,2:1,0.045,0.057,0.057,-,-,,,,
PDNVME,5.00,29/04/10,2:1,0.024,0.03,0.05,-,-,,,,
Qantas Airways Last Sale Price $2.92,,,,,,,,,,,,
QANVMA,2.50,25/03/10,2:1,0.21,0.23,0.22,-,-,,,,
QANVME,3.50,29/04/10,2:1,0.022,-,0.048,-,-,,,,
QBE Insurance Grp Last Sale Price $22.77,,,,,,,,,,,,
QBEVMA,23.00,25/03/10,4:1,0.195,0.21,0.56,-,-,,,,
QBEWOA,23.00,25/03/10,4:1,0.145,0.155,0.17,6,900,,,,
QBEVMB,25.00,25/03/10,4:1,0.053,0.06,0.074,-,-,,,,
QBEWOD,26.00,25/03/10,4:1,0.019,0.024,0.034,-,-,,,,
QBEVME,27.00,29/04/10,4:1,0.037,0.043,0.27,-,-,,,,
Rio Tinto Ltd Last Sale Price $71.94,,,,,,,,,,,,
RIOWOA,70.00,25/02/10,6:1,0.495,0.505,0.455,24,1772,,,,
RIOWOB,77.00,25/02/10,6:1,0.077,0.087,0.071,-3.9,240,,,,
RIOVZB,80.00,25/02/10,6:1,0.11,0.14,0.655,-,-,,,,
RIOVMA,65.00,25/03/10,6:1,1.455,1.505,1.42,55.5,106,,,,
RIOVMB,70.00,25/03/10,6:1,0.935,0.975,0.75,27.5,30,,,,
RIOVZC,72.00,25/03/10,6:1,0.925,0.955,-,-,-,,,,
RIOVMC,75.00,25/03/10,6:1,0.535,0.55,0.54,29,1300,,,,
RIOVZD,75.00,25/03/10,6:1,0.72,0.75,-,-,-,,,,
RIOWOD,73.00,29/04/10,6:1,0.81,0.81,0.80,36.5,2558,,,,
RIOVZE,75.00,29/04/10,6:1,1.3,1.33,-,-,-,,,,
RIOVME,80.00,29/04/10,6:1,0.515,0.54,0.51,24,210,,,,
RIOWOE,80.00,29/04/10,6:1,0.41,0.42,0.415,2.5,1420,,,,
RIOVMF,85.00,29/04/10,6:1,0.31,0.33,0.305,15.5,1100,,,,
RIOWOC,85.00,29/04/10,6:1,0.245,0.255,0.235,9.5,2610,,,,
Santos Ltd Last Sale Price $13.35,,,,,,,,,,,,
STOVMA,15.00,25/03/10,3:1,0.029,0.038,0.072,-,-,,,,
STOVZM,15.00,25/03/10,4:1,0.056,0.07,-,-,-,,,,
STOWOA,15.50,25/03/10,4:1,0.021,0.026,0.027,-,-,,,,
STOWOB,17.00,25/03/10,4:1,0.012,0.017,-,-,-,,,,
STOVME,17.00,29/04/10,3:1,0.018,-,0.052,-,-,,,,
Telstra Corp Last Sale Price $3.12,,,,,,,,,,,,
TLSWOA,3.25,25/03/10,2:1,0.018,0.023,0.025,-7.5,3250,,,,
TLSVMA,3.36,25/03/10,2:1,0.005,0.04,0.03,-5.5,1700,,,,
TLSWOB,3.60,25/03/10,2:1,0.006,0.011,-,-,-,,,,
TLSVMB,3.61,25/03/10,2:1,0.001,-,0.063,-,-,,,,
TLSVZB,3.75,25/03/10,2:1,0.001,0.04,-,-,-,,,,
TLSVZC,3.50,29/04/10,2:1,0.022,0.04,-,-,-,,,,
TLSVME,3.85,29/04/10,2:1,0.003,-,-,-,-,,,,
Westpac Banking Last Sale Price $23.20,,,,,,,,,,,,
WBCWOK,25.00,25/02/10,4:1,0.038,0.048,0.078,-,-,,,,
WBCWZA,25.00,25/02/10,4:1,0.039,0.053,-,-,-,,,,
WBCWOL,27.00,25/02/10,4:1,0.001,0.011,0.081,-,-,,,,
