Warrant Market - Weekly,,,,,,,,,,,,
XAO 4890.1 at 16:38 19/3/2010  Report at 19:06 Friday 19/3/2010. Processed 20:14 Friday 19/3/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $6.31,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.13,0.135,0.115,-,-,,,,
AMPWOD,6.75,27/05/10,3:1,0.069,0.074,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $25.11,,,,,,,,,,,,
ANZVMA,22.00,25/03/10,3:1,1.04,1.05,0.985,24,270,,,,
ANZWZJ,23.00,25/03/10,4:1,0.525,0.555,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.385,0.395,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.29,0.32,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.235,0.24,0.425,13,484,,,,
ANZVZA,24.00,29/04/10,4:1,0.53,0.56,0.215,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.068,0.2,0.16,3.5,400,,,,
ANZVME,26.00,29/04/10,3:1,0.225,0.23,0.135,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.016,0.021,0.05,-,-,,,,
ANZWOF,19.00,24/06/10,4:1,1.155,1.455,1.11,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.41,0.62,0.53,7,40,,,,
ANZWOE,24.50,24/06/10,4:1,0.24,0.4,-,-,-,,,,
ASX Ltd Last Sale Price $35.96,,,,,,,,,,,,
ASXVMA,37.00,25/03/10,4:1,0.028,0.031,0.835,-,-,,,,
ASXVMB,39.00,25/03/10,4:1,0.001,-,-,-,-,,,,
ASXVME,40.00,29/04/10,4:1,0.053,0.056,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $43.20,,,,,,,,,,,,
BHPVMA,37.00,25/03/10,4:1,1.55,-,1.58,-,-,,,,
BHPVZA,42.00,25/03/10,4:1,0.42,0.45,0.42,-,-,,,,
BHPVMB,43.00,25/03/10,4:1,0.165,0.17,0.20,-,400,,,,
BHPVZB,44.00,25/03/10,4:1,0.155,0.185,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.78,1.86,1.295,-,-,,,,
BHPWOB,38.50,29/04/10,4:1,1.2,1.275,1.235,-,-,,,,
BHPWOG,40.50,29/04/10,4:1,0.77,0.835,0.86,-,-,,,,
BHPVME,41.00,29/04/10,4:1,0.85,0.855,0.885,-4,2180,,,,
BHPWOH,43.50,29/04/10,4:1,0.31,0.355,0.355,-5.5,5700,,,,
BHPVZC,46.00,29/04/10,4:1,0.455,0.485,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.12,0.17,0.15,-2.5,2000,,,,
BHPWOJ,37.50,24/06/10,4:1,1.73,1.735,1.76,-,300,,,,
BHPWOK,39.00,24/06/10,4:1,1.36,1.42,-,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,1.025,1.03,1.215,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.655,0.7,0.71,-0.5,700,,,,
BHPVOD,45.00,24/06/10,4:1,0.455,0.49,0.51,-12.5,220,,,,
BHPVOE,47.00,24/06/10,4:1,0.335,0.34,0.335,-2,900,,,,
BlueScope Steel Last Sale Price $2.82,,,,,,,,,,,,
BSLWOB,2.75,25/03/10,2:1,0.055,0.06,-,-,-,,,,
BSLVMA,3.00,25/03/10,2:1,0.004,-,0.15,-,-,,,,
BSLWOA,3.00,25/03/10,2:1,-,-,0.005,-,-,,,,
BSLWOD,2.50,24/06/10,2:1,0.255,0.26,0.265,2,3460,,,,
BSLWOC,3.00,24/06/10,2:1,0.12,0.125,-,-,-,,,,
Brambles Ltd Last Sale Price $7.49,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.22,0.225,-,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.115,0.12,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $56.21,,,,,,,,,,,,
CBAVMA,53.00,25/03/10,5:1,0.655,0.66,0.52,-,-,,,,
CBAVZL,53.00,25/03/10,5:1,0.655,0.685,0.475,-11,-,,,,
CBAVMB,55.00,25/03/10,5:1,0.305,0.31,0.295,-6.5,900,,,,
CBAVZM,55.00,25/03/10,5:1,0.335,0.365,-,-,-,,,,
CBAWOA,50.00,29/04/10,5:1,1.32,1.405,1.30,-,-,,,,
CBAWOB,55.00,29/04/10,5:1,0.49,0.565,0.55,2.5,1350,,,,
CBAVME,57.00,29/04/10,5:1,0.395,0.4,0.415,-,-,,,,
CBAVZN,58.00,29/04/10,5:1,0.535,0.565,-,-,-,,,,
CBAWOC,59.00,29/04/10,5:1,0.145,0.175,0.155,-5,1600,,,,
CBAWOD,55.00,24/06/10,5:1,0.77,0.83,0.75,-,-,,,,
CBAWOE,57.50,24/06/10,5:1,0.515,0.565,0.59,5.5,200,,,,
CBAWOF,60.00,24/06/10,5:1,0.345,0.375,-,-,-,,,,
Computershare Ltd Last Sale Price $12.67,,,,,,,,,,,,
CPUVMA,13.00,25/03/10,2:1,0.038,-,0.56,-,-,,,,
CSL Ltd Last Sale Price $35.96,,,,,,,,,,,,
CSLWZC,32.00,25/03/10,4:1,0.985,1.105,0.985,78.5,6,,,,
CSLVMA,33.00,25/03/10,4:1,0.74,-,0.795,-,-,,,,
Fortescue Metals Grp Last Sale Price $4.85,,,,,,,,,,,,
FMGVMA,4.50,25/03/10,3:1,0.125,0.13,0.15,-1.5,200,,,,
Insurance Aust Grp Last Sale Price $3.94,,,,,,,,,,,,
IAGVMA,4.00,25/03/10,3:1,0.012,-,0.054,-,-,,,,
Incitec Pivot Last Sale Price $3.54,,,,,,,,,,,,
IPLVMA,3.00,25/03/10,2:1,0.27,0.275,0.265,-0.5,87,,,,
Lihir Gold Ltd Last Sale Price $3.20,,,,,,,,,,,,
LGLWOE,3.00,25/03/10,2:1,0.079,0.093,0.028,-,-,,,,
