Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-01-13T16:00:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 7,Jan 8,Jan 9,Jan 10,Jan 11,,
Volume,,
Futures,"334,444","246,527","342,545","356,627","362,709",,
Options,"7,166","6,931","10,727","10,997","17,692",,
TOTAL,"341,610","253,458","353,272","367,624","380,401",,
Value ($'000),,
Futures,"152,575,300","102,955,427","144,124,254","168,379,443","130,736,593",,
Options,"745,484","739,802","1,073,988","1,108,285","1,779,739",,
TOTAL,"153,320,784","103,695,230","145,198,242","169,487,728","132,516,332",,
Spot Month Movement:,,
SPI 200,4692.0,4665.0,4678.0,4692.0,4681.0,,
90 Day Bank Bills,97.100,97.090,97.100,97.070,97.050,,
6% 3 Year C'wlth Bonds,97.180,97.180,97.220,97.170,97.140,,
6% 10 Year C'wlth Bonds,96.590,96.600,96.620,96.575,96.550,,
,
