Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-10-26T14:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,,
Volume,,
Futures,"251,750","213,557","658,021","378,272","343,743",,
Options,"10,468","20,154","26,069","16,525","15,601",,
TOTAL,"262,218","233,711","684,090","394,797","359,344",,
Value ($'000),,
Futures,"118,361,586","65,919,405","317,474,998","123,316,338","110,193,035",,
Options,"1,115,877","5,555,278","2,676,636","1,708,351","1,706,132",,
TOTAL,"119,477,464","71,474,683","320,151,634","125,024,689","111,899,167",,
Spot Month Movement:,,
SPI 200,5336.0,5356.0,5346.0,5370.0,5385.0,,
90 Day Bank Bills,97.430,97.430,97.430,97.420,97.420,,
6% 3 Year C'wlth Bonds,96.920,96.890,96.960,96.960,96.970,,
6% 10 Year C'wlth Bonds,95.955,95.930,96.050,96.050,96.070,,
,
