Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-05-15T17:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 9,May 10,May 11,May 12,May 13,,
Volume,,
Futures,"504,714","429,951","330,364","530,558","254,971",,
Options,"49,131","17,864","27,267","31,025","19,113",,
TOTAL,"553,845","447,815","357,631","561,583","274,084",,
Value ($'000),,
Futures,"314,491,962","266,581,600","177,922,169","396,680,129","110,004,353",,
Options,"4,926,981","1,800,440","2,751,212","3,133,001","1,925,504",,
TOTAL,"319,418,944","268,382,040","180,673,380","399,813,130","111,929,857",,
Spot Month Movement:,,
SPI 200,4764.0,4719.0,4785.0,4688.0,4713.0,,
90 Day Bank Bills,94.910,94.940,94.920,94.970,94.960,,
6% 3 Year C'wlth Bonds,94.820,94.870,94.830,94.930,94.930,,
6% 10 Year C'wlth Bonds,94.575,94.605,94.550,94.640,94.630,,
,
