Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-10-17T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 11,Oct 12,Oct 13,Oct 14,Oct 15,,
Volume,,
Futures,"130,482","199,010","258,407","308,230","227,508",,
Options,"10,636","6,397","16,404","19,319","11,059",,
TOTAL,"141,118","205,407","274,811","327,549","238,567",,
Value ($'000),,
Futures,"41,477,248","128,787,973","159,326,636","189,022,092","96,731,851",,
Options,"1,066,238","682,240","1,682,419","1,957,648","1,134,079",,
TOTAL,"42,543,486","129,470,213","161,009,055","190,979,740","97,865,930",,
Spot Month Movement:,,
SPI 200,4715.0,4632.0,4636.0,4710.0,4702.0,,
90 Day Bank Bills,94.960,95.010,95.050,95.090,95.070,,
6% 3 Year C'wlth Bonds,95.090,95.140,95.140,95.150,95.110,,
6% 10 Year C'wlth Bonds,94.975,95.000,94.975,94.955,94.905,,
,
