Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-11-14T15:45:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 8,Nov 9,Nov 10,Nov 11,Nov 12,,
Volume,,
Futures,"187,043","234,517","395,627","366,808","261,379",,
Options,"8,884","12,830","21,789","27,448","12,240",,
TOTAL,"195,927","247,347","417,416","394,256","273,619",,
Value ($'000),,
Futures,"111,439,710","104,134,271","186,180,910","223,129,749","158,439,139",,
Options,"906,210","1,303,252","2,227,701","2,808,835","1,258,275",,
TOTAL,"112,345,920","105,437,523","188,408,611","225,938,584","159,697,413",,
Spot Month Movement:,,
SPI 200,4806.0,4752.0,4716.0,4742.0,4708.0,,
90 Day Bank Bills,94.950,94.950,94.950,94.960,94.970,,
6% 3 Year C'wlth Bonds,94.880,94.900,94.860,94.890,94.900,,
6% 10 Year C'wlth Bonds,94.700,94.690,94.625,94.645,94.640,,
,
