Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-03-15T13:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,,
Volume,,
Futures,"397,229","663,876","1,221,541","2,160,085","1,065,457",,
Options,"31,541","13,511","8,836","28,329","16,634",,
TOTAL,"428,770","677,387","1,230,377","2,188,414","1,082,091",,
Value ($'000),,
Futures,"143,840,057","163,975,489","287,967,739","426,739,929","309,183,499",,
Options,"3,205,230","1,503,422","933,442","2,964,611","1,847,440",,
TOTAL,"147,045,287","165,478,910","288,901,180","429,704,540","311,030,939",,
Spot Month Movement:,,
SPI 200,5420.0,5415.0,5373.0,5413.0,5325.0,,
90 Day Bank Bills,97.370,97.370,97.360,97.340,97.340,,
6% 3 Year C'wlth Bonds,96.990,97.015,97.025,96.955,97.070,,
6% 10 Year C'wlth Bonds,95.850,95.875,95.880,95.875,96.005,,
,
