Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-03-02T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 25,Feb 26,Feb 27,Feb 28,Mar 1,,
Volume,,
Futures,"317,492","621,578","509,052","590,784","468,663",,
Options,"24,616","33,787","21,663","28,328","21,666",,
TOTAL,"342,108","655,365","530,715","619,112","490,329",,
Value ($'000),,
Futures,"141,528,782","280,971,496","262,625,517","331,461,217","281,961,682",,
Options,"2,463,152","3,480,917","2,256,078","2,931,673","2,171,119",,
TOTAL,"143,991,934","284,452,413","264,881,596","334,392,890","284,132,801",,
Spot Month Movement:,,
SPI 200,5042.0,4978.0,5020.0,5085.0,5074.0,,
90 Day Bank Bills,97.070,97.120,97.130,97.080,97.050,,
6% 3 Year C'wlth Bonds,97.140,97.260,97.300,97.260,97.270,,
6% 10 Year C'wlth Bonds,96.525,96.645,96.690,96.680,96.690,,
,
