Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-03-20T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,,
Volume,,
Futures,"1,210,646","1,252,759","815,802","575,310","432,618",,
Options,"46,915","45,082","62,702","27,586","25,370",,
TOTAL,"1,257,561","1,297,841","878,504","602,896","457,988",,
Value ($'000),,
Futures,"445,875,400","667,290,494","426,076,558","270,838,055","213,032,386",,
Options,"4,732,898","5,908,757","6,352,997","2,900,720","2,592,981",,
TOTAL,"450,608,299","673,199,252","432,429,555","273,738,775","215,625,367",,
Spot Month Movement:,,
SPI 200,4609.0,4535.0,4567.0,4520.0,4519.8,,
90 Day Bank Bills,95.060,95.190,95.150,95.200,95.140,,
6% 3 Year C'wlth Bonds,95.050,95.065,95.050,95.100,95.030,,
6% 10 Year C'wlth Bonds,94.560,94.545,94.580,94.625,94.585,,
,
