Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-10-16T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 10,Oct 11,Oct 12,Oct 13,Oct 14,,
Volume,,
Futures,"235,997","271,070","266,873","431,454","291,036",,
Options,"7,736","7,920","11,575","22,777","9,822",,
TOTAL,"243,733","278,990","278,448","454,231","300,858",,
Value ($'000),,
Futures,"129,125,070","133,911,176","129,452,324","238,984,042","127,455,028",,
Options,"785,497","802,508","1,161,425","2,308,571","1,003,755",,
TOTAL,"129,910,567","134,713,683","130,613,749","241,292,613","128,458,783",,
Spot Month Movement:,,
SPI 200,4197.0,4238.0,4214.0,4236.0,4220.0,,
90 Day Bank Bills,95.650,95.660,95.670,95.500,95.530,,
6% 3 Year C'wlth Bonds,96.340,96.280,96.310,96.130,96.190,,
6% 10 Year C'wlth Bonds,95.675,95.640,95.660,95.510,95.535,,
,
