Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-05T18:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 30,Jul 31,Aug 1,Aug 2,Aug 3,,
Volume,,
Futures,"540,507","408,196","351,373","392,164","345,260",,
Options,"8,869","18,146","11,567","18,444","13,777",,
TOTAL,"549,376","426,342","362,940","410,608","359,037",,
Value ($'000),,
Futures,"185,216,158","154,570,418","111,391,069","142,602,733","137,984,160",,
Options,"887,154","1,840,960","1,215,486","1,919,620","1,394,082",,
TOTAL,"186,103,313","156,411,377","112,606,555","144,522,353","139,378,242",,
Spot Month Movement:,,
SPI 200,4208.0,4227.0,4226.0,4228.0,4185.0,,
90 Day Bank Bills,96.570,96.590,96.590,96.570,96.580,,
6% 3 Year C'wlth Bonds,97.460,97.480,97.450,97.400,97.450,,
6% 10 Year C'wlth Bonds,96.975,96.995,96.975,96.940,96.980,,
,
