Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-13T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 8,Sep 9,Sep 10,Sep 11,Sep 12,,
Volume,,
Futures,"311,771","919,154","824,831","1,419,707","2,004,317",,
Options,"12,597","19,879","11,880","15,440","8,832",,
TOTAL,"324,368","939,033","836,711","1,435,147","2,013,149",,
Value ($'000),,
Futures,"135,486,068","237,029,483","237,549,386","355,107,102","303,524,899",,
Options,"1,324,618","2,163,902","1,272,180","1,580,388","1,036,231",,
TOTAL,"136,810,686","239,193,386","238,821,566","356,687,489","304,561,129",,
Spot Month Movement:,,
SPI 200,5581.0,5603.0,5577.0,5547.0,5538.0,,
90 Day Bank Bills,97.380,97.380,97.390,97.360,97.360,,
6% 3 Year C'wlth Bonds,97.280,97.205,97.200,97.160,97.160,,
6% 10 Year C'wlth Bonds,96.560,96.445,96.440,96.400,96.400,,
,
