Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-01-18T14:15:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,,
Volume,,
Futures,"280,352","314,761","329,599","558,252","597,937",,
Options,"3,201","7,528","13,651","17,444","23,301",,
TOTAL,"283,553","322,289","343,250","575,696","621,238",,
Value ($'000),,
Futures,"103,613,892","103,370,566","129,455,562","327,055,764","294,789,094",,
Options,"356,252","799,005","1,477,737","1,852,278","2,420,222",,
TOTAL,"103,970,144","104,169,571","130,933,299","328,908,042","297,209,316",,
Spot Month Movement:,,
SPI 200,5261.0,5174.0,5205.0,5271.0,5267.0,,
90 Day Bank Bills,97.400,97.410,97.410,97.450,97.470,,
6% 3 Year C'wlth Bonds,96.970,97.000,96.970,97.060,97.130,,
6% 10 Year C'wlth Bonds,95.825,95.860,95.820,95.875,95.955,,
,
