Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-06-27T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 22,Jun 23,Jun 24,Jun 25,Jun 26,,
Volume,,
Futures,"297,790","404,014","338,032","306,168","317,947",,
Options,"5,096","8,915","8,924","6,016","6,886",,
TOTAL,"302,886","412,929","346,956","312,184","324,833",,
Value ($'000),,
Futures,"91,686,339","111,270,110","110,586,184","103,432,507","75,555,916",,
Options,"543,993","793,311","905,872","579,109","674,702",,
TOTAL,"92,230,332","112,063,421","111,492,056","104,011,616","76,230,618",,
Spot Month Movement:,,
SPI 200,5555.0,5623.0,5629.0,5564.0,5500.0,,
90 Day Bank Bills,97.890,97.880,97.880,97.880,97.880,,
6% 3 Year C'wlth Bonds,98.030,97.900,97.910,97.890,97.870,,
6% 10 Year C'wlth Bonds,97.0050,96.8900,96.9050,96.8950,96.9000,,
,
