Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-04-12T14:00:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 7,Apr 8,Apr 9,Apr 10,Apr 11,,
Volume,,
Futures,"357,415","293,956","302,918","577,711","348,368",,
Options,"29,772","9,987","16,906","30,127","19,978",,
TOTAL,"387,187","303,943","319,824","607,838","368,346",,
Value ($'000),,
Futures,"114,966,222","113,077,410","96,316,579","248,269,704","109,079,208",,
Options,"3,009,121","1,011,710","1,784,467","3,086,769","2,051,706",,
TOTAL,"117,975,343","114,089,120","98,101,046","251,356,473","111,130,913",,
Spot Month Movement:,,
SPI 200,5408.0,5404.0,5464.0,5476.0,5420.0,,
90 Day Bank Bills,97.350,97.360,97.360,97.350,97.360,,
6% 3 Year C'wlth Bonds,96.960,96.960,96.970,96.940,96.980,,
6% 10 Year C'wlth Bonds,95.905,95.905,95.925,95.940,95.975,,
,
