Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-09-18T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,,
Volume,,
Futures,"504,618","1,506,855","1,391,785","442,630","276,034",,
Options,"3,358","2,991","3,107","3,322","4,611",,
TOTAL,"507,976","1,509,846","1,394,892","445,952","280,645",,
Value ($'000),,
Futures,"182,226,583","261,794,860","296,648,146","143,452,929","117,457,186",,
Options,"365,985","302,158","311,503","333,866","470,668",,
TOTAL,"182,592,568","262,097,018","296,959,649","143,786,795","117,927,854",,
Spot Month Movement:,,
SPI 200,4040.0,4082.0,4016.0,4099.0,4098.3,,
90 Day Bank Bills,95.830,95.870,96.030,95.960,95.860,,
6% 3 Year C'wlth Bonds,96.460,96.435,96.520,96.410,96.320,,
6% 10 Year C'wlth Bonds,95.885,95.870,95.910,95.875,95.735,,
,
