Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-02-22T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,,
Volume,,
Futures,"214,699","309,769","319,903","378,246","266,197",,
Options,"10,331","15,536","19,061","14,385","24,629",,
TOTAL,"225,030","325,305","338,964","392,631","290,826",,
Value ($'000),,
Futures,"71,022,042","121,028,705","104,757,331","121,285,104","83,075,687",,
Options,"1,085,130","1,726,281","2,001,975","1,513,982","2,489,539",,
TOTAL,"72,107,172","122,754,986","106,759,306","122,799,086","85,565,226",,
Spot Month Movement:,,
SPI 200,5345.0,5363.0,5377.0,5381.0,5414.0,,
90 Day Bank Bills,97.390,97.380,97.380,97.380,97.380,,
6% 3 Year C'wlth Bonds,96.980,96.960,97.000,97.010,96.950,,
6% 10 Year C'wlth Bonds,95.895,95.875,95.915,95.915,95.840,,
,
