Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-06-23T19:30:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 17,Jun 18,Jun 19,Jun 20,Jun 21,,
Volume,,
Futures,"613,665","670,166","408,809","780,814","797,343",,
Options,"9,764","10,816","14,167","27,658","28,236",,
TOTAL,"623,429","680,982","422,976","808,472","825,579",,
Value ($'000),,
Futures,"155,056,082","233,249,526","145,585,025","359,544,928","396,743,194",,
Options,"995,605","1,152,962","1,476,709","2,782,202","2,965,195",,
TOTAL,"156,051,687","234,402,488","147,061,733","362,327,130","399,708,389",,
Spot Month Movement:,,
SPI 200,4829.0,4820.0,4875.0,4797.0,4796.9,,
90 Day Bank Bills,97.390,97.390,97.390,97.340,97.300,,
6% 3 Year C'wlth Bonds,97.400,97.450,97.430,97.270,97.160,,
6% 10 Year C'wlth Bonds,96.605,96.600,96.570,96.350,96.225,,
,
