Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-03-23T19:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,,
Volume,,
Futures,"709,825","715,422","851,011","376,779","315,091",,
Options,"9,439","26,865","36,408","27,865","20,281",,
TOTAL,"719,264","742,287","887,419","404,644","335,372",,
Value ($'000),,
Futures,"309,813,946","197,548,721","362,631,187","153,953,409","132,600,759",,
Options,"1,019,816","2,717,721","3,825,029","2,870,522","2,031,856",,
TOTAL,"310,833,762","200,266,443","366,456,217","156,823,931","134,632,615",,
Spot Month Movement:,,
SPI 200,5006.0,4990.0,4963.0,5000.0,4999.7,,
90 Day Bank Bills,97.010,96.970,96.950,96.930,96.940,,
6% 3 Year C'wlth Bonds,97.060,96.980,97.040,96.960,97.000,,
6% 10 Year C'wlth Bonds,96.510,96.435,96.475,96.405,96.435,,
,
