Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-08-24T16:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 19,Aug 20,Aug 21,Aug 22,Aug 23,,
Volume,,
Futures,"350,520","494,835","401,288","542,537","302,338",,
Options,"16,105","26,657","26,224","29,698","10,161",,
TOTAL,"366,625","521,492","427,512","572,235","312,499",,
Value ($'000),,
Futures,"145,903,826","235,427,561","144,565,145","174,320,107","91,571,946",,
Options,"1,656,273","2,705,828","2,673,522","3,024,623","1,038,872",,
TOTAL,"147,560,098","238,133,389","147,238,668","177,344,730","92,610,817",,
Spot Month Movement:,,
SPI 200,5088.0,5051.0,5079.0,5039.0,5107.0,,
90 Day Bank Bills,97.440,97.450,97.440,97.430,97.440,,
6% 3 Year C'wlth Bonds,97.170,97.220,97.220,97.130,97.150,,
6% 10 Year C'wlth Bonds,95.975,96.020,96.020,95.915,95.945,,
,
