Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-05-22T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 16,May 17,May 18,May 19,May 20,,
Volume,,
Futures,"257,951","319,758","419,048","244,809","210,955",,
Options,"11,154","20,487","29,817","46,358","9,011",,
TOTAL,"269,105","340,245","448,865","291,167","219,966",,
Value ($'000),,
Futures,"134,045,838","181,115,542","299,686,608","116,065,998","75,068,257",,
Options,"2,062,082","2,134,523","3,686,012","4,743,038","913,343",,
TOTAL,"136,107,920","183,250,065","303,372,620","120,809,036","75,981,601",,
Spot Month Movement:,,
SPI 200,4669.0,4688.0,4697.0,4760.0,4740.0,,
90 Day Bank Bills,94.960,94.960,94.980,94.970,94.970,,
6% 3 Year C'wlth Bonds,94.960,94.930,94.990,94.970,94.980,,
6% 10 Year C'wlth Bonds,94.665,94.610,94.655,94.655,94.685,,
,
