Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-06-12T20:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 6,Jun 7,Jun 8,Jun 9,Jun 10,,
Volume,,
Futures,"335,347","625,688","507,797","1,018,667","1,323,761",,
Options,"20,295","38,747","23,613","19,415","20,056",,
TOTAL,"355,642","664,435","531,410","1,038,082","1,343,817",,
Value ($'000),,
Futures,"206,411,654","560,436,735","282,751,421","473,805,272","337,853,378",,
Options,"2,109,008","4,043,100","2,487,352","1,958,638","2,071,114",,
TOTAL,"208,520,662","564,479,835","285,238,773","475,763,910","339,924,492",,
Spot Month Movement:,,
SPI 200,4569.0,4566.0,4541.0,4554.0,4577.0,,
90 Day Bank Bills,94.960,95.010,94.990,95.020,95.020,,
6% 3 Year C'wlth Bonds,95.090,95.130,95.110,95.180,95.205,,
6% 10 Year C'wlth Bonds,94.795,94.785,94.750,94.805,94.825,,
,
