Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-07-20T17:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,,
Volume,,
Futures,"281,356","435,765","300,391","326,524","266,206",,
Options,"14,414","11,623","21,066","27,992","17,611",,
TOTAL,"295,770","447,388","321,457","354,516","283,817",,
Value ($'000),,
Futures,"134,842,236","204,667,264","125,987,354","146,444,290","118,375,153",,
Options,"1,485,297","1,231,909","2,261,291","2,860,070","1,794,044",,
TOTAL,"136,327,533","205,899,172","128,248,645","149,304,359","120,169,197",,
Spot Month Movement:,,
SPI 200,4944.0,4947.0,4940.0,4952.0,4942.0,,
90 Day Bank Bills,97.400,97.360,97.350,97.380,97.390,,
6% 3 Year C'wlth Bonds,97.320,97.260,97.250,97.300,97.310,,
6% 10 Year C'wlth Bonds,96.270,96.245,96.245,96.330,96.325,,
,
