Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-05-10T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 5,May 6,May 7,May 8,May 9,,
Volume,,
Futures,"517,174","433,335","447,094","517,522","297,410",,
Options,"29,332","19,805","17,679","20,577","10,595",,
TOTAL,"546,506","453,140","464,773","538,099","308,005",,
Value ($'000),,
Futures,"195,354,520","202,063,581","171,824,541","239,623,406","120,182,634",,
Options,"2,960,799","2,024,700","1,883,713","2,061,880","1,098,736",,
TOTAL,"198,315,319","204,088,281","173,708,254","241,685,286","121,281,370",,
Spot Month Movement:,,
SPI 200,5455.0,5472.0,5420.0,5459.0,5455.0,,
90 Day Bank Bills,97.350,97.340,97.340,97.340,97.340,,
6% 3 Year C'wlth Bonds,97.100,97.120,97.150,97.120,97.140,,
6% 10 Year C'wlth Bonds,96.135,96.140,96.175,96.165,96.185,,
,
