Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-06-01T18:30:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 27,May 28,May 29,May 30,May 31,,
Volume,,
Futures,"269,821","264,114","712,927","681,265","390,704",,
Options,"23,707","27,158","30,052","25,421","26,619",,
TOTAL,"293,528","291,272","742,979","706,686","417,323",,
Value ($'000),,
Futures,"134,745,852","106,775,566","294,510,421","335,275,295","181,076,004",,
Options,"2,524,415","2,792,556","3,243,491","2,596,582","2,722,891",,
TOTAL,"137,270,267","109,568,122","297,753,912","337,871,878","183,798,894",,
Spot Month Movement:,,
SPI 200,4951.0,4965.0,4981.0,4942.0,4933.0,,
90 Day Bank Bills,97.260,97.250,97.250,97.230,97.230,,
6% 3 Year C'wlth Bonds,97.430,97.390,97.330,97.380,97.400,,
6% 10 Year C'wlth Bonds,96.725,96.670,96.525,96.600,96.640,,
,
